80 samples for temporal maturation of duck microbiome			
Sample ID	location	Breeds	Ages
MD3d_CeC_1	Zhejiang	Muscovy ducks	D03
MD3d_CeC_2	Zhejiang	Muscovy ducks	D03
MD3d_CeC_3	Zhejiang	Muscovy ducks	D03
MD3d_CeC_4	Zhejiang	Muscovy ducks	D03
MD3d_CeC_5	Zhejiang	Muscovy ducks	D03
MD3d_CeC_6	Zhejiang	Muscovy ducks	D03
MD3d_CeC_7	Zhejiang	Muscovy ducks	D03
MD3d_CeC_8	Zhejiang	Muscovy ducks	D03
MD7d_CeC_1	Zhejiang	Muscovy ducks	D07
MD7d_CeC_2	Zhejiang	Muscovy ducks	D07
MD7d_CeC_3	Zhejiang	Muscovy ducks	D07
MD7d_CeC_4	Zhejiang	Muscovy ducks	D07
MD7d_CeC_5	Zhejiang	Muscovy ducks	D07
MD7d_CeC_6	Zhejiang	Muscovy ducks	D07
MD7d_CeC_7	Zhejiang	Muscovy ducks	D07
MD7d_CeC_8	Zhejiang	Muscovy ducks	D07
MD14d_CeC_1	Zhejiang	Muscovy ducks	D14
MD14d_CeC_2	Zhejiang	Muscovy ducks	D14
MD14d_CeC_3	Zhejiang	Muscovy ducks	D14
MD14d_CeC_4	Zhejiang	Muscovy ducks	D14
MD14d_CeC_5	Zhejiang	Muscovy ducks	D14
MD14d_CeC_6	Zhejiang	Muscovy ducks	D14
MD14d_CeC_7	Zhejiang	Muscovy ducks	D14
MD14d_CeC_8	Zhejiang	Muscovy ducks	D14
MD42d_CeC1	Zhejiang	Muscovy ducks	D42
MD42d_CeC2	Zhejiang	Muscovy ducks	D42
MD42d_CeC3	Zhejiang	Muscovy ducks	D42
MD42d_CeC4	Zhejiang	Muscovy ducks	D42
MD42d_CeC5	Zhejiang	Muscovy ducks	D42
MD42d_CeC6	Zhejiang	Muscovy ducks	D42
MD42d_CeC7	Zhejiang	Muscovy ducks	D42
MD42d_CeC8	Zhejiang	Muscovy ducks	D42
MD70d_CeC1	Zhejiang	Muscovy ducks	D70
MD70d_CeC2	Zhejiang	Muscovy ducks	D70
MD70d_CeC3	Zhejiang	Muscovy ducks	D70
MD70d_CeC4	Zhejiang	Muscovy ducks	D70
MD70d_CeC5	Zhejiang	Muscovy ducks	D70
MD70d_CeC6	Zhejiang	Muscovy ducks	D70
MD70d_CeC7	Zhejiang	Muscovy ducks	D70
MD70d_CeC8	Zhejiang	Muscovy ducks	D70
PD3d_CeC_1	Zhejiang	Peking ducks	D03
PD3d_CeC_2	Zhejiang	Peking ducks	D03
PD3d_CeC_3	Zhejiang	Peking ducks	D03
PD3d_CeC_4	Zhejiang	Peking ducks	D03
PD3d_CeC_5	Zhejiang	Peking ducks	D03
PD3d_CeC_6	Zhejiang	Peking ducks	D03
PD3d_CeC_7	Zhejiang	Peking ducks	D03
PD3d_CeC_8	Zhejiang	Peking ducks	D03
PD7d_CeC_1	Zhejiang	Peking ducks	D07
PD7d_CeC_2	Zhejiang	Peking ducks	D07
PD7d_CeC_4	Zhejiang	Peking ducks	D07
PD7d_CeC_5	Zhejiang	Peking ducks	D07
PD7d_CeC_6	Zhejiang	Peking ducks	D07
PD7d_CeC_7	Zhejiang	Peking ducks	D07
PD7d_CeC_8	Zhejiang	Peking ducks	D07
PD7d_CeC_3	Zhejiang	Peking ducks	D07
PD14d_CeC_1	Zhejiang	Peking ducks	D14
PD14d_CeC_2	Zhejiang	Peking ducks	D14
PD14d_CeC_3	Zhejiang	Peking ducks	D14
PD14d_CeC_4	Zhejiang	Peking ducks	D14
PD14d_CeC_5	Zhejiang	Peking ducks	D14
PD14d_CeC_6	Zhejiang	Peking ducks	D14
PD14d_CeC_7	Zhejiang	Peking ducks	D14
PD14d_CeC_8	Zhejiang	Peking ducks	D14
PD42d_CeC1	Zhejiang	Peking ducks	D42
PD42d_CeC2	Zhejiang	Peking ducks	D42
PD42d_CeC3	Zhejiang	Peking ducks	D42
PD42d_CeC4	Zhejiang	Peking ducks	D42
PD42d_CeC5	Zhejiang	Peking ducks	D42
PD42d_CeC6	Zhejiang	Peking ducks	D42
PD42d_CeC8	Zhejiang	Peking ducks	D42
PD42d_CeC7	Zhejiang	Peking ducks	D42
PD70d_CeC1	Zhejiang	Peking ducks	D70
PD70d_CeC2	Zhejiang	Peking ducks	D70
PD70d_CeC3	Zhejiang	Peking ducks	D70
PD70d_CeC4	Zhejiang	Peking ducks	D70
PD70d_CeC5	Zhejiang	Peking ducks	D70
PD70d_CeC6	Zhejiang	Peking ducks	D70
PD70d_CeC7	Zhejiang	Peking ducks	D70
PD70d_CeC8	Zhejiang	Peking ducks	D70
