Sample ID	Assembly	Data production					
		Read  length (bp)	# of raw reads	 Raw data (Gb)	% Host DNA	# of  high quality reads	High quality data (Gb)
AHCeC1	MEGAHIT	150	95,976,412 	14.40 	44.34	50,486,024 	7.54 
AHCeC2	MEGAHIT	150	108,003,296 	16.20 	42.84	58,230,730 	8.69 
AHCeC3	MEGAHIT	150	97,267,194 	14.59 	35.09	58,945,672 	8.79 
AHCeC4	MEGAHIT	150	92,045,328 	13.81 	9.47	79,513,718 	11.87 
AHCeC5	MEGAHIT	150	96,647,406 	14.50 	48.46	46,517,494 	6.94 
AHCeC6	MEGAHIT	150	102,920,300 	15.44 	12.92	85,405,096 	12.76 
AHCeC7	MEGAHIT	150	100,500,752 	15.08 	21.56	74,792,506 	11.17 
CeC1	MEGAHIT	150	91,239,692 	13.69 	77.51	16,857,800 	2.51 
CeC105	MEGAHIT	150	158,528,532 	23.78 	86.05	17,834,580 	2.65 
CeC108	MEGAHIT	150	70,132,844 	10.52 	83.8	9,373,048 	1.39 
CeC112	MEGAHIT	150	60,706,888 	9.11 	90.71	4,867,716 	0.72 
CeC113	MEGAHIT	150	77,153,880 	11.57 	92.98	4,414,536 	0.66 
CeC123	MEGAHIT	150	80,803,278 	12.12 	94.82	3,500,078 	0.52 
CeC124	MEGAHIT	150	73,651,634 	11.05 	96.74	1,963,392 	0.29 
CeC139	MEGAHIT	150	93,044,620 	13.96 	82.24	13,411,440 	2.00 
CeC149	MEGAHIT	150	104,626,940 	15.69 	79.84	17,368,352 	2.59 
CeC161	MEGAHIT	150	85,875,558 	12.88 	74.49	17,896,836 	2.67 
CeC164	MEGAHIT	150	96,883,454 	14.53 	65.88	25,164,894 	3.75 
CeC166	MEGAHIT	150	144,188,578 	21.63 	86.24	14,533,976 	2.17 
CeC186	MEGAHIT	150	85,174,406 	12.78 	82.71	11,079,648 	1.65 
CeC192	MEGAHIT	150	135,158,990 	20.27 	34.51	80,547,624 	12.02 
CeC198	MEGAHIT	150	179,590,800 	26.94 	93.41	7,177,454 	1.07 
CeC200	MEGAHIT	150	80,438,128 	12.07 	65.66	22,044,994 	3.28 
CeC28	MEGAHIT	150	161,635,046 	24.25 	92.57	8,877,382 	1.32 
CeC35	MEGAHIT	150	70,076,466 	10.51 	76.01	13,555,488 	2.01 
CeC38	MEGAHIT	150	245,828,938 	36.87 	67.99	24,586,634 	3.68 
CeC41	MEGAHIT	150	77,227,648 	11.58 	88.33	7,742,368 	1.15 
CeC42	MEGAHIT	150	95,506,086 	14.33 	92.99	5,427,274 	0.81 
CeC51	MEGAHIT	150	85,395,574 	12.81 	79.69	13,622,752 	2.03 
CeC6	MEGAHIT	150	171,438,434 	25.72 	78.62	24,140,398 	3.60 
CeC61	MEGAHIT	150	81,116,658 	12.17 	86.53	8,603,934 	1.28 
CeC66	MEGAHIT	150	97,918,774 	14.69 	88.31	9,087,588 	1.35 
CeC67	MEGAHIT	150	164,361,792 	24.65 	74.09	26,328,408 	3.93 
CeC68	MEGAHIT	150	137,956,754 	20.69 	91.39	9,376,468 	1.40 
CeC69	MEGAHIT	150	80,018,412 	12.00 	91.73	5,386,194 	0.80 
CeC70	MEGAHIT	150	77,902,804 	11.69 	97.73	1,477,918 	0.22 
CeC89	MEGAHIT	150	159,519,588 	23.93 	87.31	13,064,068 	1.95 
FJCeC1	MEGAHIT	150	84,298,040 	12.64 	27.99	57,276,332 	8.56 
FJCeC2	MEGAHIT	150	84,596,958 	12.69 	11.43	71,690,958 	10.72 
FJCeC3	MEGAHIT	150	80,845,511 	12.13 	10.91	68,945,662 	10.31 
FJCeC4	MEGAHIT	150	88,540,334 	13.28 	26.27	62,220,666 	9.30 
FJCeC5	MEGAHIT	150	91,793,336 	13.77 	8.69	80,244,004 	12.00 
FJCeC6	MEGAHIT	150	85,010,966 	12.75 	33.79	53,366,466 	7.98 
GZCeC-10	MEGAHIT	150	147,277,850 	22.09 	69.81	35,259,798 	5.26 
GZCeC-24	MEGAHIT	150	157,424,956 	23.61 	98.92	1,392,738 	0.21 
GZCeC-25	MEGAHIT	150	153,396,858 	23.01 	97.99	2,500,548 	0.37 
GZCeC-26	MEGAHIT	150	158,401,838 	23.76 	76.71	28,506,442 	4.25 
GZCeC-27	MEGAHIT	150	148,181,902 	22.23 	99.64	451,716 	0.07 
GZCeC-28	MEGAHIT	150	166,683,066 	25.00 	96.04	5,183,990 	0.77 
GZCeC-29	MEGAHIT	150	163,059,808 	24.46 	98.27	2,329,626 	0.35 
GZCeC-30	MEGAHIT	150	157,589,122 	23.64 	93.32	7,151,572 	1.07 
GZCeC-6	MEGAHIT	150	152,764,386 	22.91 	94.47	6,674,096 	0.99 
GZCeC-7	MEGAHIT	150	170,219,144 	25.53 	99.07	1,284,132 	0.19 
GZCeC-8	MEGAHIT	150	171,902,936 	25.79 	96.05	5,527,026 	0.82 
GZCeC-9	MEGAHIT	150	138,624,052 	20.79 	96.9	3,434,866 	0.51 
HBCeC1	MEGAHIT	150	153,167,160 	22.98 	79.9	25,317,576 	3.77 
HBCeC2	MEGAHIT	150	155,532,726 	23.33 	70.5	37,165,462 	5.54 
HBCeC3	MEGAHIT	150	174,001,856 	26.10 	74.57	35,551,354 	5.30 
HBCeC4	MEGAHIT	150	152,066,004 	22.81 	67.97	38,493,768 	5.74 
HBCeC5	MEGAHIT	150	143,689,130 	21.55 	81.19	21,295,782 	3.17 
HBCeC6	MEGAHIT	150	148,420,334 	22.26 	72.51	32,233,632 	4.80 
HEBCeC-10	MEGAHIT	150	148,048,870 	22.21 	94.89	5,938,886 	0.88 
HEBCeC-15	MEGAHIT	150	137,860,394 	20.68 	63.18	39,728,862 	5.92 
HEBCeC-17	MEGAHIT	150	155,551,596 	23.33 	30.28	85,658,400 	12.80 
HEBCeC-18	MEGAHIT	150	154,962,584 	23.24 	32.95	77,910,456 	11.64 
HEBCeC-21	MEGAHIT	150	139,122,636 	20.87 	26.87	78,898,458 	11.79 
HEBCeC-22	MEGAHIT	150	140,752,228 	21.11 	92.44	7,629,208 	1.14 
HEBCeC-25	MEGAHIT	150	134,507,020 	20.18 	28.91	78,747,180 	11.77 
HEBCeC-30	MEGAHIT	150	148,371,730 	22.26 	60.47	43,821,298 	6.54 
HEBCeC-4	MEGAHIT	150	146,410,282 	21.96 	86.41	15,951,068 	2.38 
HEBCeC-5	MEGAHIT	150	149,393,196 	22.41 	90.7	11,150,780 	1.66 
HEBCeC-7	MEGAHIT	150	150,702,264 	22.61 	63.44	44,800,408 	6.69 
HEBCeC-8	MEGAHIT	150	146,710,140 	22.01 	89.07	12,466,546 	1.86 
HNCeC10	MEGAHIT	150	140,921,308 	21.14 	15.87	96,771,170 	14.45 
HNCeC11	MEGAHIT	150	136,764,698 	20.51 	17.44	89,784,066 	13.40 
HNCeC12	MEGAHIT	150	169,750,484 	25.46 	53.84	60,403,142 	9.02 
HNCeC13	MEGAHIT	150	156,654,088 	23.50 	17.92	100,093,570 	14.96 
HNCeC14	MEGAHIT	150	168,808,110 	25.32 	63.1	45,696,664 	6.81 
HNCeC15	MEGAHIT	150	148,523,544 	22.28 	17.26	97,936,944 	14.64 
HNCeC16	MEGAHIT	150	149,574,432 	22.44 	14.72	102,680,108 	15.35 
HNCeC17	MEGAHIT	150	139,306,062 	20.90 	18.1	90,287,050 	13.50 
HNCeC18	MEGAHIT	150	146,397,270 	21.96 	17.41	95,117,534 	14.20 
HNCeC4	MEGAHIT	150	133,143,462 	19.97 	13.93	98,759,472 	14.77 
HNCeC5	MEGAHIT	150	142,098,016 	21.31 	14.42	102,847,914 	15.37 
HNCeC6	MEGAHIT	150	139,874,108 	20.98 	14.79	100,551,426 	15.03 
HNCeC7	MEGAHIT	150	138,881,814 	20.83 	18.65	90,014,326 	13.46 
HNCeC8	MEGAHIT	150	139,950,482 	20.99 	22.28	84,565,738 	12.64 
JSCeC1	MEGAHIT	150	95,715,234 	14.36 	67.61	29,248,602 	4.37 
JSCeC2	MEGAHIT	150	94,133,314 	14.12 	20.01	71,910,582 	10.75 
JSCeC3	MEGAHIT	150	136,079,956 	20.41 	35.03	84,191,478 	12.58 
JSCeC4	MEGAHIT	150	84,680,418 	12.70 	34.36	52,407,232 	7.83 
JSCeC5	MEGAHIT	150	100,498,164 	15.07 	42.99	53,890,942 	8.05 
JSCeC6	MEGAHIT	150	86,293,610 	12.94 	48.54	41,987,146 	6.27 
MD14d_CeC_1	MEGAHIT	150	51,526,882 	7.73 	68.91	15,268,400 	2.28 
MD14d_CeC_2	MEGAHIT	150	59,195,168 	8.88 	66.34	18,984,810 	2.84 
MD14d_CeC_3	MEGAHIT	150	51,332,798 	7.70 	51.13	23,924,554 	3.57 
MD14d_CeC_4	MEGAHIT	150	57,613,738 	8.64 	48.35	28,561,660 	4.27 
MD14d_CeC_5	MEGAHIT	150	56,067,292 	8.41 	62.96	19,903,396 	2.98 
MD14d_CeC_6	MEGAHIT	150	51,979,062 	7.80 	65.51	17,125,172 	2.56 
MD14d_CeC_7	MEGAHIT	150	67,364,638 	10.10 	42.87	37,113,136 	5.55 
MD14d_CeC_8	MEGAHIT	150	66,724,100 	10.01 	49.34	32,465,948 	4.85 
MD3d_CeC_1	MEGAHIT	150	60,532,232 	9.08 	82.17	10,161,322 	1.52 
MD3d_CeC_2	MEGAHIT	150	63,879,208 	9.58 	86.52	8,193,688 	1.22 
MD3d_CeC_3	MEGAHIT	150	59,139,462 	8.87 	84.12	8,847,088 	1.32 
MD3d_CeC_4	MEGAHIT	150	56,082,312 	8.41 	77.03	12,077,718 	1.80 
MD3d_CeC_5	MEGAHIT	150	65,007,824 	9.75 	79.89	12,303,694 	1.84 
MD3d_CeC_6	MEGAHIT	150	66,858,300 	10.03 	83.19	10,632,622 	1.59 
MD3d_CeC_7	MEGAHIT	150	64,502,152 	9.68 	77.79	13,506,064 	2.02 
MD3d_CeC_8	MEGAHIT	150	71,084,018 	10.66 	65.91	22,938,908 	3.43 
MD42d_CeC1	MEGAHIT	150	53,239,232 	7.99 	47.13	26,845,566 	4.01 
MD42d_CeC2	MEGAHIT	150	64,331,844 	9.65 	75.92	14,703,090 	2.20 
MD42d_CeC3	MEGAHIT	150	47,195,658 	7.08 	29.24	32,016,434 	4.78 
MD42d_CeC4	MEGAHIT	150	59,977,678 	9.00 	52.57	27,138,692 	4.06 
MD42d_CeC5	MEGAHIT	150	54,085,356 	8.11 	28.74	36,892,960 	5.50 
MD42d_CeC6	MEGAHIT	150	58,852,164 	8.83 	42.11	32,662,788 	4.88 
