The quality of MAGs				
Sample	Bin Genome	high-quality(complete>90% & contam..<5%)	medium-quality(complete>50% & contam..<10%)	low-quality(complete<50% & contam..<10%)
ANCeC1	90	18	48	28
ANCeC2	102	22	53	35
ANCeC3	93	23	42	37
ANCeC4	109	26	53	35
ANCeC5	74	25	42	21
ANCeC6	141	26	73	43
ANCeC7	146	31	79	53
CeC164	41	5	13	19
CeC192	131	21	53	62
CeC200	36	8	15	14
CeC38	34	1	14	16
CeC6	40	7	20	15
CeC67	45	8	15	21
FJCeC1	119	28	62	44
FJCeC2	144	19	60	63
FJCeC3	130	22	65	46
FJCeC4	114	19	50	47
FJCeC5	143	18	62	62
FJCeC6	105	7	36	42
GZCeC-10	54	5	22	22
GZCeC-26	40	4	19	15
HBCeC1	44	13	20	17
HBCeC2	63	21	34	22
HBCeC3	56	19	34	17
HBCeC4	69	18	32	27
HBCeC5	51	11	19	25
HBCeC6	62	17	31	23
HEBCeC-15	43	5	15	19
HEBCeC-17	83	12	32	39
HEBCeC-18	86	18	32	45
HEBCeC-21	64	5	18	35
HEBCeC-25	94	15	36	45
HEBCeC-30	45	4	14	24
HEBCeC-7	62	12	25	28
HNCeC10	120	5	41	59
HNCeC11	98	6	44	40
HNCeC12	72	8	23	43
HNCeC13	90	3	25	52
HNCeC14	55	9	16	35
HNCeC15	96	6	30	50
HNCeC16	121	3	32	70
HNCeC17	85	4	28	42
HNCeC18	106	6	33	57
HNCeC4	98	11	29	57
HNCeC5	97	8	36	50
HNCeC6	116	6	40	58
HNCeC7	111	7	33	60
HNCeC8	96	8	26	54
JSCeC1	74	18	39	26
JSCeC2	140	35	78	49
JSCeC3	150	41	75	54
JSCeC4	107	30	69	24
JSCeC5	114	28	60	43
JSCeC6	88	19	44	31
MD14d_CeC_3	29	10	17	12
MD14d_CeC_4	66	15	28	31
MD14d_CeC_7	78	25	36	30
MD14d_CeC_8	35	13	19	14
MD3d_CeC_8	9	0	0	9
MD42d_CeC1	29	11	20	7
MD42d_CeC3	40	12	23	14
MD42d_CeC4	28	8	16	9
MD42d_CeC5	32	10	16	13
MD42d_CeC6	40	6	19	17
MD42d_CeC7	44	10	26	15
MD42d_CeC8	37	8	19	16
MD70dCeC1	61	16	30	22
MD70dCeC2	35	8	15	15
MD70dCeC4	45	10	18	23
MD70dCeC5	65	19	33	26
MD70d_CeC1	60	19	33	17
MD70d_CeC2	40	11	20	15
MD70d_CeC4	47	10	20	20
MD70d_CeC5	74	21	41	23
MD70d_CeC6	33	12	17	11
MD70d_CeC8	46	9	20	19
MD7d_CeC_3	16	6	9	7
