Total of 375 samples information			
Sample ID	location	Breeds	Intestines
AHCeC1	Anhui	Peking ducks	Cecum
AHCeC2	Anhui	Peking ducks	Cecum
AHCeC3	Anhui	Peking ducks	Cecum
AHCeC4	Anhui	Peking ducks	Cecum
AHCeC5	Anhui	Peking ducks	Cecum
AHCeC6	Anhui	Peking ducks	Cecum
AHCeC7	Anhui	Peking ducks	Cecum
FJCeC1	Fujian	Partridge ducks	Cecum
FJCeC2	Fujian	Partridge ducks	Cecum
FJCeC3	Fujian	Partridge ducks	Cecum
FJCeC4	Fujian	Partridge ducks	Cecum
FJCeC5	Fujian	Partridge ducks	Cecum
FJCeC6	Fujian	Partridge ducks	Cecum
SSCeC-1	Guizhou	Partridge ducks	Cecum
SSCeC-10	Guizhou	Partridge ducks	Cecum
SSCeC-2	Guizhou	Partridge ducks	Cecum
SSCeC-3	Guizhou	Partridge ducks	Cecum
SSCeC-4	Guizhou	Partridge ducks	Cecum
SSCeC-5	Guizhou	Partridge ducks	Cecum
SSCeC-6	Guizhou	Partridge ducks	Cecum
SSCeC-7	Guizhou	Partridge ducks	Cecum
SSCeC-8	Guizhou	Partridge ducks	Cecum
SSCeC-9	Guizhou	Partridge ducks	Cecum
HBCeC1	Hebei	Peking ducks	Cecum
HBCeC2	Hebei	Peking ducks	Cecum
HBCeC3	Hebei	Peking ducks	Cecum
HBCeC4	Hebei	Peking ducks	Cecum
HBCeC5	Hebei	Peking ducks	Cecum
HBCeC6	Hebei	Peking ducks	Cecum
HEBCeC-10	Heilongjiang	Peking ducks	Cecum
HEBCeC-15	Heilongjiang	Peking ducks	Cecum
HEBCeC-17	Heilongjiang	Peking ducks	Cecum
HEBCeC-18	Heilongjiang	Peking ducks	Cecum
HEBCeC-21	Heilongjiang	Peking ducks	Cecum
HEBCeC-22	Heilongjiang	Peking ducks	Cecum
HEBCeC-25	Heilongjiang	Peking ducks	Cecum
HEBCeC-30	Heilongjiang	Peking ducks	Cecum
HEBCeC-4	Heilongjiang	Peking ducks	Cecum
HEBCeC-5	Heilongjiang	Peking ducks	Cecum
HEBCeC-7	Heilongjiang	Peking ducks	Cecum
HEBCeC-8	Heilongjiang	Peking ducks	Cecum
HNCeC10	Henan	Partridge ducks	Cecum
HNCeC11	Henan	Partridge ducks	Cecum
HNCeC12	Henan	Partridge ducks	Cecum
HNCeC13	Henan	Partridge ducks	Cecum
HNCeC14	Henan	Partridge ducks	Cecum
HNCeC15	Henan	Partridge ducks	Cecum
HNCeC16	Henan	Partridge ducks	Cecum
HNCeC17	Henan	Partridge ducks	Cecum
HNCeC18	Henan	Partridge ducks	Cecum
HNCeC4	Henan	Partridge ducks	Cecum
HNCeC5	Henan	Partridge ducks	Cecum
HNCeC6	Henan	Partridge ducks	Cecum
HNCeC7	Henan	Partridge ducks	Cecum
HNCeC8	Henan	Partridge ducks	Cecum
JSCeC1	Jiangsu	Partridge ducks	Cecum
JSCeC2	Jiangsu	Partridge ducks	Cecum
JSCeC3	Jiangsu	Partridge ducks	Cecum
JSCeC4	Jiangsu	Partridge ducks	Cecum
JSCeC5	Jiangsu	Partridge ducks	Cecum
JSCeC6	Jiangsu	Partridge ducks	Cecum
GZCeC-10	Jiangxi	Partridge ducks	Cecum
GZCeC-24	Jiangxi	Partridge ducks	Cecum
GZCeC-25	Jiangxi	Partridge ducks	Cecum
GZCeC-26	Jiangxi	Partridge ducks	Cecum
GZCeC-27	Jiangxi	Partridge ducks	Cecum
GZCeC-28	Jiangxi	Partridge ducks	Cecum
GZCeC-29	Jiangxi	Partridge ducks	Cecum
GZCeC-30	Jiangxi	Partridge ducks	Cecum
GZCeC-6	Jiangxi	Partridge ducks	Cecum
GZCeC-7	Jiangxi	Partridge ducks	Cecum
GZCeC-8	Jiangxi	Partridge ducks	Cecum
GZCeC-9	Jiangxi	Partridge ducks	Cecum
QDCoC1	Shandong	Peking ducks	Colorectum
QDCoC14	Shandong	Peking ducks	Colorectum
