sample	gene Abundance	Group	sample	Genus Abundance	Group	sample	Kos Abundance	Group
MD70dCoC1	9.463074351	Duck	ANCeC1	5.803145851	Duck	MD70dCoC1	9.463074351	Duck
MD70dCoC2	9.366045808	Duck	ANCeC2	5.8710679	Duck	MD70dCoC2	9.366045808	Duck
MD70dCoC3	9.880058524	Duck	ANCeC3	5.63854233	Duck	MD70dCoC3	9.880058524	Duck
MD70dCoC4	9.864879672	Duck	ANCeC4	5.445780429	Duck	MD70dCoC4	9.864879672	Duck
MD70dCoC5	9.476174792	Duck	ANCeC5	5.545902665	Duck	MD70dCoC5	9.476174792	Duck
MD70dCoC7	9.883220539	Duck	ANCeC6	5.980640802	Duck	MD70dCoC7	9.883220539	Duck
PD70dCoC1	9.798081164	Duck	ANCeC7	5.993229827	Duck	PD70dCoC1	9.798081164	Duck
PD70dCoC2	9.715424713	Duck	CeC1	6.103164472	Duck	PD70dCoC2	9.715424713	Duck
PD70dCoC3	9.810791818	Duck	CeC105	6.043180028	Duck	PD70dCoC3	9.810791818	Duck
PD70dCoC4	9.793938322	Duck	CeC108	6.189355736	Duck	PD70dCoC4	9.793938322	Duck
PD70dCoC5	9.788711345	Duck	CeC112	5.931099645	Duck	PD70dCoC5	9.788711345	Duck
PD70dCoC6	9.711030448	Duck	CeC113	5.778314841	Duck	PD70dCoC6	9.711030448	Duck
SDQCoC1	10.04832789	Duck	CeC123	6.141751062	Duck	SDQCoC1	10.04832789	Duck
SDQCoC3	9.944999568	Duck	CeC124	5.505344391	Duck	SDQCoC3	9.944999568	Duck
SDQCoC4	10.08322073	Duck	CeC139	6.053211379	Duck	SDQCoC4	10.08322073	Duck
SDQCoC5	9.983912658	Duck	CeC149	6.16661875	Duck	SDQCoC5	9.983912658	Duck
SDQCoC7	9.958243457	Duck	CeC161	6.343709492	Duck	SDQCoC7	9.958243457	Duck
SDQCoC8	10.1150279	Duck	CeC164	6.191577113	Duck	SDQCoC8	10.1150279	Duck
WHYCoC1	9.701450405	Duck	CeC166	5.835766674	Duck	WHYCoC1	9.701450405	Duck
WHYCoC2	9.839204289	Duck	CeC186	5.628754122	Duck	WHYCoC2	9.839204289	Duck
WHYCoC3	9.788441605	Duck	CeC192	5.450200622	Duck	WHYCoC3	9.788441605	Duck
WHYCoC5	9.562699392	Duck	CeC198	5.463902811	Duck	WHYCoC5	9.562699392	Duck
WHYCoC6	9.814852092	Duck	CeC200	5.893129746	Duck	WHYCoC6	9.814852092	Duck
WHYCoC7	10.01094619	Duck	CeC28	5.956018603	Duck	WHYCoC7	10.01094619	Duck
MD70dduC1	4.725360118	Duck	CeC35	5.969360706	Duck	MD70dduC1	4.725360118	Duck
MD70dduC2	6.468669606	Duck	CeC38	6.084362842	Duck	MD70dduC2	6.468669606	Duck
MD70dduC3	8.018809706	Duck	CeC41	6.049858614	Duck	MD70dduC3	8.018809706	Duck
MD70dduC4	7.405995934	Duck	CeC42	6.069229852	Duck	MD70dduC4	7.405995934	Duck
MD70dduC5	4.802032894	Duck	CeC51	6.047811197	Duck	MD70dduC5	4.802032894	Duck
MD70dduC7	4.488377871	Duck	CeC6	6.235230501	Duck	MD70dduC7	4.488377871	Duck
PD70dduC1	7.837657506	Duck	CeC61	6.12521641	Duck	PD70dduC1	7.837657506	Duck
PD70dduC2	6.080637782	Duck	CeC66	4.989618599	Duck	PD70dduC2	6.080637782	Duck
PD70dduC3	7.158070487	Duck	CeC67	6.075809626	Duck	PD70dduC3	7.158070487	Duck
PD70dduC4	6.465552394	Duck	CeC68	6.093172831	Duck	PD70dduC4	6.465552394	Duck
PD70dduC5	7.838321744	Duck	CeC69	6.189255963	Duck	PD70dduC5	7.838321744	Duck
PD70dduC6	6.146885326	Duck	CeC70	5.969546966	Duck	PD70dduC6	6.146885326	Duck
SDQDuC1	9.836477754	Duck	CeC89	6.158381859	Duck	SDQDuC1	9.836477754	Duck
SDQDuC2	9.706216423	Duck	FJCeC1	5.642269056	Duck	SDQDuC2	9.706216423	Duck
SDQDuC3	9.846394522	Duck	FJCeC2	5.192874975	Duck	SDQDuC3	9.846394522	Duck
SDQDuC4	9.580283704	Duck	FJCeC3	5.306590507	Duck	SDQDuC4	9.580283704	Duck
SDQDuC5	9.479319408	Duck	FJCeC4	5.173665378	Duck	SDQDuC5	9.479319408	Duck
SDQDuC7	9.911830658	Duck	FJCeC5	5.706633214	Duck	SDQDuC7	9.911830658	Duck
WHYDuC1	9.26223805	Duck	FJCeC6	5.491528012	Duck	WHYDuC1	9.26223805	Duck
WHYDuC2	9.517674602	Duck	GZCeC-10	4.988503985	Duck	WHYDuC2	9.517674602	Duck
WHYDuC6	9.408014479	Duck	GZCeC-24	3.078906764	Duck	WHYDuC6	9.408014479	Duck
WHYDuC7	9.479303142	Duck	GZCeC-25	2.970187107	Duck	WHYDuC7	9.479303142	Duck
WHYDuC8	9.440277886	Duck	GZCeC-26	4.404690763	Duck	WHYDuC8	9.440277886	Duck
MD70dIlC1	9.283228629	Duck	GZCeC-27	4.372324726	Duck	MD70dIlC1	9.283228629	Duck
MD70dIlC2	9.513593603	Duck	GZCeC-28	3.028627555	Duck	MD70dIlC2	9.513593603	Duck
MD70dIlC3	8.592984618	Duck	GZCeC-29	2.925579065	Duck	MD70dIlC3	8.592984618	Duck
MD70dIlC4	9.502988974	Duck	GZCeC-30	4.316381981	Duck	MD70dIlC4	9.502988974	Duck
MD70dIlC5	9.315501999	Duck	GZCeC-6	4.34195446	Duck	MD70dIlC5	9.315501999	Duck
MD70dIlC7	8.492419616	Duck	GZCeC-7	4.420854885	Duck	MD70dIlC7	8.492419616	Duck
PD70dIlC1	8.506806294	Duck	GZCeC-8	5.786762104	Duck	PD70dIlC1	8.506806294	Duck
PD70dIlC2	8.399918086	Duck	GZCeC-9	4.310470364	Duck	PD70dIlC2	8.399918086	Duck
PD70dIlC3	9.450651428	Duck	HBCeC1	5.516186188	Duck	PD70dIlC3	9.450651428	Duck
PD70dIlC4	8.789921974	Duck	HBCeC2	5.976867177	Duck	PD70dIlC4	8.789921974	Duck
PD70dIlC5	8.494129467	Duck	HBCeC3	5.966254734	Duck	PD70dIlC5	8.494129467	Duck
PD70dIlC6	8.383556075	Duck	HBCeC4	5.528556577	Duck	PD70dIlC6	8.383556075	Duck
SDQILC1	10.12274261	Duck	HBCeC5	5.565934592	Duck	SDQILC1	10.12274261	Duck
SDQILC2	9.359252276	Duck	HBCeC6	5.560049911	Duck	SDQILC2	9.359252276	Duck
SDQILC4	10.19208903	Duck	HEBCeC-10	5.377047724	Duck	SDQILC4	10.19208903	Duck
SDQILC5	9.998308224	Duck	HEBCeC-15	4.889611955	Duck	SDQILC5	9.998308224	Duck
SDQILC8	10.10064391	Duck	HEBCeC-17	4.914415325	Duck	SDQILC8	10.10064391	Duck
SDQILC9	9.566463937	Duck	HEBCeC-18	5.368148309	Duck	SDQILC9	9.566463937	Duck
WHYILC1	9.46048581	Duck	HEBCeC-21	4.015223669	Duck	WHYILC1	9.46048581	Duck
WHYILC3	9.941217708	Duck	HEBCeC-22	5.110021697	Duck	WHYILC3	9.941217708	Duck
WHYILC4	9.793410737	Duck	HEBCeC-25	5.015571895	Duck	WHYILC4	9.793410737	Duck
WHYILC5	9.764522956	Duck	HEBCeC-30	4.492918546	Duck	WHYILC5	9.764522956	Duck
WHYILC6	9.731769086	Duck	HEBCeC-4	5.567980666	Duck	WHYILC6	9.731769086	Duck
WHYILC8	9.564079813	Duck	HEBCeC-5	5.287739233	Duck	WHYILC8	9.564079813	Duck
MD70djeC1	4.324117656	Duck	HEBCeC-7	6.036525334	Duck	MD70djeC1	4.324117656	Duck
MD70djeC2	6.941973176	Duck	HEBCeC-8	5.388353725	Duck	MD70djeC2	6.941973176	Duck
MD70djeC3	4.435181759	Duck	HNCeC10	5.628503207	Duck	MD70djeC3	4.435181759	Duck
MD70djeC4	6.7160667	Duck	HNCeC11	5.6592049	Duck	MD70djeC4	6.7160667	Duck
MD70djeC5	4.720166715	Duck	HNCeC12	4.830111911	Duck	MD70djeC5	4.720166715	Duck
MD70djeC6	5.081040151	Duck	HNCeC13	4.818280931	Duck	MD70djeC6	5.081040151	Duck
PD70djeC1	7.256937452	Duck	HNCeC14	5.850041625	Duck	PD70djeC1	7.256937452	Duck
