Sample	Group	Genes Abundance	Genus Abundance	Kos Abundance
WHYCeC1R	Mallards	20.36356716	5.533254258	9.862746277
WHYCeC2R	Mallards	19.78155886	4.708932579	9.817779318
WHYCeC3R	Mallards	20.11366374	5.053288567	9.848204745
WHYCeC4R	Mallards	18.41525791	4.266820113	9.831052442
WHYCeC5R	Mallards	18.8746228	3.910565241	9.80314788
WHYCeC6R	Mallards	19.11897579	3.980758066	9.743759443
WHYCeC7R	Mallards	18.94789553	4.47467932	9.85801816
WHYCeC6L	Mallards	19.29057054	4.041557581	9.676800251
WHYCeC8	Mallards	14.78857188	3.40891611	9.635095861
WNCeC1L	Mallards	17.86247351	4.432231567	9.723263367
WNCeC2L	Mallards	18.17965091	5.034308948	9.890179194
WNFCeC1L	Mallards	17.58505621	4.13941805	9.730844468
WNFCeC2L	Mallards	14.86171745	4.048504702	10.37477598
WNFCeC3L	Mallards	17.23293945	4.296049707	9.826141678
WNFCeC4L	Mallards	18.40405854	4.158827511	9.704326244
WFHCeC1L	Mallards	19.89655062	5.142130313	9.818037337
WFHCeC2L	Mallards	20.74604676	5.69189336	9.88215748
WFHCeC3L	Mallards	20.59279648	5.510406783	9.864328632
WFHCeC4L	Mallards	19.99880877	4.867071436	9.80728066
WFHCeC6L	Mallards	20.43890528	5.193449175	9.844457677
WFHCeC11L	Mallards	19.64244147	5.147376241	9.840369145
WFHCeC12L	Mallards	19.82766251	5.073774806	9.85357199
WFHCeC13L	Mallards	19.82413647	5.055240128	9.827629292
WFHCeC14L	Mallards	20.32875712	5.438519028	9.822209888
WFHCeC16L	Mallards	19.9765811	5.970021019	9.932110741
WFHCeC21L	Mallards	20.1613972	5.123170059	9.831379418
WFHCeC22L	Mallards	20.52439094	5.469734909	9.832868658
WFHCeC23L	Mallards	19.4804223	4.774854567	9.87278051
WFHCeC24L	Mallards	20.17376357	5.733112087	9.869377887
WFHCeC25L	Mallards	20.55937702	5.315925721	9.822987529
GZCeC-10	Partridge ducks	19.06970455	4.988503985	9.753817128
GZCeC-24	Partridge ducks	15.52707197	3.078906764	10.04302952
GZCeC-25	Partridge ducks	14.86509683	2.970187107	9.517604131
GZCeC-26	Partridge ducks	18.91729133	4.404690763	9.709467527
GZCeC-27	Partridge ducks	12.51614081	4.372324726	9.955845027
GZCeC-28	Partridge ducks	15.67217214	3.028627555	9.700298936
GZCeC-29	Partridge ducks	16.18965591	2.925579065	10.03586622
GZCeC-30	Partridge ducks	17.26845861	4.316381981	9.839781875
GZCeC-6	Partridge ducks	18.07553629	4.34195446	9.80409564
GZCeC-7	Partridge ducks	16.11935704	4.420854885	9.952993978
GZCeC-8	Partridge ducks	17.80018377	5.786762104	9.912525252
GZCeC-9	Partridge ducks	16.3282893	4.310470364	9.86009209
HNCeC10	Partridge ducks	20.31569502	5.628503207	9.78355616
HNCeC11	Partridge ducks	20.64520364	5.6592049	9.801145234
HNCeC12	Partridge ducks	19.99134543	4.830111911	9.73895627
HNCeC13	Partridge ducks	20.00127919	4.818280931	9.743767197
HNCeC14	Partridge ducks	20.22806312	5.850041625	9.874782413
HNCeC15	Partridge ducks	20.93091646	5.607159485	9.768134509
HNCeC16	Partridge ducks	20.82459672	5.50458207	9.788287812
HNCeC17	Partridge ducks	20.63771775	5.663791135	9.78706745
HNCeC18	Partridge ducks	20.671083	5.732774964	9.795290706
HNCeC4	Partridge ducks	18.98508392	4.351697254	9.709947564
HNCeC5	Partridge ducks	19.30000374	4.413961681	9.684004652
HNCeC6	Partridge ducks	20.1301213	4.790866374	9.72867116
HNCeC7	Partridge ducks	20.73161152	5.543230265	9.751598174
HNCeC8	Partridge ducks	20.9119244	5.678207236	9.831648362
SSCeC-1	Partridge ducks	20.58291505	5.58689661	9.846407822
SSCeC-10	Partridge ducks	19.91654624	5.796759751	9.752809802
SSCeC-2	Partridge ducks	20.56340164	5.710489478	9.85498023
SSCeC-3	Partridge ducks	19.87789859	4.734245119	9.825940081
SSCeC-4	Partridge ducks	19.96063811	4.775981099	9.82319764
SSCeC-5	Partridge ducks	20.27579278	5.599455347	9.869334926
SSCeC-6	Partridge ducks	19.70411	5.433439233	9.938901799
SSCeC-7	Partridge ducks	20.27219562	6.207468794	9.851629849
SSCeC-8	Partridge ducks	20.06953304	5.073779482	9.856968857
SSCeC-9	Partridge ducks	19.61746528	6.288038518	9.761072413
SDQCeC1R	Partridge ducks	20.87812286	5.594959143	9.856291489
SDQCeC4R	Partridge ducks	20.63025817	5.458187203	9.880700857
SDQCeC5L	Partridge ducks	18.33432021	4.132635297	9.781558052
SDQCeC7R	Partridge ducks	18.38748344	4.345965099	9.740129062
SDQCeC8R	Partridge ducks	19.90481348	4.723133511	9.805324735
SDQCeC9R	Partridge ducks	20.6656395	5.168017623	9.832413411
SDQCeC10L	Partridge ducks	19.74443415	4.506782446	9.818357791
SDQCeC11L	Partridge ducks	18.52298088	5.736171187	9.933137543
FJCeC1	Partridge ducks	19.72188109	5.642269056	9.889485486
FJCeC2	Partridge ducks	20.08589002	5.192874975	9.869022489
FJCeC3	Partridge ducks	19.98443556	5.306590507	9.871977775
FJCeC4	Partridge ducks	19.91114277	5.173665378	9.861874245
FJCeC5	Partridge ducks	20.02418094	5.706633214	9.932314271
FJCeC6	Partridge ducks	20.06686375	5.491528012	9.90743811
SXCeC1	Partridge ducks	19.96923193	6.211713969	9.971812297
SXCeC2	Partridge ducks	19.59568808	6.190918107	9.959613017
SXCeC3	Partridge ducks	19.7369136	6.238208953	9.988021532
SXCeC4	Partridge ducks	19.93534786	6.044456137	9.944725744
SXCeC5	Partridge ducks	19.95561763	6.140603695	9.967322159
SXCeC6	Partridge ducks	20.26696157	6.171873204	9.970336253
JSCeC1	Partridge ducks	19.57499273	6.153079825	9.956566934
JSCeC2	Partridge ducks	19.46950548	6.311212879	9.981402919
JSCeC3	Partridge ducks	19.77179578	6.237975858	9.984781537
JSCeC4	Partridge ducks	19.78923364	6.158912532	9.97370844
JSCeC5	Partridge ducks	19.71990971	6.327872985	9.984109476
JSCeC6	Partridge ducks	19.82227626	6.26541931	10.02760848
HEBCeC-10	Peking ducks	18.23271561	5.377047724	10.09084989
HEBCeC-15	Peking ducks	18.93208483	4.889611955	9.821756161
HEBCeC-17	Peking ducks	19.66378536	4.914415325	9.799141406
HEBCeC-18	Peking ducks	20.08762701	5.368148309	9.793781741
HEBCeC-21	Peking ducks	18.70872	4.015223669	9.630804673
HEBCeC-22	Peking ducks	18.68973833	5.110021697	9.856860377
HEBCeC-25	Peking ducks	20.06865956	5.015571895	9.775143321
HEBCeC-30	Peking ducks	19.35953154	4.492918546	9.726257537
HEBCeC-4	Peking ducks	18.27217757	5.567980666	10.05799633
HEBCeC-5	Peking ducks	18.316718	5.287739233	10.04895506
HEBCeC-7	Peking ducks	18.98061049	6.036525334	9.814795307
HEBCeC-8	Peking ducks	18.17245588	5.388353725	10.05390274
ANCeC1	Peking ducks	20.02926578	5.803145851	9.929948963
ANCeC2	Peking ducks	20.28958429	5.8710679	9.890527407
ANCeC3	Peking ducks	19.84898583	5.63854233	9.879860215
ANCeC4	Peking ducks	19.72510308	5.445780429	9.918744002
ANCeC5	Peking ducks	19.66896337	5.545902665	9.837867715
ANCeC6	Peking ducks	20.26018426	5.980640802	9.948624503
ANCeC7	Peking ducks	20.38139838	5.993229827	9.910081672
SDCeC1	Peking ducks	19.77560445	6.224849594	10.00382509
SDCeC2	Peking ducks	19.71054492	6.025549294	9.959743663
SDCeC3	Peking ducks	19.90947853	6.216766846	9.987388537
SDCeC4	Peking ducks	19.33916079	5.954536972	9.935521184
SDCeC5	Peking ducks	19.4416902	5.894072984	9.867418903
SDCeC6	Peking ducks	19.48692727	5.982183043	9.856213873
PD70dCeC1	Peking ducks	19.22656424	5.506758671	9.778066943
PD70dCeC2	Peking ducks	19.03129892	5.49602263	9.776901023
PD70dCeC3	Peking ducks	19.01713958	5.284513826	9.785209741
PD70dCeC4	Peking ducks	18.97040542	5.247096618	9.78043327
PD70dCeC5	Peking ducks	19.00351528	5.482310482	9.778265477
PD70dCeC6	Peking ducks	19.21946532	5.457737364	9.801528235
SDQCeC1L	Peking ducks	20.88700301	5.604084138	9.774322593
SDQCeC2L	Peking ducks	20.25392497	5.205135502	9.814245138
SDQCeC3L	Peking ducks	21.08685012	5.588956712	9.753403837
SDQCeC4L	Peking ducks	20.84736155	5.537114345	9.78981428
SDQCeC8L	Peking ducks	20.2452788	5.473422642	9.819094759
SDQCeC9L	Peking ducks	20.52379371	5.463567927	9.781301567
HBCeC1	Peking ducks	18.43039873	5.516186188	9.897211875
