sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
WHYCeC2R	WHYCeC1R	0.634319633	Mallards	WHYCeC2R	WHYCeC1R	0.266342911	Mallards	WHYCeC2R	WHYCeC1R	0.067240127	Mallards
WHYCeC3R	WHYCeC1R	0.538210482	Mallards	WHYCeC3R	WHYCeC1R	0.163381404	Mallards	WHYCeC3R	WHYCeC1R	0.048823765	Mallards
WHYCeC4R	WHYCeC1R	0.667227355	Mallards	WHYCeC4R	WHYCeC1R	0.315141041	Mallards	WHYCeC4R	WHYCeC1R	0.115720979	Mallards
WHYCeC5R	WHYCeC1R	0.6613878	Mallards	WHYCeC5R	WHYCeC1R	0.361911884	Mallards	WHYCeC5R	WHYCeC1R	0.103476874	Mallards
WHYCeC6R	WHYCeC1R	0.648832593	Mallards	WHYCeC6R	WHYCeC1R	0.32153452	Mallards	WHYCeC6R	WHYCeC1R	0.088648046	Mallards
WHYCeC7R	WHYCeC1R	0.70953246	Mallards	WHYCeC7R	WHYCeC1R	0.362881195	Mallards	WHYCeC7R	WHYCeC1R	0.080627784	Mallards
WHYCeC6L	WHYCeC1R	0.681231293	Mallards	WHYCeC6L	WHYCeC1R	0.355327551	Mallards	WHYCeC6L	WHYCeC1R	0.111974012	Mallards
WHYCeC8	WHYCeC1R	0.929065704	Mallards	WHYCeC8	WHYCeC1R	0.530793994	Mallards	WHYCeC8	WHYCeC1R	0.206756828	Mallards
WNCeC1L	WHYCeC1R	0.812082391	Mallards	WNCeC1L	WHYCeC1R	0.418485643	Mallards	WNCeC1L	WHYCeC1R	0.131492672	Mallards
WNCeC2L	WHYCeC1R	0.861201645	Mallards	WNCeC2L	WHYCeC1R	0.413467151	Mallards	WNCeC2L	WHYCeC1R	0.130866254	Mallards
WNFCeC1L	WHYCeC1R	0.830176593	Mallards	WNFCeC1L	WHYCeC1R	0.395324164	Mallards	WNFCeC1L	WHYCeC1R	0.129582006	Mallards
WNFCeC2L	WHYCeC1R	0.945010525	Mallards	WNFCeC2L	WHYCeC1R	0.696137602	Mallards	WNFCeC2L	WHYCeC1R	0.328033108	Mallards
WNFCeC3L	WHYCeC1R	0.810761376	Mallards	WNFCeC3L	WHYCeC1R	0.406392369	Mallards	WNFCeC3L	WHYCeC1R	0.121437795	Mallards
WNFCeC4L	WHYCeC1R	0.744589955	Mallards	WNFCeC4L	WHYCeC1R	0.316221868	Mallards	WNFCeC4L	WHYCeC1R	0.118956039	Mallards
WFHCeC1L	WHYCeC1R	0.680000737	Mallards	WFHCeC1L	WHYCeC1R	0.27573798	Mallards	WFHCeC1L	WHYCeC1R	0.063697039	Mallards
WFHCeC2L	WHYCeC1R	0.64975753	Mallards	WFHCeC2L	WHYCeC1R	0.223206658	Mallards	WFHCeC2L	WHYCeC1R	0.057712619	Mallards
WFHCeC3L	WHYCeC1R	0.583110137	Mallards	WFHCeC3L	WHYCeC1R	0.198637987	Mallards	WFHCeC3L	WHYCeC1R	0.051408858	Mallards
WFHCeC4L	WHYCeC1R	0.563338424	Mallards	WFHCeC4L	WHYCeC1R	0.22112337	Mallards	WFHCeC4L	WHYCeC1R	0.05344702	Mallards
WFHCeC6L	WHYCeC1R	0.551540351	Mallards	WFHCeC6L	WHYCeC1R	0.203197389	Mallards	WFHCeC6L	WHYCeC1R	0.048551295	Mallards
WFHCeC11L	WHYCeC1R	0.627140184	Mallards	WFHCeC11L	WHYCeC1R	0.192677874	Mallards	WFHCeC11L	WHYCeC1R	0.056972408	Mallards
WFHCeC12L	WHYCeC1R	0.620690568	Mallards	WFHCeC12L	WHYCeC1R	0.218694549	Mallards	WFHCeC12L	WHYCeC1R	0.05634652	Mallards
WFHCeC13L	WHYCeC1R	0.620027761	Mallards	WFHCeC13L	WHYCeC1R	0.242194407	Mallards	WFHCeC13L	WHYCeC1R	0.058104998	Mallards
WFHCeC14L	WHYCeC1R	0.7440391	Mallards	WFHCeC14L	WHYCeC1R	0.269921822	Mallards	WFHCeC14L	WHYCeC1R	0.071482832	Mallards
