Sample	Group	Gene Abundance	Sample	Genus Group	Abundance	Sample	Kos Group	Abundance
MD70dduC1	Duodenum	7.793414865	MD70dduC1	Duodenum	4.874064672	MD70dduC1	Duodenum	4.725360118
MD70dduC2	Duodenum	7.473025976	MD70dduC2	Duodenum	4.95218783	MD70dduC2	Duodenum	6.468669606
MD70dduC3	Duodenum	7.774029696	MD70dduC3	Duodenum	5.406454687	MD70dduC3	Duodenum	8.018809706
MD70dduC4	Duodenum	7.362250507	MD70dduC4	Duodenum	5.326447653	MD70dduC4	Duodenum	7.405995934
MD70dduC5	Duodenum	7.839578845	MD70dduC5	Duodenum	5.001353353	MD70dduC5	Duodenum	4.802032894
MD70dduC7	Duodenum	7.638857591	MD70dduC7	Duodenum	4.613148017	MD70dduC7	Duodenum	4.488377871
PD70dduC1	Duodenum	7.568061093	PD70dduC1	Duodenum	6.151303411	PD70dduC1	Duodenum	7.837657506
PD70dduC2	Duodenum	7.086977434	PD70dduC2	Duodenum	6.248007967	PD70dduC2	Duodenum	6.080637782
PD70dduC3	Duodenum	7.003470828	PD70dduC3	Duodenum	6.524533376	PD70dduC3	Duodenum	7.158070487
PD70dduC4	Duodenum	7.170353027	PD70dduC4	Duodenum	6.272500241	PD70dduC4	Duodenum	6.465552394
PD70dduC5	Duodenum	7.495863214	PD70dduC5	Duodenum	6.187407622	PD70dduC5	Duodenum	7.838321744
PD70dduC6	Duodenum	7.061910143	PD70dduC6	Duodenum	6.254371763	PD70dduC6	Duodenum	6.146885326
SDQDuC1	Duodenum	16.69790903	SDQDuC1	Duodenum	6.389792492	SDQDuC1	Duodenum	9.836477754
SDQDuC2	Duodenum	14.15641996	SDQDuC2	Duodenum	5.856653004	SDQDuC2	Duodenum	9.706216423
SDQDuC3	Duodenum	16.65427381	SDQDuC3	Duodenum	6.307366022	SDQDuC3	Duodenum	9.846394522
SDQDuC4	Duodenum	12.13999945	SDQDuC4	Duodenum	6.306642215	SDQDuC4	Duodenum	9.580283704
SDQDuC5	Duodenum	11.3100348	SDQDuC5	Duodenum	6.252990206	SDQDuC5	Duodenum	9.479319408
SDQDuC7	Duodenum	16.20100105	SDQDuC7	Duodenum	6.513317207	SDQDuC7	Duodenum	9.911830658
WHYDuC1	Duodenum	10.75741693	WHYDuC1	Duodenum	6.188633665	WHYDuC1	Duodenum	9.26223805
WHYDuC2	Duodenum	12.49470245	WHYDuC2	Duodenum	5.962470219	WHYDuC2	Duodenum	9.517674602
WHYDuC6	Duodenum	10.78322101	WHYDuC6	Duodenum	5.264178888	WHYDuC6	Duodenum	9.408014479
WHYDuC7	Duodenum	11.29926155	WHYDuC7	Duodenum	5.953671897	WHYDuC7	Duodenum	9.479303142
WHYDuC8	Duodenum	11.99212924	WHYDuC8	Duodenum	4.463508022	WHYDuC8	Duodenum	9.440277886
MD70dIlC1	Ileum	8.639278546	MD70dIlC1	Ileum	5.611849816	MD70dIlC1	Ileum	9.283228629
MD70dIlC2	Ileum	12.04734423	MD70dIlC2	Ileum	3.356652199	MD70dIlC2	Ileum	9.513593603
MD70dIlC3	Ileum	7.885095707	MD70dIlC3	Ileum	5.864558189	MD70dIlC3	Ileum	8.592984618
MD70dIlC4	Ileum	12.34463626	MD70dIlC4	Ileum	3.590683823	MD70dIlC4	Ileum	9.502988974
