Sample1	Sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
MD70dduC2	MD70dduC1	0.174185977	Duodenum	MD70dduC2	MD70dduC1	0.197509918	Duodenum	MD70dduC2	MD70dduC1	0.749918809	Duodenum
MD70dduC3	MD70dduC1	0.168985658	Duodenum	MD70dduC3	MD70dduC1	0.314316532	Duodenum	MD70dduC3	MD70dduC1	0.875020779	Duodenum
MD70dduC4	MD70dduC1	0.169551577	Duodenum	MD70dduC4	MD70dduC1	0.25381667	Duodenum	MD70dduC4	MD70dduC1	0.81506188	Duodenum
MD70dduC5	MD70dduC1	0.131230959	Duodenum	MD70dduC5	MD70dduC1	0.107409865	Duodenum	MD70dduC5	MD70dduC1	0.637438368	Duodenum
MD70dduC7	MD70dduC1	0.163067117	Duodenum	MD70dduC7	MD70dduC1	0.13825802	Duodenum	MD70dduC7	MD70dduC1	0.664500483	Duodenum
PD70dduC1	MD70dduC1	0.990530909	Duodenum	PD70dduC1	MD70dduC1	0.834243217	Duodenum	PD70dduC1	MD70dduC1	0.988919498	Duodenum
PD70dduC2	MD70dduC1	0.99019796	Duodenum	PD70dduC2	MD70dduC1	0.654458609	Duodenum	PD70dduC2	MD70dduC1	0.973259559	Duodenum
PD70dduC3	MD70dduC1	0.990751	Duodenum	PD70dduC3	MD70dduC1	0.763095796	Duodenum	PD70dduC3	MD70dduC1	0.991265847	Duodenum
PD70dduC4	MD70dduC1	0.989539398	Duodenum	PD70dduC4	MD70dduC1	0.705325343	Duodenum	PD70dduC4	MD70dduC1	0.979241594	Duodenum
PD70dduC5	MD70dduC1	0.990823856	Duodenum	PD70dduC5	MD70dduC1	0.809834654	Duodenum	PD70dduC5	MD70dduC1	0.980976792	Duodenum
PD70dduC6	MD70dduC1	0.990667701	Duodenum	PD70dduC6	MD70dduC1	0.652846474	Duodenum	PD70dduC6	MD70dduC1	0.977883933	Duodenum
SDQDuC1	MD70dduC1	0.992833542	Duodenum	SDQDuC1	MD70dduC1	0.974500212	Duodenum	SDQDuC1	MD70dduC1	0.995526429	Duodenum
SDQDuC2	MD70dduC1	0.989107767	Duodenum	SDQDuC2	MD70dduC1	0.96014255	Duodenum	SDQDuC2	MD70dduC1	0.995546728	Duodenum
SDQDuC3	MD70dduC1	0.993024874	Duodenum	SDQDuC3	MD70dduC1	0.97892595	Duodenum	SDQDuC3	MD70dduC1	0.995648822	Duodenum
SDQDuC4	MD70dduC1	0.9883131	Duodenum	SDQDuC4	MD70dduC1	0.946260264	Duodenum	SDQDuC4	MD70dduC1	0.993785021	Duodenum
SDQDuC5	MD70dduC1	0.987863662	Duodenum	SDQDuC5	MD70dduC1	0.935282813	Duodenum	SDQDuC5	MD70dduC1	0.991656393	Duodenum
SDQDuC7	MD70dduC1	0.993508814	Duodenum	SDQDuC7	MD70dduC1	0.971524224	Duodenum	SDQDuC7	MD70dduC1	0.995518493	Duodenum
WHYDuC1	MD70dduC1	0.985583093	Duodenum	WHYDuC1	MD70dduC1	0.9043954	Duodenum	WHYDuC1	MD70dduC1	0.985509663	Duodenum
WHYDuC2	MD70dduC1	0.989706035	Duodenum	WHYDuC2	MD70dduC1	0.934794284	Duodenum	WHYDuC2	MD70dduC1	0.99199094	Duodenum
