KEGG function	MD70dduC1	MD70dduC2	MD70dduC3	MD70dduC4	MD70dduC5	MD70dduC7	PD70dduC1	PD70dduC2	PD70dduC3	PD70dduC4	PD70dduC5	PD70dduC6	SDQDuC1	SDQDuC2	SDQDuC3	SDQDuC4	SDQDuC5	SDQDuC7	WHYDuC1	WHYDuC2	WHYDuC6	WHYDuC7	WHYDuC8	MD70dIlC1	MD70dIlC2	MD70dIlC3	MD70dIlC4	MD70dIlC5	MD70dIlC7	PD70dIlC1	PD70dIlC2	PD70dIlC3	PD70dIlC4	PD70dIlC5	PD70dIlC6	SDQILC1	SDQILC2	SDQILC4	SDQILC5	SDQILC8	SDQILC9	WHYILC1	WHYILC3	WHYILC4	WHYILC5	WHYILC6	WHYILC8	MD70dCeC1	MD70dCeC2	MD70dCeC3	MD70dCeC4	MD70dCeC5	MD70dCeC6	PD70dCeC1	PD70dCeC2	PD70dCeC3	PD70dCeC4	PD70dCeC5	PD70dCeC6	SDQCeC1L	SDQCeC2L	SDQCeC3L	SDQCeC4L	SDQCeC8L	SDQCeC9L	WHYCeC1L	WHYCeC2L	WHYCeC3L	WHYCeC4L	WHYCeC5L	WHYCeC7L	MD70djeC1	MD70djeC2	MD70djeC3	MD70djeC4	MD70djeC5	MD70djeC6	PD70djeC1	PD70djeC2	PD70djeC3	PD70djeC4	PD70djeC5	PD70djeC6	SDQJeC1	SDQJeC2	SDQJeC4	SDQJeC5	SDQJeC7	SDQJeC9	WHYJeC1	WHYJeC2	WHYJeC3	WHYJeC5	WHYJeC7	WHYJeC8	MD70dCoC1	MD70dCoC2	MD70dCoC3	MD70dCoC4	MD70dCoC5	MD70dCoC7	PD70dCoC1	PD70dCoC2	PD70dCoC3	PD70dCoC4	PD70dCoC5	PD70dCoC6	SDQCoC1	SDQCoC3	SDQCoC4	SDQCoC5	SDQCoC7	SDQCoC8	WHYCoC1	WHYCoC2	WHYCoC3	WHYCoC5	WHYCoC6	WHYCoC7
MD70dduC1	0	0.749918809	0.875020779	0.81506188	0.637438368	0.664500483	0.988919498	0.973259559	0.991265847	0.979241594	0.980976792	0.977883933	0.995526429	0.995546728	0.995648822	0.993785021	0.991656393	0.995518493	0.985509663	0.99199094	0.9901163	0.991730435	0.995596234	0.941015195	0.99328856	0.894048392	0.994690724	0.946511362	0.925130962	0.996150378	0.989709611	0.996868804	0.995915964	0.995552562	0.991098327	0.996800055	0.997537461	0.997400526	0.997005405	0.996764253	0.997108635	0.987421542	0.996708958	0.996642646	0.995933347	0.977514671	0.995876831	0.996724737	0.996618084	0.996574795	0.99665831	0.996717767	0.996583496	0.996630868	0.99662901	0.996681154	0.996705392	0.996649871	0.996634466	0.996548005	0.996824414	0.996575306	0.996549648	0.996859141	0.996846064	0.996716803	0.996712127	0.996453243	0.996806111	0.99690554	0.996786238	0.658023573	0.833060232	0.527090223	0.834960018	0.591736254	0.618240736	0.985406454	0.990546694	0.980475824	0.974390983	0.987585397	0.989741783	0.992414955	0.994935077	0.991487841	0.994709496	0.995119573	0.995969364	0.987527713	0.989296673	0.990123124	0.990121457	0.984172083	0.991676635	0.994520712	0.96533458	0.996442655	0.996485575	0.99423691	0.996503031	0.996700571	0.995965307	0.9965361	0.996648273	0.996709643	0.996079611	0.996525295	0.996724266	0.997108908	0.99724759	0.996773834	0.997027622	0.996775795	0.99727238	0.996634329	0.99680775	0.996165157	0.99696682
MD70dduC2	0.749918809	0	0.796871239	0.776648064	0.772313453	0.78932669	0.975067532	0.938316969	0.9522897	0.952051344	0.96214226	0.949235149	0.987134716	0.986809626	0.987288197	0.981714533	0.976378506	0.987209869	0.958038746	0.975658877	0.970424212	0.973862803	0.985847158	0.87385566	0.982596272	0.819758233	0.984189071	0.879141374	0.849032218	0.9887977	0.976106008	0.990425458	0.988663301	0.987293741	0.971868933	0.989536081	0.992059498	0.991484094	0.990217053	0.989915107	0.990818633	0.964296665	0.989850418	0.989679473	0.988212587	0.933377055	0.987687981	0.989561485	0.989283548	0.989252587	0.989380653	0.989538342	0.989161991	0.989286728	0.989318363	0.989447904	0.989502228	0.989363235	0.989327165	0.988972136	0.989829648	0.989101656	0.989027691	0.98989962	0.989994292	0.989445325	0.989376087	0.988733641	0.989721661	0.990100114	0.989650762	0.832542664	0.791273322	0.76539013	0.84212045	0.775614756	0.794853089	0.955949081	0.968697316	0.957662154	0.940477901	0.965392179	0.970773728	0.980621455	0.986033847	0.976010832	0.983828649	0.98569218	0.987968813	0.963459733	0.970104726	0.96915253	0.970914229	0.956760522	0.97674712	0.984453755	0.915361058	0.98874321	0.988959361	0.984574949	0.988728959	0.989445428	0.987492022	0.989296273	0.989527725	0.98949854	0.987555918	0.989020739	0.98980557	0.990698211	0.99098122	0.989659094	0.990575082	0.989685566	0.991448711	0.98915162	0.989991961	0.987415899	0.990215941
MD70dduC3	0.875020779	0.796871239	0	0.75675761	0.896635011	0.878958809	0.909260939	0.91444611	0.862430804	0.897563079	0.896811832	0.894058945	0.96522395	0.962510907	0.964885856	0.953389675	0.934297104	0.965331536	0.890836746	0.935739979	0.918815609	0.934781457	0.958408081	0.71557415	0.955234954	0.691852681	0.958711383	0.721705955	0.686917413	0.966450305	0.927640694	0.973205279	0.969145127	0.966628148	0.925605639	0.970356837	0.977694518	0.975599543	0.972766113	0.971894904	0.974396039	0.901354036	0.971499814	0.971634199	0.967795151	0.808490349	0.964663689	0.968530833	0.968079973	0.967784899	0.968121045	0.968445847	0.96759466	0.967909085	0.967837731	0.968269821	0.968429428	0.967937844	0.967975448	0.967502443	0.970015129	0.967626089	0.967271617	0.970306661	0.970120683	0.968411957	0.968715425	0.966304645	0.96942504	0.970468206	0.969059495	0.8999964	0.814027123	0.856697281	0.832980619	0.855766745	0.828065683	0.896979419	0.933490896	0.89670606	0.869083844	0.901919873	0.940648556	0.944173099	0.961094402	0.930880414	0.956355805	0.961196426	0.968762258	0.902848978	0.915144584	0.915393932	0.923447138	0.894342218	0.936233891	0.956950432	0.790794579	0.966478962	0.966995215	0.957514179	0.966415398	0.968675259	0.965158171	0.968534486	0.968837613	0.968724774	0.964621986	0.968642578	0.970815489	0.97333444	0.97488024	0.970240463	0.973396395	0.969072116	0.975497475	0.968280854	0.9704937	0.96290518	0.971685339
MD70dduC4	0.81506188	0.776648064	0.75675761	0	0.847568945	0.761914465	0.963852174	0.96635144	0.934476282	0.956594588	0.950139637	0.954670681	0.987122631	0.986280024	0.987095675	0.981882609	0.975139629	0.987172098	0.960165409	0.97648911	0.968775384	0.975968967	0.985875164	0.857316167	0.982384832	0.799623763	0.983680442	0.865801258	0.819006802	0.987061696	0.969423062	0.989647618	0.988294427	0.986519687	0.971311622	0.988752117	0.991310896	0.990782319	0.989534143	0.989290941	0.990197313	0.962483765	0.989048802	0.989565524	0.988174493	0.919736157	0.987132292	0.988536842	0.988303282	0.988275362	0.988384336	0.988504281	0.988223792	0.988245368	0.988244994	0.988408373	0.988460376	0.988294974	0.988274147	0.987992946	0.988990538	0.988085575	0.987905688	0.9890508	0.989040907	0.988507208	0.988541144	0.987685132	0.988811331	0.989185525	0.988724961	0.842589602	0.799862466	0.800785169	0.749573002	0.770489826	0.812603215	0.957203305	0.973015047	0.956891624	0.949735919	0.954194864	0.97595273	0.978902531	0.985636575	0.973766475	0.983899687	0.985981659	0.988236938	0.964534031	0.96945873	0.969939101	0.971370279	0.956097504	0.975592263	0.982998944	0.909295088	0.987704394	0.98785914	0.983782305	0.98769417	0.988422647	0.986988651	0.988297008	0.988392583	0.988443407	0.987062954	0.988228978	0.989066129	0.990115578	0.9904225	0.988934498	0.989936288	0.988702979	0.990704528	0.98831665	0.989295417	0.98621642	0.989565184
MD70dduC5	0.637438368	0.772313453	0.896635011	0.847568945	0	0.669791709	0.99472875	0.95763164	0.982077599	0.978324393	0.99047123	0.970523121	0.996125698	0.996188691	0.996515121	0.994750963	0.992326774	0.996047878	0.987526033	0.993157402	0.990962393	0.992362969	0.995773644	0.937711799	0.994096475	0.918308532	0.995192066	0.954905297	0.919627608	0.997050313	0.99102412	0.997503936	0.996791695	0.996287306	0.988540401	0.997359212	0.998018192	0.997856361	0.997629828	0.997429891	0.997692555	0.989042735	0.997452877	0.997177343	0.996443887	0.980503498	0.996665154	0.997382474	0.997329151	0.997229259	0.997275032	0.997379842	0.997248666	0.997407016	0.997373128	0.997419273	0.997423419	0.997375567	0.997382654	0.997422897	0.997552287	0.997429531	0.997430528	0.997573591	0.997651701	0.997600204	0.997493856	0.997361851	0.997610182	0.997648292	0.997586126	0.685370577	0.835684774	0.697478822	0.826380073	0.640804454	0.684716522	0.989292459	0.991845472	0.986959849	0.974335081	0.986991219	0.99129914	0.993946005	0.99597731	0.992466728	0.995348096	0.99572048	0.996345178	0.989277168	0.990895675	0.991599921	0.991850007	0.986444407	0.9937567	0.995564197	0.972598133	0.997056781	0.997107519	0.995317322	0.997111343	0.9974114	0.99683106	0.997243182	0.997381341	0.997436299	0.996982359	0.9972291	0.997408483	0.997635509	0.997814186	0.997452625	0.997474839	0.997621569	0.997858998	0.99745545	0.997550654	0.997012327	0.997544955
MD70dduC7	0.664500483	0.78932669	0.878958809	0.761914465	0.669791709	0	0.990045903	0.979823633	0.97277489	0.983050538	0.986895265	0.980055906	0.996399097	0.996693557	0.996797816	0.995818557	0.992934791	0.996620849	0.987665096	0.993772888	0.992371048	0.993325164	0.995891195	0.950357628	0.994385394	0.919657667	0.995446317	0.956372523	0.9341114	0.996404036	0.989614145	0.997246073	0.996611585	0.996059743	0.992651059	0.997069087	0.997747848	0.997669659	0.997292915	0.997198765	0.997425	0.990599833	0.997126096	0.997150844	0.996605618	0.981074049	0.996562284	0.997000761	0.996931273	0.996907237	0.996975803	0.997008231	0.99691112	0.996944813	0.996942106	0.996984178	0.997000274	0.996951437	0.996951236	0.996880394	0.99714251	0.996912099	0.996873353	0.99717216	0.997157608	0.996992017	0.997020073	0.996787382	0.997086188	0.997174802	0.997054596	0.580368493	0.78868387	0.620197955	0.765814601	0.585048322	0.680851164	0.986127349	0.994287023	0.989798327	0.987823233	0.982532837	0.992048407	0.99474052	0.995941381	0.993615819	0.995695925	0.995867215	0.996782617	0.991127242	0.990577577	0.991843028	0.992584094	0.989798039	0.993815922	0.995046495	0.971504839	0.996863392	0.996806277	0.995036549	0.996891376	0.997012992	0.996689426	0.996928539	0.997205656	0.99701957	0.996649824	0.996964535	0.997171299	0.997421729	0.997510434	0.997163161	0.997316303	0.997045129	0.997574796	0.996974209	0.997112226	0.996513408	0.997310339
PD70dduC1	0.988919498	0.975067532	0.909260939	0.963852174	0.99472875	0.990045903	0	0.890843065	0.831768501	0.886084399	0.791189835	0.904487415	0.827907552	0.824296303	0.828347253	0.787094242	0.742927412	0.830356395	0.702050389	0.739495916	0.714742178	0.736282894	0.809625339	0.778168393	0.804906044	0.861246999	0.813132391	0.749551751	0.862839548	0.8488727	0.75354968	0.872415808	0.856089126	0.844543685	0.735690308	0.85119048	0.895375587	0.874051017	0.862171892	0.857186582	0.87811981	0.683900753	0.859233195	0.862652561	0.84049667	0.699445983	0.836592413	0.837949347	0.835382569	0.834260016	0.835638256	0.837751552	0.833354538	0.835550369	0.834790143	0.836999769	0.837768502	0.835205153	0.835411124	0.835544657	0.845214234	0.836826267	0.835390157	0.847621531	0.846908426	0.842468529	0.842318856	0.831540861	0.847047092	0.850287199	0.844028763	0.993561203	0.966169259	0.989292718	0.975396279	0.989515181	0.9851104	0.811787058	0.765984443	0.748107059	0.831333491	0.792113183	0.768443333	0.758034454	0.813110326	0.729576954	0.804831637	0.818980822	0.851793422	0.702722969	0.7132905	0.705412493	0.713998319	0.69081033	0.745617352	0.814848719	0.673950857	0.829093195	0.830155793	0.818166556	0.828380182	0.839173822	0.828623824	0.843586465	0.841520616	0.83940845	0.825466577	0.842491435	0.85270242	0.861131629	0.871960854	0.848006114	0.862770935	0.844079728	0.879793873	0.841359513	0.856458993	0.818074891	0.85695197
PD70dduC2	0.973259559	0.938316969	0.91444611	0.96635144	0.95763164	0.979823633	0.890843065	0	0.86018947	0.833805229	0.878999282	0.850272596	0.950853432	0.946575852	0.954154296	0.928589625	0.902620368	0.950377113	0.871393815	0.911560326	0.899428945	0.907708843	0.940682796	0.846753188	0.94100004	0.874357549	0.946463124	0.852174318	0.8720381	0.960570736	0.91294977	0.964838161	0.962720457	0.960911746	0.876960027	0.959384606	0.969869785	0.966275207	0.961545404	0.961750161	0.964895687	0.882618589	0.959970298	0.960626427	0.958902597	0.870803518	0.95524133	0.961948359	0.961003044	0.960969564	0.961430627	0.961767708	0.960924639	0.961148604	0.961041025	0.961543948	0.961782419	0.961130832	0.961236374	0.959442499	0.962810577	0.96032557	0.95949066	0.963202898	0.963006859	0.961844938	0.961991142	0.958891597	0.963125986	0.963763494	0.96256656	0.987210219	0.930358758	0.979893853	0.979100559	0.969351603	0.977282165	0.87265486	0.907870274	0.854202043	0.860328074	0.822727718	0.893833216	0.918803956	0.945341319	0.900117168	0.940096174	0.941740324	0.952819493	0.876991904	0.906202587	0.905617435	0.906119788	0.870384873	0.916895636	0.946105484	0.875251707	0.959558667	0.960489048	0.946603767	0.959278661	0.96202732	0.958065994	0.961060653	0.962393448	0.962172922	0.956207645	0.958755816	0.961324121	0.963816857	0.964440101	0.961189002	0.963392716	0.962499925	0.965799631	0.960528406	0.964434013	0.954904426	0.96417223
PD70dduC3	0.991265847	0.9522897	0.862430804	0.934476282	0.982077599	0.97277489	0.831768501	0.86018947	0	0.855472167	0.812186842	0.862450617	0.920047693	0.915747553	0.920024062	0.893088434	0.863318064	0.92030522	0.819701861	0.869902575	0.841329938	0.867216703	0.905986973	0.767825809	0.90533634	0.847756138	0.911124584	0.76983135	0.839707993	0.925106337	0.831777694	0.939664398	0.930339452	0.924358724	0.825827239	0.931495827	0.950481873	0.943031025	0.937939297	0.934108126	0.9439442	0.809783935	0.935333325	0.936678004	0.929060576	0.778293518	0.92337779	0.928550477	0.926267691	0.926691092	0.927800194	0.92831615	0.926273142	0.926850128	0.927043108	0.928152712	0.928642083	0.927218173	0.927200659	0.926366616	0.931438163	0.927117185	0.926196846	0.931522954	0.931951719	0.93130993	0.931135269	0.925412524	0.933630158	0.93445347	0.931451383	0.991546624	0.945597517	0.983959047	0.956919088	0.979289595	0.961333323	0.818739751	0.85746515	0.80991443	0.805824378	0.8254513	0.865556444	0.869604825	0.909701411	0.845712224	0.904299486	0.913499559	0.929526398	0.822700228	0.836201166	0.837432996	0.838539635	0.802594111	0.862583358	0.908772843	0.747863386	0.923940452	0.925094768	0.910983526	0.923474489	0.928174137	0.918300573	0.927501383	0.928217823	0.928507458	0.919667486	0.927206092	0.933100352	0.937435453	0.942666722	0.930437057	0.937825574	0.931072766	0.945487547	0.927393613	0.937251613	0.916197109	0.934441737
PD70dduC4	0.979241594	0.952051344	0.897563079	0.956594588	0.978324393	0.983050538	0.886084399	0.833805229	0.855472167	0	0.89156852	0.819949362	0.939773918	0.934853459	0.943316275	0.920113193	0.881524827	0.940142447	0.8390931	0.896601465	0.876220845	0.892128722	0.926711954	0.813029678	0.930279069	0.873019717	0.934753525	0.817615394	0.867909104	0.945291479	0.864732828	0.956615478	0.947690059	0.944225097	0.867695883	0.952013813	0.964537178	0.958237375	0.954947594	0.953772787	0.958853932	0.85618342	0.952489632	0.953435034	0.948017026	0.825372177	0.941826713	0.948892276	0.948178903	0.947964084	0.948405008	0.948652353	0.947917763	0.947485652	0.947330208	0.947921897	0.948194704	0.947352571	0.947580833	0.946970433	0.951184964	0.947367983	0.94668703	0.951540545	0.951340146	0.950353188	0.95031653	0.946007894	0.952290624	0.953095046	0.951163135	0.991939397	0.945275094	0.987244482	0.968934231	0.974630078	0.979126025	0.878509993	0.882463852	0.872493842	0.856419197	0.836488783	0.86308207	0.900250622	0.932728477	0.878810382	0.929323415	0.93245454	0.944412153	0.848280041	0.872995116	0.872263389	0.887030872	0.840171153	0.895074913	0.934371057	0.83681449	0.945718074	0.947291258	0.936035329	0.945527874	0.948740719	0.94230865	0.948864026	0.949350497	0.948862548	0.941844383	0.948309489	0.952835358	0.955550134	0.958403032	0.950962084	0.955971318	0.950683418	0.960129339	0.948490001	0.954896636	0.941063997	0.953272152
