Tax	MD70dduC1	MD70dduC2	MD70dduC3	MD70dduC4	MD70dduC5	MD70dduC7	PD70dduC1	PD70dduC2	PD70dduC3	PD70dduC4	PD70dduC5	PD70dduC6	SDQDuC1	SDQDuC2	SDQDuC3	SDQDuC4	SDQDuC5	SDQDuC7	WHYDuC1	WHYDuC2	WHYDuC6	WHYDuC7	WHYDuC8	MD70dIlC1	MD70dIlC2	MD70dIlC3	MD70dIlC4	MD70dIlC5	MD70dIlC7	PD70dIlC1	PD70dIlC2	PD70dIlC3	PD70dIlC4	PD70dIlC5	PD70dIlC6	SDQILC1	SDQILC2	SDQILC4	SDQILC5	SDQILC8	SDQILC9	WHYILC1	WHYILC3	WHYILC4	WHYILC5	WHYILC6	WHYILC8	MD70dCeC1	MD70dCeC2	MD70dCeC3	MD70dCeC4	MD70dCeC5	MD70dCeC6	PD70dCeC1	PD70dCeC2	PD70dCeC3	PD70dCeC4	PD70dCeC5	PD70dCeC6	SDQCeC1L	SDQCeC2L	SDQCeC3L	SDQCeC4L	SDQCeC8L	SDQCeC9L	WHYCeC1L	WHYCeC2L	WHYCeC3L	WHYCeC4L	WHYCeC5L	WHYCeC7L	MD70djeC1	MD70djeC2	MD70djeC3	MD70djeC4	MD70djeC5	MD70djeC6	PD70djeC1	PD70djeC2	PD70djeC3	PD70djeC4	PD70djeC5	PD70djeC6	SDQJeC1	SDQJeC2	SDQJeC4	SDQJeC5	SDQJeC7	SDQJeC9	WHYJeC1	WHYJeC2	WHYJeC3	WHYJeC5	WHYJeC7	WHYJeC8	MD70dCoC1	MD70dCoC2	MD70dCoC3	MD70dCoC4	MD70dCoC5	MD70dCoC7	PD70dCoC1	PD70dCoC2	PD70dCoC3	PD70dCoC4	PD70dCoC5	PD70dCoC6	SDQCoC1	SDQCoC3	SDQCoC4	SDQCoC5	SDQCoC7	SDQCoC8	WHYCoC1	WHYCoC2	WHYCoC3	WHYCoC5	WHYCoC6	WHYCoC7
MD70dduC1	0	0.197509918	0.314316532	0.25381667	0.107409865	0.13825802	0.834243217	0.654458609	0.763095796	0.705325343	0.809834654	0.652846474	0.974500212	0.96014255	0.97892595	0.946260264	0.935282813	0.971524224	0.9043954	0.934794284	0.909292309	0.926153341	0.948441564	0.559201349	0.937562106	0.383218324	0.954788662	0.58279646	0.412307281	0.980992271	0.885250882	0.988294267	0.974287214	0.982872048	0.865572152	0.994231582	0.995548926	0.994850146	0.994661665	0.991829868	0.993231562	0.923097565	0.993767643	0.975525242	0.975352877	0.990041086	0.962042285	0.994857106	0.994492198	0.99383032	0.994639435	0.994834455	0.993953431	0.99450796	0.994411165	0.99460659	0.994616767	0.994402126	0.994619956	0.994039604	0.988751816	0.993309963	0.993044858	0.99005374	0.994152223	0.989464257	0.988869254	0.991723316	0.989306308	0.993515219	0.983406069	0.132321698	0.241715066	0.153037913	0.279188407	0.129462745	0.158869868	0.77295865	0.879871619	0.828636953	0.769328015	0.767754207	0.894120284	0.941160355	0.964705272	0.922480938	0.956165161	0.958675316	0.967628688	0.926984659	0.923324508	0.910415559	0.920488231	0.857966837	0.925893639	0.946346232	0.68361545	0.993302322	0.991612773	0.951273087	0.993436462	0.994277306	0.984384543	0.991990315	0.992377008	0.9942151	0.984133136	0.980302556	0.988392123	0.992415007	0.995605234	0.987549971	0.992742247	0.993031947	0.9938988	0.993674507	0.981943196	0.993500988	0.990521006
MD70dduC2	0.197509918	0	0.273580827	0.245131304	0.199562397	0.168599512	0.81533129	0.636261298	0.731012036	0.681269351	0.788361295	0.641565016	0.968682228	0.955888749	0.972619266	0.940848685	0.928243408	0.966130564	0.899575291	0.930958163	0.904861199	0.922319172	0.946799968	0.5221	0.928217716	0.314232084	0.944256562	0.537504841	0.35512456	0.973196292	0.877141705	0.981486241	0.966785863	0.975416146	0.858610898	0.988786177	0.991079649	0.989535728	0.988967774	0.98652759	0.986698424	0.914755702	0.988503632	0.96909183	0.970601865	0.984470651	0.956331218	0.990196967	0.989770473	0.988989699	0.989886643	0.990177744	0.989094417	0.989688398	0.989290605	0.98989586	0.989920153	0.989303693	0.989812118	0.988713769	0.984002691	0.988257325	0.988088976	0.984697159	0.989416828	0.984537806	0.982895045	0.986561609	0.98394709	0.988790166	0.977751454	0.206957342	0.228399341	0.199732973	0.273347356	0.18195161	0.181035284	0.750535375	0.870249711	0.807960558	0.75795812	0.745948729	0.883201767	0.934940915	0.960375947	0.920053233	0.950854384	0.953698723	0.963067283	0.92208508	0.921567572	0.902914694	0.916410825	0.852714986	0.920826603	0.936827961	0.63501753	0.988427003	0.986814965	0.942343762	0.98856347	0.98872517	0.977221836	0.984722849	0.985627479	0.988631023	0.976648623	0.9724762	0.981119657	0.985292691	0.990233059	0.980355362	0.987463073	0.988095765	0.988767811	0.98668093	0.977478667	0.988487157	0.983550774
MD70dduC3	0.314316532	0.273580827	0	0.299870991	0.323083339	0.272388734	0.71084689	0.605126197	0.605667349	0.540541353	0.68133048	0.61213024	0.949267792	0.932588877	0.952950946	0.910688956	0.891764431	0.946341327	0.858579131	0.897048664	0.866115851	0.88550307	0.922840167	0.435148554	0.905469478	0.331941231	0.9188787	0.453930124	0.358148258	0.953635047	0.835233206	0.963135097	0.95187432	0.959620451	0.817560194	0.978352926	0.986372688	0.982502402	0.981211618	0.976346809	0.976578865	0.876247899	0.978295226	0.955718396	0.950067732	0.972552026	0.933375777	0.96904611	0.968659272	0.967350893	0.968621789	0.96900551	0.967474752	0.968709891	0.968347365	0.968796623	0.968829066	0.968368666	0.968893326	0.968051823	0.962671203	0.966995264	0.966468477	0.964200067	0.968238853	0.963334499	0.962848103	0.965159062	0.963691763	0.968448719	0.956771839	0.308768486	0.356581284	0.298384675	0.325698562	0.304169739	0.280456582	0.641446745	0.851568701	0.716665954	0.646351631	0.650680628	0.864863227	0.903477858	0.937885224	0.876894748	0.924799894	0.929087958	0.94397803	0.887296221	0.87688003	0.855482926	0.887326316	0.802786038	0.887986395	0.906548616	0.542235559	0.966549711	0.964489745	0.912630114	0.966648762	0.968382506	0.955816978	0.965020901	0.96630714	0.968405223	0.955561461	0.953645923	0.961794759	0.967927898	0.984768246	0.961820318	0.977103774	0.966860743	0.978992179	0.967790057	0.957878983	0.966274399	0.970673896
MD70dduC4	0.25381667	0.245131304	0.299870991	0	0.271443449	0.26266159	0.81925534	0.654974425	0.732280102	0.680901541	0.799986114	0.654664522	0.970052004	0.95816396	0.973200312	0.945050912	0.93187773	0.967304224	0.905932105	0.934710929	0.908442301	0.926851865	0.947136198	0.582780142	0.930986998	0.396728538	0.943953796	0.599772478	0.429476584	0.972982245	0.883573152	0.981325435	0.967103532	0.975206061	0.869786071	0.98835489	0.990987076	0.989207042	0.988692818	0.98618858	0.986097291	0.920046879	0.987958458	0.970464635	0.969511771	0.981383967	0.958741659	0.986278022	0.985924245	0.985157783	0.986007814	0.986241097	0.985257437	0.986084201	0.985919194	0.986097419	0.986114248	0.985909682	0.986159855	0.985253723	0.980021855	0.984547112	0.984178278	0.981596701	0.985580634	0.980874998	0.980336751	0.983091019	0.980844924	0.985091301	0.977535703	0.241104781	0.287945492	0.286644278	0.155504959	0.256835287	0.289010434	0.759753929	0.88405178	0.819188902	0.771049228	0.750616902	0.896884862	0.940211957	0.962257755	0.924020483	0.953967114	0.956300655	0.965409301	0.927691667	0.923092884	0.904830809	0.921934246	0.854918562	0.925010249	0.93834028	0.687713517	0.98445235	0.982712319	0.942675571	0.984564384	0.985898612	0.976956665	0.983511071	0.984021977	0.985862266	0.976665689	0.97442619	0.979748573	0.984251312	0.991178577	0.979242633	0.986933873	0.984557316	0.988091657	0.985340527	0.974311078	0.984608959	0.982467293
MD70dduC5	0.107409865	0.199562397	0.323083339	0.271443449	0	0.154862508	0.828246376	0.644368115	0.750328287	0.697334376	0.803535427	0.640340457	0.972984431	0.958564718	0.977412218	0.944205595	0.932185978	0.970099878	0.900111579	0.932555114	0.905656961	0.924330532	0.947452335	0.549335952	0.935094176	0.38684802	0.954171893	0.576485438	0.419177024	0.980668117	0.883049987	0.988456343	0.973451272	0.982688645	0.860001221	0.994606832	0.995882338	0.995146104	0.994904699	0.992082046	0.993402439	0.919485886	0.994171882	0.973960821	0.973518612	0.990139952	0.960765859	0.995072063	0.99468137	0.994042116	0.994861985	0.995055391	0.994158361	0.994745744	0.994560188	0.994881383	0.994900146	0.99454744	0.994819449	0.994191188	0.989044279	0.993507136	0.993288492	0.990236741	0.994466544	0.989600669	0.988941615	0.991990435	0.98947015	0.993768771	0.983423643	0.128558772	0.235278449	0.147718252	0.294756242	0.127991807	0.172691755	0.770707548	0.875409538	0.820602485	0.758903066	0.759919394	0.891184096	0.938899956	0.963497973	0.919530985	0.954539756	0.956885819	0.966343905	0.923018011	0.920337487	0.907835863	0.917162274	0.85272371	0.92441119	0.946295893	0.681485962	0.993507695	0.991816233	0.950671772	0.993640804	0.994430708	0.983959968	0.992021826	0.992399232	0.994384084	0.983418078	0.980123507	0.988454054	0.992589039	0.995852885	0.987657975	0.993157793	0.993316159	0.994194648	0.993896378	0.982113793	0.993834114	0.990731371
MD70dduC7	0.13825802	0.168599512	0.272388734	0.26266159	0.154862508	0	0.841765118	0.65643107	0.777378766	0.709946698	0.812510166	0.652776857	0.975350056	0.959919966	0.979533184	0.946892658	0.935889542	0.972488879	0.905890976	0.934914028	0.90842654	0.926606628	0.948256884	0.538682339	0.939527905	0.350565237	0.954980907	0.561367912	0.388637405	0.981721052	0.885301782	0.988681924	0.975035326	0.983639559	0.866828906	0.994930302	0.996141913	0.99530067	0.995156893	0.992577413	0.993161997	0.923704512	0.994711336	0.976397102	0.976170917	0.991276928	0.963347291	0.994431866	0.994021393	0.99337522	0.994193471	0.994422242	0.993495962	0.994298081	0.994253592	0.994321018	0.99434656	0.994239175	0.994361771	0.993743181	0.98837741	0.993026386	0.992727206	0.989934513	0.993875296	0.989118895	0.988708014	0.991483664	0.989164482	0.993281164	0.982374814	0.135005107	0.251749027	0.126059804	0.279813841	0.142612332	0.148387216	0.780601651	0.878502681	0.830367213	0.773704106	0.769237625	0.892901078	0.942120307	0.96483823	0.923570615	0.956422923	0.959117456	0.967681219	0.927711737	0.923308263	0.911085407	0.921498947	0.857619851	0.925884731	0.947385644	0.66509804	0.992931469	0.991304672	0.952019534	0.992990906	0.994099782	0.984573984	0.991987796	0.992301907	0.994049341	0.984448592	0.979673386	0.988313654	0.992255571	0.995991543	0.987407087	0.993478484	0.992713064	0.9947223	0.993582669	0.981825147	0.99345666	0.990469431
PD70dduC1	0.834243217	0.81533129	0.71084689	0.81925534	0.828246376	0.841765118	0	0.575592121	0.460222972	0.517910929	0.209952996	0.628300321	0.789121313	0.776992351	0.79590142	0.709910008	0.65438264	0.781528311	0.648308998	0.705497861	0.691920892	0.670935037	0.756255134	0.616856356	0.853060648	0.709429186	0.843826542	0.603901141	0.699915789	0.861444408	0.697604887	0.880980167	0.872455424	0.872708357	0.669054879	0.911114997	0.95808325	0.937443361	0.935681057	0.922027494	0.921944502	0.647915165	0.916611041	0.869876099	0.841777696	0.936300474	0.791557832	0.836100654	0.836781653	0.830063181	0.833141221	0.835944397	0.830143532	0.831497437	0.828710259	0.831778308	0.831959095	0.828838304	0.832595882	0.848473873	0.848386129	0.843244518	0.840579113	0.860674088	0.838473615	0.840037986	0.833350266	0.838083004	0.856368078	0.878557022	0.837622345	0.84530221	0.801741153	0.829163305	0.819994842	0.834516203	0.817921213	0.432004626	0.728818163	0.463700572	0.454435676	0.465970018	0.738182398	0.651506167	0.762355692	0.626959858	0.752142391	0.760650347	0.809133582	0.671056562	0.65506221	0.605297939	0.706018651	0.531258131	0.656650779	0.788499676	0.576619062	0.827235482	0.822126253	0.796718588	0.826995448	0.828395885	0.784525838	0.81105651	0.822639954	0.828559668	0.783142452	0.849027034	0.840124301	0.85554674	0.943775511	0.844029123	0.909408129	0.841846217	0.91561601	0.845937126	0.879909506	0.859997305	0.86481343
PD70dduC2	0.654458609	0.636261298	0.605126197	0.654974425	0.644368115	0.65643107	0.575592121	0	0.48207952	0.374294396	0.534970303	0.2990059	0.922880573	0.869696731	0.933985131	0.821562932	0.777944588	0.9125866	0.714620949	0.806339293	0.741947459	0.776497302	0.856407531	0.54938953	0.899424312	0.539090973	0.925492697	0.53696104	0.524191121	0.939416531	0.680301764	0.954330641	0.928169999	0.944637916	0.636352584	0.965557692	0.977799137	0.966862067	0.964611701	0.962993214	0.963456705	0.750835423	0.963894793	0.930194774	0.937740557	0.965017564	0.899468007	0.975218486	0.975095316	0.973903708	0.974137249	0.975191076	0.973996077	0.974275322	0.973662107	0.974484259	0.974498956	0.973673885	0.974694576	0.973005691	0.973895391	0.973340872	0.9740263	0.972916149	0.974869438	0.973697469	0.969913916	0.970741833	0.972350668	0.975276689	0.973958789	0.675797883	0.618103671	0.626043917	0.666982143	0.660432384	0.631874586	0.419565809	0.644754352	0.524290562	0.403033635	0.398542527	0.672843658	0.800401172	0.892990736	0.770621181	0.868944943	0.861548676	0.895033398	0.765904095	0.777284039	0.767842753	0.769486324	0.649479946	0.778992884	0.913024792	0.658616964	0.973000291	0.971216807	0.91526111	0.972909101	0.972681407	0.942196684	0.958603235	0.967853349	0.972545483	0.942978151	0.9560172	0.957139443	0.958794419	0.968257422	0.958988983	0.963543665	0.973407045	0.965016517	0.964868769	0.971119491	0.970630708	0.960967827
PD70dduC3	0.763095796	0.731012036	0.605667349	0.732280102	0.750328287	0.777378766	0.460222972	0.48207952	0	0.365945498	0.411347478	0.507974475	0.878972949	0.835582812	0.885739591	0.787173545	0.739790746	0.869267986	0.691706779	0.77570254	0.726576167	0.749810443	0.820822798	0.529960157	0.874210073	0.623950839	0.874772608	0.522454281	0.602873759	0.899188469	0.699596128	0.915591182	0.893630369	0.906681958	0.651060802	0.939358364	0.966344734	0.952116098	0.955194054	0.940962175	0.938729978	0.723526235	0.939245215	0.903002421	0.889293471	0.937981827	0.853475716	0.925313472	0.925326816	0.922849598	0.924049728	0.925214584	0.922916391	0.922606595	0.91994004	0.923427677	0.923585898	0.920045064	0.924138432	0.920674508	0.921277504	0.919137303	0.922131688	0.920988174	0.922275709	0.92269254	0.921077544	0.919523222	0.924838254	0.928514646	0.92444417	0.782956178	0.736739927	0.754067815	0.735939385	0.764587181	0.742179806	0.381933636	0.740877621	0.457596312	0.407713389	0.392438416	0.751457893	0.772795663	0.851330344	0.721249467	0.823593135	0.826947489	0.866505251	0.744079945	0.74100023	0.699572836	0.73680427	0.597733828	0.745172627	0.850766009	0.53280707	0.920718754	0.915554476	0.853779047	0.920650308	0.918435862	0.88967386	0.908645269	0.913494704	0.91843898	0.890708459	0.912612045	0.908008581	0.914808338	0.961798788	0.91393982	0.934005882	0.921361318	0.939357849	0.916489633	0.92335293	0.917239674	0.920352449
PD70dduC4	0.705325343	0.681269351	0.540541353	0.680901541	0.697334376	0.709946698	0.517910929	0.374294396	0.365945498	0	0.452485402	0.409986724	0.905484999	0.851647796	0.915304015	0.80697027	0.766239818	0.897089899	0.697851561	0.791151631	0.733922504	0.765197946	0.841229642	0.538273334	0.892111238	0.629782541	0.902018667	0.533068782	0.61899609	0.92240266	0.692623868	0.938000595	0.915304373	0.928731177	0.646080182	0.960190031	0.976440045	0.968045816	0.966841058	0.957964242	0.957760053	0.740853463	0.95700415	0.922428049	0.914672792	0.953385172	0.884224114	0.947050344	0.946919341	0.945308519	0.946178168	0.946985636	0.945423525	0.945743535	0.944964458	0.9459632	0.946058308	0.945037872	0.946307987	0.944432841	0.944714997	0.944562434	0.944919336	0.945170558	0.946584812	0.945312985	0.944587592	0.942562239	0.94619888	0.948850616	0.946304465	0.725240766	0.712187368	0.675921881	0.680468297	0.704988744	0.680729551	0.402631366	0.711513505	0.499192434	0.369401597	0.394471535	0.739773391	0.789806726	0.871314117	0.740302434	0.848579476	0.848321695	0.886084641	0.757636144	0.752929321	0.725141758	0.755646848	0.629487119	0.767529301	0.888310292	0.600860238	0.944123811	0.941742519	0.890504746	0.944056761	0.943962228	0.922240399	0.937442614	0.941029582	0.943966087	0.922264741	0.939131129	0.938075599	0.943924074	0.974396654	0.941540231	0.956299571	0.943805709	0.959260555	0.941979244	0.945566526	0.940831063	0.948043263
