Phylum	MD70dduC1	MD70dduC2	MD70dduC3	MD70dduC4	MD70dduC5	MD70dduC7	PD70dduC1	PD70dduC2	PD70dduC3	PD70dduC4	PD70dduC5	PD70dduC6	SDQDuC1	SDQDuC2	SDQDuC3	SDQDuC4	SDQDuC5	SDQDuC7	WHYDuC1	WHYDuC2	WHYDuC6	WHYDuC7	WHYDuC8	MD70djeC1	MD70djeC2	MD70djeC3	MD70djeC4	MD70djeC5	MD70djeC6	PD70djeC1	PD70djeC2	PD70djeC3	PD70djeC4	PD70djeC5	PD70djeC6	SDQJeC1	SDQJeC2	SDQJeC4	SDQJeC5	SDQJeC7	SDQJeC9	WHYJeC1	WHYJeC2	WHYJeC3	WHYJeC5	WHYJeC7	WHYJeC8	MD70dIlC1	MD70dIlC2	MD70dIlC3	MD70dIlC4	MD70dIlC5	MD70dIlC7	PD70dIlC1	PD70dIlC2	PD70dIlC3	PD70dIlC4	PD70dIlC5	PD70dIlC6	SDQILC1	SDQILC2	SDQILC4	SDQILC5	SDQILC8	SDQILC9	WHYILC1	WHYILC3	WHYILC4	WHYILC5	WHYILC6	WHYILC8	MD70dCeC1	MD70dCeC2	MD70dCeC3	MD70dCeC4	MD70dCeC5	MD70dCeC6	PD70dCeC1	PD70dCeC2	PD70dCeC3	PD70dCeC4	PD70dCeC5	PD70dCeC6	SDQCeC1L	SDQCeC2L	SDQCeC3L	SDQCeC4L	SDQCeC8L	SDQCeC9L	WHYCeC1L	WHYCeC2L	WHYCeC3L	WHYCeC4L	WHYCeC5L	WHYCeC7L	MD70dCoC1	MD70dCoC2	MD70dCoC3	MD70dCoC4	MD70dCoC5	MD70dCoC7	PD70dCoC1	PD70dCoC2	PD70dCoC3	PD70dCoC4	PD70dCoC5	PD70dCoC6	SDQCoC1	SDQCoC3	SDQCoC4	SDQCoC5	SDQCoC7	SDQCoC8	WHYCoC1	WHYCoC2	WHYCoC3	WHYCoC5	WHYCoC6	WHYCoC7
Firmicutes	288	455	1733	1198	211	207	1406	227	865	468	1487	293	194785	48138	194351	22378	11274	150598	5086	8640	5795	8095	10141	137	338	147	572	157	248	1095	2631	2240	974	1117	1950	10820	59966	10999	36530	31244	73669	17936	7233	12120	7203	4890	11348	11849	201997	2896	287012	9915	2567	138669	6211	636118	42525	167894	5305	6831592	27367532	10390771	17269047	367360	5261688	7732	4130718	51226	77688	162106	10944	18652079	10515974	7491166	11031781	20397641	6659914	28591375	30099040	30790928	28551476	26847705	23880134	39301986	9472648	22255242	41603104	13850862	25343125	11883973	9017612	36949246	8943510	13434106	18893966	245517	13871	3302169	2249897	328601	3252296	9110159	124171	1794166	937052	8084136	136167	1577511	2391095	3087074	18545358	6362181	1100047	7084700	4165914	43207404	341680	5295023	19473900
Bacteroidetes	136	296	1500	884	136	189	1028	122	455	321	1169	96	86720	11033	91330	3835	7613	60655	9665	19606	19111	7702	5394	142	188	154	486	161	143	202	117	280	396	211	100	6344	30865	3000	7884	8464	4204	34600	16513	9353	19141	1906	4937	3043	3323	718	8684	2675	677	2070	185	9930	475	2120	169	272900	40872	56569	174420	17172	76402	14380	69700	7210	288806	31831	7094	15598044	8249200	4094097	10653460	16593907	3814145	16343547	17172216	20894488	19870513	15605991	15728373	29337131	13508842	21250592	40221572	12833075	23256880	43705433	34179745	50501629	36784046	43786616	64956258	16026	3036	2398163	1891931	20078	2339243	5246479	44065	453270	374321	4900132	50913	336274	866426	739775	77465	2051951	23380	18128191	39665	13913659	2137949	6972451	4017150
Actinobacteria	75	286	49	76	89	42	167	222	103	56	184	161	37807	9503	43087	4101	2275	34229	604	901	894	1721	1343	33	760	78	37	51	83	325	3274	316	184	314	2965	3533	6411	1785	12133	14004	27316	4334	435	1036	564	457	2874	1924	18679	1191	4891	1731	1180	1986	345	16690	684	1689	377	15735798	269595	2486369	11583501	1023392	2050814	1696	2924701	48639	2322	6034	8521	181272	140889	79784	159227	196251	72269	459577	543347	435850	415359	491831	359031	4378769	468141	933695	3684624	719983	1568111	958519	1071003	2073949	1190230	485423	721616	8894	1804	49854	45218	11586	47197	122312	5276	29150	13504	113849	5834	471127	161081	1098133	11108539	926188	1142443	200978	1399707	4586761	4683	152017	1737610
Proteobacteria	3031	2922	3298	3263	2797	3357	147	33	108	83	114	38	6166	3919	8248	2025	885	16413	2797	3578	3427	4014	19250	2425	2134	2519	1797	2643	2642	88	81	151	113	135	90	581	3981	830	3186	9533	2912	7629	2239	1063	1019	1001	2747	4857	5621	3589	8449	4603	3545	2046	192	15341	1733	1947	266	1154241	492543	4339894	1055676	37558	81051	2383	80311	58519	31752	156120	21078	1012164	1162723	1880037	2714930	1131020	1703797	1524651	3975943	3331134	3074422	3572796	1821113	843153	735531	1273064	2434268	816883	1294275	1706531	1420924	3425279	1194643	1013810	3091733	7974	4512	484358	441626	9121	467919	394888	4727	99628	42501	350720	4740	113183	238061	650886	898953	509012	64435	547357	94319	683153	66775	461808	2387327
Spirochaetes	2	0	1	7	0	1	0	0	0	2	6	2	696	171	617	24	24	864	105	302	83	65	48	0	0	2	2	0	1	0	0	0	2	0	2	193	532	44	55	374	59	709	133	1434	1156	74	75	14	85	13	135	10	2	71	4	356	25	95	0	10099	12481	4310	22153	1273	2232	149	1394	212	1207	1522	164	46541	38229	19953	26517	52097	17898	44361	59198	52034	47888	54596	55982	204203	2353478	438193	932743	510521	348303	162678	1691358	1814447	122141	2823851	1081970	148	23	6909	7404	129	7098	12792	169	1643	1283	11464	177	7656	36834	32279	6854	77825	1317	49630	2150	85659	12655	7945	31301
Bacteria_norank	2	4	30	20	2	1	22	2	6	5	21	1	2822	405	2342	190	155	2361	71	161	130	202	125	4	0	3	4	3	1	12	7	24	9	8	9	262	655	103	561	447	661	339	139	157	126	57	96	45	123	9	259	42	13	117	10	558	29	150	5	619654	16022	66752	410426	41881	46821	99	11870	333	2113	4650	167	233980	113997	119322	163434	258094	106099	366908	444049	384028	355152	396662	281769	492189	136641	383849	816684	151550	257722	296287	232438	604351	215263	285403	405827	336	59	45254	35826	456	44043	107457	883	10893	8566	95356	866	29852	22986	41234	328583	65107	37086	132564	11203	410012	11143	62546	154739
Fusobacteria	0	2	18	12	0	0	56	0	0	12	49	0	83	27	116	32	7	168	81	29	61	452	630	0	0	0	1	2	0	15	1	6	4	6	0	5	71	21	21	56	29	114	24	78	25	484	711	10	95	6	2831	30	3	543	25	1697	109	574	3	2148	10102	33580	10523	679	458	23	1047	691	929	121909	46	199861	63201	162132	73938	228214	149890	510100	168384	171453	151780	155153	276216	41801	66474	46148	43279	166117	106168	91368	26220	35741	59613	20332	519308	221	19	25906	14831	278	26119	699413	4393	15684	47728	591729	5174	1560	36428	393419	6828	55298	18459	26285	330	27279	4954	136970	2451043
Candidatus Melainabacteria	8	4	36	20	3	4	17	4	0	12	16	0	100	26	127	21	11	116	39	10	11	22	25	4	4	7	5	5	3	0	0	2	4	2	0	13	31	3	15	20	14	145	33	35	6	7	16	18	23	15	47	27	10	21	4	283	7	15	0	1875	9111	1033	12389	96	606	42	4109	105	283	305	22	122725	33769	99349	79868	139354	88612	356383	317586	397959	353020	289888	504563	32528	42821	19365	123316	9932	11816	76435	24673	56054	18743	23400	97558	111	23	21561	8476	160	22082	71008	634	5223	5928	59457	797	951	3473	5726	4867	3999	337	38745	1114	35384	1590	8076	40497
Chloroflexi	3	2	4	2	0	8	2	0	1	0	2	1	881	33	456	61	106	688	0	1	5	3	1	5	3	3	5	3	6	1	5	0	0	0	14	132	38	9	615	417	923	38	9	13	6	6	6	13	31	9	15	6	3	12	0	76	2	8	2	973886	20563	83548	737287	75642	58153	8	25512	96	28	20	19	15765	6435	5378	8017	17384	4871	22141	21750	24287	22412	19666	16731	21433	5431	15693	41243	6759	11480	6342	6877	36804	2820	4434	7543	19	4	1821	2315	53	1832	6032	107	604	470	5351	90	25338	2798	43069	732762	24891	76275	3195	7892	21797	113	636	5906
Verrucomicrobia	0	0	0	29	0	0	2	0	0	12	4	0	1778	79	2150	83	41	1095	11	14	12	19	9	2	0	0	43	0	0	0	0	0	2	0	0	217	401	47	182	53	79	28	17	7	4	2	15	37	40	15	1017	38	12	13	2	62	2	14	0	16405	554	4144	7536	527	1236	10	241	2	81	65	47	194728	18554	41142	576215	206902	36890	17955	35758	22343	20422	32076	87015	22672	6270	38607	219105	6691	11192	72122	12807	65372	10040	9003	25699	806	91	124138	57848	1238	122289	6141	83	895	2210	5282	118	1073	4530	8784	5373	3597	538	47143	99	24724	426	1629	3018
