Category	All	Small	Large	Duo	Jej	Ile	Cec	Col
Global and overview maps	3615953.66	4117.408491	14401757.16	41.035164	0	7490.155236	4992552.268	457.381288
Carbohydrate metabolism	1350394.032	3850.402824	4867270.653	0	0	0	0	140.976283
Amino acid metabolism	962903.5637	4117.408491	3802532.584	0	0	0	0	82.928681
Energy metabolism	647769.9141	2879.791055	2551385.537	0	0	0	0	85.234474
Metabolism of cofactors and vitamins	609144.4473	4075.151097	3026697.584	14.593802	0	148.369085	0	167.270374
Membrane transport	601624.1642	2691.661865	2876003.334	0	39.399148	1237.213229	816125.2516	110.364092
Translation	592101.0494	1319.181515	2092856.296	82.398183	0	1575.631146	987789.9507	198.05372
Nucleotide metabolism	523266.2949	1995.742787	2046718.207	25.144135	0	0	65407.53448	0
Glycan biosynthesis and metabolism	502254.1363	1031.805371	1358480.712	0	0	152.397678	0	52.384706
Replication and repair	426408.4615	1158.921912	1826465.432	0	0	0	91721.93587	0
Signal transduction	362905.767	2544.611766	1634015.998	9.79584	0	836.289667	372553.1463	47.905978
Lipid metabolism	338790.6718	0	1087434.179	0	0	0	0	27.886208
Folding, sorting and degradation	320829.9585	0	1185245.076	0	39.399148	552.019143	258835.954	63.726045
Cellular community - prokaryotes	312789.3912	3076.635354	1456534.879	9.79584	39.399148	1389.022653	487956.0902	66.169403
Metabolism of other amino acids	265667.5229	2228.541426	1003095.612	0	0	0	0	0
Metabolism of terpenoids and polyketides	0	1103.187771	0	15.891029	0	0	0	84.914078
Replication and repair	0	0	0	0	0	0	795514.0722	0
Drug resistance: antimicrobial	0	0	0	14.593802	0	335.773476	222800.1773	0
Cell motility	0	0	0	0	0	1017.570459	208642.3154	0
Cell growth and death	0	0	0	0	0	163.041063	193774.6847	36.561346
Infectious disease: bacterial	0	0	0	0	0	165.21704	190108.9716	0
Cancer: overview	0	0	0	0	0	0	93100.74093	0
Cardiovascular disease					0	143.985749	0	0
Xenobiotics biodegradation and metabolism	0	0	0	0	0	0	0	32.855363
other	1894802.618	7214.307172	7157500.754	0	0	752.647438	570579.0103	198.738215
