ID	MD70dduC1	MD70dduC2	MD70dduC3	MD70dduC4	MD70dduC5	MD70dduC7	PD70dduC1	PD70dduC2	PD70dduC3	PD70dduC4	PD70dduC5	PD70dduC6	SDQDuC1	SDQDuC2	SDQDuC3	SDQDuC4	SDQDuC5	SDQDuC7	WHYDuC1	WHYDuC2	WHYDuC6	WHYDuC7	WHYDuC8	MD70djeC1	MD70djeC2	MD70djeC3	MD70djeC4	MD70djeC5	MD70djeC6	PD70djeC1	PD70djeC2	PD70djeC3	PD70djeC4	PD70djeC5	PD70djeC6	SDQJeC1	SDQJeC2	SDQJeC4	SDQJeC5	SDQJeC7	SDQJeC9	WHYJeC1	WHYJeC2	WHYJeC3	WHYJeC5	WHYJeC7	WHYJeC8	MD70dIlC1	MD70dIlC2	MD70dIlC3	MD70dIlC4	MD70dIlC5	MD70dIlC7	PD70dIlC1	PD70dIlC2	PD70dIlC3	PD70dIlC4	PD70dIlC5	PD70dIlC6	SDQILC1	SDQILC2	SDQILC4	SDQILC5	SDQILC8	SDQILC9	WHYILC1	WHYILC3	WHYILC4	WHYILC5	WHYILC6	WHYILC8	MD70dCeC1	MD70dCeC2	MD70dCeC3	MD70dCeC4	MD70dCeC5	MD70dCeC6	PD70dCeC1	PD70dCeC2	PD70dCeC3	PD70dCeC4	PD70dCeC5	PD70dCeC6	SDQCeC1L	SDQCeC2L	SDQCeC3L	SDQCeC4L	SDQCeC8L	SDQCeC9L	WHYCeC1L	WHYCeC2L	WHYCeC3L	WHYCeC4L	WHYCeC5L	WHYCeC7L	MD70dCoC1	MD70dCoC2	MD70dCoC3	MD70dCoC4	MD70dCoC5	MD70dCoC7	PD70dCoC1	PD70dCoC2	PD70dCoC3	PD70dCoC4	PD70dCoC5	PD70dCoC6	SDQCoC1	SDQCoC3	SDQCoC4	SDQCoC5	SDQCoC7	SDQCoC8	WHYCoC1	WHYCoC2	WHYCoC3	WHYCoC5	WHYCoC6	WHYCoC7
CBM13	0	0	622.3709	313.909156	0	0	1301.72121	0	0	0	0	1468.78785	138.470867	135.989751	119.746856	346.535854	0	93.47589	199.683681	184.909383	603.375889	121.60566	72.695143	0	0	0	605.929484	0	0	0	0	237.87792	0	0	0	50.249784	103.023483	25.537819	261.876021	222.380992	50.455469	266.156054	186.384305	57.543325	1039.56645	0	50.271016	48.798433	5.68103	439.272744	17.929159	0	166.046374	4.508597	0	10.057981	0	0	0	81.058973	0.526327	128.449131	25.881327	82.545557	11.166018	273.351532	13.175465	125.215891	573.620126	54.133804	32.776011	178.260366	166.70857	172.588371	186.694358	178.272643	159.751715	225.788941	218.17849	226.859742	232.428561	226.569309	229.602539	194.010947	230.766097	187.71124	168.468526	191.724912	234.021298	279.668468	257.981937	370.08849	385.583345	561.164029	245.647008	24.067235	0	187.222008	180.542928	23.654716	191.228864	211.220988	188.375491	121.720855	191.219593	206.275224	101.319012	131.486403	97.932809	81.892258	24.481903	113.637569	43.796893	234.549554	8.53402	130.677519	668.540645	311.009149	144.870984
CBM16	3362.31796	0	0	0	0	0	0	0	0	1103.266	0	0	181.030296	102.555828	133.427687	0	188.356846	153.067632	415.574634	264.573413	129.900531	43.53076	80.436902	0	0	0	0	0	0	0	0	0	145.07837	0	0	217.138384	119.55823	51.7395	8.831795	142.587583	65.641041	435.167996	49.926625	61.38105	44.983261	149.920028	562.385107	212.348728	22.37145	0	14.094059	461.407279	235.939853	32.986365	410.360674	13.256096	0	0	451.147519	87.858349	7.93504	9.24115	40.433341	68.480467	25.542226	315.729718	16.018214	0	204.162473	28.309914	51.221987	345.64769	321.432041	348.453515	288.292213	346.039457	355.517913	457.934736	516.339732	497.764017	513.353398	528.624196	473.501891	153.327336	180.228386	195.427418	176.220302	170.40058	182.866852	259.113228	222.786224	188.20886	225.606686	230.200203	237.700393	46.628326	96.383596	261.338573	421.741595	49.744694	243.499047	447.546409	319.658724	250.951884	380.651298	488.364108	304.363306	101.443929	113.484581	78.403178	25.066239	151.106452	59.616443	243.041716	22.468634	96.797532	294.204029	223.904097	65.024103
CE15	0	0	0	0	0	0	396.593195	0	826.031041	1149.34837	0	0	59.64103	18.738069	21.281085	55.568677	0	5.371075	0	188.485158	0	0	72.01237	0	0	0	0	0	0	0	0	0	0	0	0	0	35.573883	0	0	0	0	0	142.682153	110.275953	0	0	0	64.312781	0	0	0	130.384123	0	0	0	2.517655	0	0	493.442599	13.192004	0.410669	0.698514	1.122563	8.888389	0.993216	89.622862	2.67976	28.600549	46.430236	21.102713	0	123.546491	113.481565	91.244832	111.762551	124.398884	82.910529	82.88165	72.199389	69.55391	68.294211	68.982087	76.696811	52.901265	53.682647	80.120348	66.813252	64.618761	69.383468	47.713177	40.857077	65.211244	44.786563	47.280229	46.727534	12.787189	0	105.03148	94.14427	1.696223	111.686209	79.23819	32.792242	40.777965	53.195064	78.456546	37.477844	34.434886	45.795043	28.338943	1.014139	63.822167	8.864822	55.461744	5.431797	55.452403	33.034738	26.277679	88.089625
GH117	0	0	0	0	0	0	0	0	1781.99955	0	0	0	7.663143	0	6.968617	0	0	0	126.321583	103.7184	91.06392	0	97.489139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.588752	0	0	87.837136	0	229.936492	0	0	0	0	0	0	0	0	0	0	0	0	3.120608	0.217345	0	0.11683	0	0	0	0.440636	0	186.02738	4.306026	0	50.644858	24.974777	15.892585	34.200477	55.571055	15.905868	10.812569	13.425485	12.548505	14.17653	12.512224	19.274313	63.196713	83.400104	59.92629	72.358626	87.854666	58.469914	92.622225	109.072491	80.080768	148.160708	135.512824	114.929088	0	108.112817	30.164845	43.889157	1.690044	32.354536	12.449488	0	9.35265	26.909211	18.420061	3.874654	25.463202	21.951662	18.78438	0.046974	35.975452	1.353903	77.305551	1.224877	30.583095	149.867114	99.933282	24.492708
GH143	0	0	0	0	0	0	0	0	1174.7997	0	0	0	6.75422	0	0	0	0	6.092842	0	0	23.34296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.020956	23.912607	0	21.654961	0	30.30273	0	0	0	0	0	0	0	0	0	0	0	0	1.334415	0.011022	0.055712	0.028128	0	0.09048	56.121763	0.238801	0	15.527695	0	0	56.021019	56.447783	23.826007	53.972105	54.724088	23.948697	19.864086	14.162273	14.435748	15.738691	14.244377	16.025824	8.328538	10.44587	4.934255	5.153115	7.322642	7.587463	34.293148	27.074988	11.893429	47.294754	7.436761	11.550712	6.661846	0	55.889755	37.680826	3.345059	53.000857	19.879175	22.947263	3.334067	6.753952	18.443763	17.276938	2.226171	3.970776	2.974827	0	3.974601	0	35.208659	0.130167	1.678193	15.049575	6.779776	1.996964
GH20	0	1748.94476	2547.99771	975.373152	0	2761.78962	516.522977	0	971.503582	534.305866	1099.307502	8055.35954	600.589576	358.027149	606.147159	324.146575	1027.307742	689.71957	1636.012196	1499.325333	2459.744267	1659.400209	1093.146409	0	0	0	1014.12568	0	0	655.853165	369.780132	228.50813	0	1453.505544	0	533.329487	667.614402	628.114533	350.944428	256.908177	131.611963	1342.722689	1327.748502	1097.329744	2172.001478	1621.392651	1512.853986	83.338159	320.79677	350.31704	174.463852	501.51035	881.890742	40.590543	0	246.060057	0	8.23354	401.201968	285.074793	56.474251	330.721386	108.039013	371.877262	152.593394	1574.553139	92.166009	552.045104	2463.535198	356.984347	792.611126	1144.14438	972.165377	910.726399	1214.390977	1141.799674	950.63704	1219.223229	1167.057444	1199.582808	1234.264718	1175.560073	1264.861302	976.465757	1483.140448	1404.945456	1207.244991	1621.371692	1547.119741	1803.728574	1854.61503	1591.088437	2178.270758	2403.764954	1992.957971	465.483909	560.225759	1041.230265	1244.210812	296.092081	1061.17554	1200.909753	914.075435	735.066265	1070.408849	1231.922575	1107.002086	527.869819	741.969067	510.33391	97.006892	1239.635714	211.0192	1787.269975	49.146334	997.862152	2673.525197	1948.631366	1506.184682
GH24	0	0	0	0	0	0	0	0	0	0	0	0	353.9256	36.122231	301.164646	602.84873	732.254263	214.570659	305.55206	471.111474	328.677542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228.608511	0	203.143503	184.519158	0	35.79759	0	0	198.422403	0	0	0	0	0	9.876838	0	310.524909	0	0	7.568461	0	0	0	9.959354	6.032313	6.205311	1.730745	17.550134	7.23284	0	4.157754	39.553951	141.015445	16.965219	194.01541	78.654239	81.724017	104.996858	125.187397	83.742734	108.396633	101.305173	113.963203	103.207057	103.214796	110.455842	98.397088	195.364501	83.487966	131.588923	207.084752	74.120455	99.022757	198.42487	200.369971	133.900076	154.527437	125.136043	221.65149	3.857401	0	108.298786	108.148353	0	113.880693	94.952708	38.173211	84.010879	92.775366	86.792618	85.794614	102.031788	69.665065	69.790882	0.307974	91.71139	4.662051	177.601218	2.676855	86.419005	109.352254	104.718724	90.327792
GH28	0	0	0	1716.802934	0	0	723.827042	0	3548.86068	0	0	0	325.589676	186.056475	293.29019	35.197051	253.66599	177.286382	513.281678	468.336841	711.153473	262.66456	329.510341	0	0	0	0	0	0	0	0	0	0	0	0	65.332076	353.245546	147.316387	204.656098	110.761487	38.112139	441.407812	487.843766	513.199289	183.931756	0	297.63495	229.064344	19.26732	0	58.943428	301.939965	0	0	0	0.995139	0	0	0	58.231549	5.327273	9.044589	15.431631	44.826538	9.013303	824.542391	66.610073	20.032712	527.090102	85.588778	341.985641	490.982262	587.689276	252.912455	648.657017	501.396948	252.268694	312.206	242.945771	232.429084	232.955835	228.619703	280.831663	383.867761	409.638043	294.099128	341.765084	281.420426	430.295008	686.610373	591.762582	431.319195	643.962687	637.356416	479.722486	65.134041	83.915082	691.774378	558.318871	95.778074	733.37034	311.500716	229.932188	120.084324	179.109361	329.534399	183.213085	234.856373	168.556261	139.858285	11.934106	162.880343	43.188661	644.388808	166.278649	250.180679	766.231501	477.732344	172.580848
GH5	0	0	0	0	5781.65704	0	413.350654	0	0	0	0	0	190.439514	194.516899	236.274449	37.423803	174.957987	213.450014	223.843092	236.149256	424.636653	363.096348	311.105351	0	0	0	0	0	0	0	0	0	0	0	0	265.001375	281.652388	127.955668	289.008496	201.920653	33.433685	335.868862	617.344164	167.261751	93.218072	0	63.364434	342.540856	22.647043	834.088192	12.57274	109.189996	449.944256	0	0	6.562469	0	0	0	100.726519	3.924136	28.433299	24.986744	95.681065	8.855658	662.870476	38.344055	65.454925	249.853763	33.396839	193.669126	527.097352	484.29946	356.495432	490.560965	526.398102	348.862672	450.828381	397.447187	439.115508	433.561365	399.135051	435.359458	299.852387	232.822271	268.274934	323.771555	186.853722	262.395749	386.324603	304.715237	333.168443	296.191079	307.751274	313.986496	52.478782	242.795497	466.992542	458.279705	37.168506	497.95949	451.927133	330.68421	218.895611	290.08111	443.890874	303.872347	183.686601	154.035881	111.797593	20.031848	145.387817	48.929226	366.962192	43.464491	218.730966	340.689499	228.702763	112.81312
GH76	0	0	0	0	0	5212.201	0	0	0	1897.70704	735.726177	0	57.64359	31.802269	39.603314	0	55.042288	50.065746	271.274674	257.065963	356.434135	0	0	0	0	0	0	0	0	1339.16816	409.854826	0	0	1089.72909	497.042633	0	56.591406	0	42.549239	48.615826	11.154356	296.642842	254.715336	222.143167	191.818975	0	96.436864	0	14.716973	0	87.52589	1075.358465	804.971264	53.062136	0	24.145906	0	0	448.4022	89.646669	1.499206	13.970888	63.465395	111.722028	35.95599	301.580853	85.43167	187.161323	218.507344	21.477565	254.869563	491.049549	459.75831	413.427782	431.528426	475.371091	443.306958	581.337604	567.984022	617.476273	635.355416	553.522607	605.571455	180.83595	222.428955	186.427556	165.197207	164.780941	195.64893	232.77245	210.236787	222.259492	234.417363	264.930039	205.965922	128.74398	133.210241	357.078325	464.06947	43.624738	364.435901	488.445437	351.75551	310.406745	420.588402	534.303259	488.333455	82.998213	112.663054	67.94929	61.133735	83.353146	68.277569	266.051261	39.989829	102.823658	275.382248	232.306693	64.232524
