#Class	Duodenum	Jejunum	Ileum	Cecum	Colorectum
AA	771.203515	1442.695864	2029.580887	7008.048458	1703.500175
CBM	14716.45783	17664.81309	23724.21281	164024.5808	21648.50307
CE	7261.44944	8919.094307	14313.67583	103672.9664	14268.66625
GH	33678.35743	42125.77056	59029.12501	584317.4906	75562.17213
GT	20225.45439	21931.85651	30588.96251	115550.0283	22047.75633
PL	1164.526478	1385.656091	1321.364705	30765.4564	2735.42283
SLH	187.156441	346.356833	346.980342	1440.461997	255.610515
cohesin	73.805834	73.710085	69.826461	2251.456445	226.143924
dockerin	42.540271	59.586143	44.447822	476.716269	44.997722
#Class	Duodenum	Jejunum	Ileum	Cecum	Colorectum
CBM	24.821746	12.44706	71.627624	0	0
CE	263.979282	212.555821	366.326198	0	0
GH	319.015934	262.204291	578.779975	0	0
GT	190.41479	218.345555	500.826489	0	0
PL	15.50794	17.831173	31.715881	0	0
SLH	260.469271	231.909419	536.239916	0	0
#Class	Duodenum	Jejunum	Ileum	Cecum	Colorectum
AA	0	0	0	108873.2938	8016.414506
CBM	0	0	0	641153.0215	48310.92374
CE	0	0	0	578398.6751	42685.56877
GH	0	0	0	2431723.981	174486.1052
GT	0	0	0	1122291.497	84266.12112
PL	0	0	0	115280.4444	7206.029634
SLH	0	0	0	209775.7599	18816.46002
cohesin	0	0	0	7300.790369	853.451637
dockerin	0	0	0	8687.002735	838.067357
