	D03		D07		D14		D42		D70	
Amino acid	32373.39616	3690.765	36728.7	484.4663	30145.41	149.927	30840.56	461.6476	30167.92	130.4178
Carbohydrate	48590.11888	5299.765	63120.43	1407.537	41607.63	559.4694	41766.57	770.3943	39202.54	332.3027
Energy	22105.07633	2436.268	26024.87	312.6814	19473.24	98.4745	19948.68	315.9726	20757.38	155.5682
Lipid	10690.79164	1173.916	13468.55	312.8214	9696.747	144.4375	9719.158	274.8025	10160.02	98.16616
Nucleotide	15712.58576	1649.186	19951.96	306.8843	14716.83	75.21058	16840.84	236.2505	16228.42	176.2331
Xenobiotics	6648.180486	854.9505	7191.989	148.0671	4455.739	27.51999	4425.33	62.52867	4573.878	20.55917
Glycan	9652.708007	905.8103	12205.91	187.5919	11590.24	299.1154	12971.42	353.253	12032.12	152.4689
Cofactors and vitamins	26861.39995	2996.437	30407.12	302.6137	22588.86	165.1118	22830.83	541.5216	23939.41	112.0831
Terpenoids and polyketides	5127.821979	629.1443	6207.21	175.0646	4333.514	27.11633	4556.722	70.05533	4803.319	35.44079
Other amino acids	10758.5439	1218.727	12434.68	205.6678	8125.775	111.4146	9072.152	160.9522	8281.993	71.74774
