sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
MD3d_CeC_2	MD3d_CeC_1	0.392175672	D03	MD3d_CeC_2	MD3d_CeC_1	0.278954253	D03	MD3d_CeC_2	MD3d_CeC_1	0.088526254	D03
MD3d_CeC_3	MD3d_CeC_1	0.456483157	D03	MD3d_CeC_3	MD3d_CeC_1	0.34506854	D03	MD3d_CeC_3	MD3d_CeC_1	0.105726302	D03
MD3d_CeC_4	MD3d_CeC_1	0.355076488	D03	MD3d_CeC_4	MD3d_CeC_1	0.205319145	D03	MD3d_CeC_4	MD3d_CeC_1	0.082093791	D03
MD3d_CeC_5	MD3d_CeC_1	0.073226162	D03	MD3d_CeC_5	MD3d_CeC_1	0.01857746	D03	MD3d_CeC_5	MD3d_CeC_1	0.026380472	D03
MD3d_CeC_6	MD3d_CeC_1	0.397047334	D03	MD3d_CeC_6	MD3d_CeC_1	0.288425538	D03	MD3d_CeC_6	MD3d_CeC_1	0.092096595	D03
MD3d_CeC_7	MD3d_CeC_1	0.464206752	D03	MD3d_CeC_7	MD3d_CeC_1	0.354339609	D03	MD3d_CeC_7	MD3d_CeC_1	0.104722304	D03
MD3d_CeC_8	MD3d_CeC_1	0.361231055	D03	MD3d_CeC_8	MD3d_CeC_1	0.209211851	D03	MD3d_CeC_8	MD3d_CeC_1	0.084239871	D03
MD3d_CeC_1	MD3d_CeC_2	0.392175672	D03	MD3d_CeC_1	MD3d_CeC_2	0.278954253	D03	MD3d_CeC_1	MD3d_CeC_2	0.088526254	D03
MD3d_CeC_3	MD3d_CeC_2	0.229034635	D03	MD3d_CeC_3	MD3d_CeC_2	0.089670173	D03	MD3d_CeC_3	MD3d_CeC_2	0.06664148	D03
MD3d_CeC_4	MD3d_CeC_2	0.370510992	D03	MD3d_CeC_4	MD3d_CeC_2	0.281518793	D03	MD3d_CeC_4	MD3d_CeC_2	0.086599963	D03
MD3d_CeC_5	MD3d_CeC_2	0.407196164	D03	MD3d_CeC_5	MD3d_CeC_2	0.2959718	D03	MD3d_CeC_5	MD3d_CeC_2	0.089974157	D03
MD3d_CeC_6	MD3d_CeC_2	0.07161471	D03	MD3d_CeC_6	MD3d_CeC_2	0.012266406	D03	MD3d_CeC_6	MD3d_CeC_2	0.02681651	D03
MD3d_CeC_7	MD3d_CeC_2	0.23549458	D03	MD3d_CeC_7	MD3d_CeC_2	0.101469408	D03	MD3d_CeC_7	MD3d_CeC_2	0.06256173	D03
MD3d_CeC_8	MD3d_CeC_2	0.375824235	D03	MD3d_CeC_8	MD3d_CeC_2	0.28262949	D03	MD3d_CeC_8	MD3d_CeC_2	0.087297628	D03
MD3d_CeC_1	MD3d_CeC_3	0.456483157	D03	MD3d_CeC_1	MD3d_CeC_3	0.34506854	D03	MD3d_CeC_1	MD3d_CeC_3	0.105726302	D03
MD3d_CeC_2	MD3d_CeC_3	0.229034635	D03	MD3d_CeC_2	MD3d_CeC_3	0.089670173	D03	MD3d_CeC_2	MD3d_CeC_3	0.06664148	D03
MD3d_CeC_4	MD3d_CeC_3	0.431426825	D03	MD3d_CeC_4	MD3d_CeC_3	0.340979358	D03	MD3d_CeC_4	MD3d_CeC_3	0.111403669	D03
MD3d_CeC_5	MD3d_CeC_3	0.473038436	D03	MD3d_CeC_5	MD3d_CeC_3	0.361951193	D03	MD3d_CeC_5	MD3d_CeC_3	0.107495875	D03
MD3d_CeC_6	MD3d_CeC_3	0.225543057	D03	MD3d_CeC_6	MD3d_CeC_3	0.078392049	D03	MD3d_CeC_6	MD3d_CeC_3	0.071324442	D03
MD3d_CeC_7	MD3d_CeC_3	0.064962844	D03	MD3d_CeC_7	MD3d_CeC_3	0.013778541	D03	MD3d_CeC_7	MD3d_CeC_3	0.026252799	D03
MD3d_CeC_8	MD3d_CeC_3	0.438351201	D03	MD3d_CeC_8	MD3d_CeC_3	0.34227773	D03	MD3d_CeC_8	MD3d_CeC_3	0.113650245	D03
MD3d_CeC_1	MD3d_CeC_4	0.355076488	D03	MD3d_CeC_1	MD3d_CeC_4	0.205319145	D03	MD3d_CeC_1	MD3d_CeC_4	0.082093791	D03
MD3d_CeC_2	MD3d_CeC_4	0.370510992	D03	MD3d_CeC_2	MD3d_CeC_4	0.281518793	D03	MD3d_CeC_2	MD3d_CeC_4	0.086599963	D03
MD3d_CeC_3	MD3d_CeC_4	0.431426825	D03	MD3d_CeC_3	MD3d_CeC_4	0.340979358	D03	MD3d_CeC_3	MD3d_CeC_4	0.111403669	D03
MD3d_CeC_5	MD3d_CeC_4	0.361684899	D03	MD3d_CeC_5	MD3d_CeC_4	0.221611877	D03	MD3d_CeC_5	MD3d_CeC_4	0.082466611	D03
MD3d_CeC_6	MD3d_CeC_4	0.376018027	D03	MD3d_CeC_6	MD3d_CeC_4	0.29032342	D03	MD3d_CeC_6	MD3d_CeC_4	0.088118961	D03
MD3d_CeC_7	MD3d_CeC_4	0.434802112	D03	MD3d_CeC_7	MD3d_CeC_4	0.350219732	D03	MD3d_CeC_7	MD3d_CeC_4	0.107854376	D03
MD3d_CeC_8	MD3d_CeC_4	0.060766211	D03	MD3d_CeC_8	MD3d_CeC_4	0.007425138	D03	MD3d_CeC_8	MD3d_CeC_4	0.022558797	D03
MD3d_CeC_1	MD3d_CeC_5	0.073226162	D03	MD3d_CeC_1	MD3d_CeC_5	0.01857746	D03	MD3d_CeC_1	MD3d_CeC_5	0.026380472	D03
MD3d_CeC_2	MD3d_CeC_5	0.407196164	D03	MD3d_CeC_2	MD3d_CeC_5	0.2959718	D03	MD3d_CeC_2	MD3d_CeC_5	0.089974157	D03
MD3d_CeC_3	MD3d_CeC_5	0.473038436	D03	MD3d_CeC_3	MD3d_CeC_5	0.361951193	D03	MD3d_CeC_3	MD3d_CeC_5	0.107495875	D03
MD3d_CeC_4	MD3d_CeC_5	0.361684899	D03	MD3d_CeC_4	MD3d_CeC_5	0.221611877	D03	MD3d_CeC_4	MD3d_CeC_5	0.082466611	D03
MD3d_CeC_6	MD3d_CeC_5	0.410766341	D03	MD3d_CeC_6	MD3d_CeC_5	0.305277475	D03	MD3d_CeC_6	MD3d_CeC_5	0.092098681	D03
MD3d_CeC_7	MD3d_CeC_5	0.477937695	D03	MD3d_CeC_7	MD3d_CeC_5	0.371156323	D03	MD3d_CeC_7	MD3d_CeC_5	0.105548938	D03
MD3d_CeC_8	MD3d_CeC_5	0.367144507	D03	MD3d_CeC_8	MD3d_CeC_5	0.225472298	D03	MD3d_CeC_8	MD3d_CeC_5	0.082349766	D03
MD3d_CeC_1	MD3d_CeC_6	0.397047334	D03	MD3d_CeC_1	MD3d_CeC_6	0.288425538	D03	MD3d_CeC_1	MD3d_CeC_6	0.092096595	D03
MD3d_CeC_2	MD3d_CeC_6	0.07161471	D03	MD3d_CeC_2	MD3d_CeC_6	0.012266406	D03	MD3d_CeC_2	MD3d_CeC_6	0.02681651	D03
