tax	MD3d_CeC_1	MD3d_CeC_2	MD3d_CeC_3	MD3d_CeC_4	MD3d_CeC_5	MD3d_CeC_6	MD3d_CeC_7	MD3d_CeC_8	MD7d_CeC_1	MD7d_CeC_2	MD7d_CeC_3	MD7d_CeC_4	MD7d_CeC_5	MD7d_CeC_6	MD7d_CeC_7	MD7d_CeC_8	MD14d_CeC_1	MD14d_CeC_2	MD14d_CeC_3	MD14d_CeC_4	MD14d_CeC_5	MD14d_CeC_6	MD14d_CeC_7	MD14d_CeC_8	MD42d_CeC1	MD42d_CeC2	MD42d_CeC3	MD42d_CeC4	MD42d_CeC5	MD42d_CeC6	MD42d_CeC7	MD42d_CeC8	MD70d_CeC1	MD70d_CeC2	MD70d_CeC3	MD70d_CeC4	MD70d_CeC5	MD70d_CeC6	MD70d_CeC7	MD70d_CeC8	PD3d_CeC_1	PD3d_CeC_2	PD3d_CeC_3	PD3d_CeC_4	PD3d_CeC_5	PD3d_CeC_6	PD3d_CeC_7	PD3d_CeC_8	PD14d_CeC_1	PD14d_CeC_2	PD14d_CeC_3	PD14d_CeC_4	PD14d_CeC_5	PD14d_CeC_6	PD14d_CeC_7	PD14d_CeC_8	PD7d_CeC_1	PD7d_CeC_2	PD7d_CeC_4	PD7d_CeC_5	PD7d_CeC_6	PD7d_CeC_7	PD7d_CeC_8	PD7d_CeC_3	PD42d_CeC1	PD42d_CeC2	PD42d_CeC3	PD42d_CeC4	PD42d_CeC5	PD42d_CeC6	PD42d_CeC8	PD42d_CeC7	PD70d_CeC1	PD70d_CeC2	PD70d_CeC3	PD70d_CeC6	PD70d_CeC7	PD70d_CeC8	PD70d_CeC4	PD70d_CeC5
MD3d_CeC_1	0	0.278954253	0.34506854	0.205319145	0.01857746	0.288425538	0.354339609	0.209211851	0.381955421	0.368153733	0.433755142	0.447406407	0.452603722	0.434440034	0.370995605	0.386688104	0.985679884	0.986748276	0.974374239	0.988863868	0.986718027	0.98576375	0.989080496	0.974386738	0.988001031	0.987043294	0.98729039	0.986606646	0.983839107	0.986449525	0.98679332	0.986887254	0.989878029	0.98902596	0.989446896	0.989036428	0.989879546	0.988911142	0.989294528	0.988962388	0.455702169	0.44212585	0.495269221	0.740825315	0.770130719	0.76602988	0.430542244	0.579144577	0.984890273	0.986176034	0.985571698	0.983452368	0.982931985	0.984913803	0.985081447	0.983834238	0.45952815	0.449490657	0.45984891	0.499765357	0.462373738	0.453654132	0.464332931	0.439727481	0.990306133	0.979756096	0.987920593	0.982810136	0.989390459	0.98341961	0.986952922	0.98655149	0.989216765	0.986557017	0.988085726	0.986651525	0.98813536	0.989786176	0.989736307	0.989141378
MD3d_CeC_2	0.278954253	0	0.089670173	0.281518793	0.2959718	0.012266406	0.101469408	0.28262949	0.377941536	0.265861705	0.480344843	0.491603788	0.491738916	0.479043729	0.268978505	0.386462134	0.986648907	0.986955191	0.974492555	0.98914709	0.986902397	0.986761752	0.989328614	0.974477034	0.989715837	0.988847269	0.989781179	0.988861224	0.985316066	0.988891365	0.989398656	0.98890414	0.990267968	0.98990933	0.989463246	0.990104481	0.990252382	0.989854589	0.989325378	0.990007997	0.479995472	0.215953842	0.520731748	0.762839926	0.794936757	0.786662696	0.201625118	0.613676526	0.987617383	0.988633294	0.986583642	0.986240894	0.985622576	0.987595192	0.987738899	0.9865667	0.25778087	0.451650972	0.477863689	0.545089027	0.463377666	0.343166038	0.493128547	0.273078885	0.99058306	0.980271848	0.989614251	0.983188232	0.990188897	0.98379509	0.987527598	0.986830658	0.99005625	0.988205212	0.990320465	0.988260174	0.99034302	0.990752981	0.990714083	0.989984044
MD3d_CeC_3	0.34506854	0.089670173	0	0.340979358	0.361951193	0.078392049	0.013778541	0.34227773	0.36941153	0.267001359	0.471699141	0.487338348	0.516771121	0.470413522	0.270279292	0.377960956	0.989585962	0.989536662	0.981386649	0.991668029	0.989487103	0.989673745	0.991748013	0.981229899	0.990804042	0.990495783	0.990555657	0.990610098	0.98706826	0.990048275	0.990180753	0.990136644	0.992144593	0.99192789	0.99106541	0.991415839	0.992135239	0.991913588	0.991042833	0.991361167	0.492616165	0.141181409	0.53278939	0.774697717	0.80761157	0.799633432	0.138303018	0.619391414	0.990190675	0.990865729	0.98932874	0.989059711	0.988428158	0.99023577	0.990203198	0.989335137	0.206837755	0.441973025	0.467868126	0.533180787	0.452844865	0.334319597	0.482228271	0.264891648	0.991934742	0.984345383	0.991124695	0.986999504	0.991573	0.98690313	0.990613456	0.990479284	0.991748763	0.990904186	0.991691147	0.990936859	0.991718666	0.991943089	0.991911722	0.991696562
MD3d_CeC_4	0.205319145	0.281518793	0.340979358	0	0.221611877	0.29032342	0.350219732	0.007425138	0.422673713	0.401757493	0.481854513	0.493869571	0.49909755	0.480665521	0.404643106	0.427273505	0.991059842	0.990777845	0.983551246	0.992855962	0.99070716	0.991135699	0.99295438	0.983387204	0.991710412	0.991988418	0.991360868	0.991306441	0.988364023	0.990745909	0.9909627	0.991520103	0.99298579	0.992787989	0.991881345	0.992235393	0.992974796	0.992766259	0.991854755	0.992179398	0.50180974	0.471798591	0.5409911	0.779860031	0.812067926	0.804559473	0.456098588	0.626373532	0.991722995	0.992419874	0.990901344	0.990586139	0.98995276	0.991756077	0.991712105	0.990865176	0.488299513	0.479250426	0.49328817	0.544046333	0.493243272	0.48331975	0.497484377	0.472019027	0.992715148	0.98559895	0.992001112	0.988216069	0.99240171	0.98791263	0.991612384	0.991539881	0.992641792	0.992389181	0.992574768	0.992411006	0.992603444	0.992848082	0.992820929	0.992598653
MD3d_CeC_5	0.01857746	0.2959718	0.361951193	0.221611877	0	0.305277475	0.371156323	0.225472298	0.391161537	0.382462506	0.432710595	0.445359625	0.450557327	0.433430951	0.385180789	0.395865386	0.984066173	0.985247481	0.972820269	0.987364244	0.985221825	0.984164869	0.987583102	0.972894728	0.986418928	0.985465905	0.985699342	0.985027016	0.982338524	0.984870081	0.985207294	0.985271157	0.988346837	0.987498739	0.987871865	0.987491382	0.988347724	0.987378469	0.987724665	0.987419767	0.452620136	0.455037325	0.491910739	0.739668245	0.768888109	0.764720135	0.444019787	0.576005603	0.98288401	0.984315211	0.983927212	0.981449706	0.980940801	0.98291442	0.983079138	0.98183446	0.47335521	0.463081915	0.470128713	0.49805906	0.476073375	0.467302973	0.473819997	0.453006272	0.988796633	0.978266166	0.986373015	0.981301839	0.98787184	0.981919289	0.985427438	0.985025193	0.987716967	0.985035737	0.986208175	0.985127687	0.98625361	0.988287939	0.988235156	0.987638228
MD3d_CeC_6	0.288425538	0.012266406	0.078392049	0.29032342	0.305277475	0	0.089919202	0.291298213	0.38201206	0.2706456	0.483911333	0.495110863	0.495230175	0.482594683	0.273696408	0.390490734	0.98683124	0.987061625	0.974670526	0.989309693	0.987016129	0.986940079	0.989486992	0.974655474	0.989776474	0.98891884	0.989798374	0.988964511	0.985883589	0.988915468	0.989414393	0.988985287	0.99034381	0.989978288	0.98953622	0.990173369	0.990332357	0.989920578	0.989444555	0.990081124	0.4844059	0.2042941	0.525045889	0.765681357	0.797527647	0.789410665	0.195798435	0.617748912	0.987714946	0.988721629	0.986686755	0.986359962	0.985734255	0.987692211	0.987836669	0.986671094	0.25177062	0.455288553	0.481414381	0.548220123	0.466981546	0.347386712	0.496539484	0.2777203	0.990652909	0.980423752	0.989700875	0.98332196	0.99026758	0.983923362	0.987621167	0.986942429	0.99014483	0.988302698	0.990414848	0.988357358	0.990430861	0.99086355	0.990822488	0.990069888
MD3d_CeC_7	0.354339609	0.101469408	0.013778541	0.350219732	0.371156323	0.089919202	0	0.351210854	0.374469889	0.273138439	0.475812638	0.491549196	0.525067001	0.474512389	0.276340541	0.382906086	0.989919176	0.989853854	0.981812971	0.991986043	0.989805405	0.990003951	0.992065083	0.981655356	0.991173562	0.990797696	0.99096201	0.990882604	0.987910441	0.990348806	0.990590327	0.990449558	0.992430754	0.992207975	0.991350311	0.991699622	0.992422899	0.992195565	0.991329491	0.99164388	0.498556821	0.134279012	0.538702015	0.778387101	0.810874202	0.803113756	0.145639813	0.624297178	0.990487236	0.99114246	0.989630113	0.989372728	0.988736112	0.990529243	0.990492128	0.989635278	0.212963011	0.446386112	0.472139458	0.536861803	0.457212599	0.339562852	0.486370272	0.2708008	0.992214699	0.984672516	0.991415973	0.98728903	0.991866878	0.987208901	0.990883991	0.990750198	0.992035522	0.991184057	0.991977341	0.991217049	0.992003751	0.992229938	0.992193613	0.991983433
MD3d_CeC_8	0.209211851	0.28262949	0.34227773	0.007425138	0.225472298	0.291298213	0.351210854	0	0.424588766	0.402006921	0.485587759	0.497030302	0.502192636	0.484312545	0.404745804	0.428991711	0.991684512	0.991382144	0.984217471	0.993453737	0.991316371	0.991749497	0.993551587	0.984051846	0.99232602	0.992622672	0.99191853	0.991934261	0.989453113	0.991316149	0.991519914	0.992121029	0.993558857	0.993371423	0.992518404	0.992819686	0.993545845	0.99335391	0.99248852	0.992763326	0.506178282	0.472051297	0.545345126	0.782722925	0.814791737	0.807475008	0.45659009	0.6299747	0.992333044	0.993028631	0.99154133	0.991220175	0.990575351	0.992367831	0.992330265	0.99147879	0.488142002	0.479712389	0.494347473	0.547375405	0.493133695	0.483340726	0.498530564	0.472219061	0.9932883	0.9862175	0.992596429	0.988822517	0.992985378	0.988519313	0.992207514	0.992130022	0.993219005	0.992984061	0.99316005	0.993004404	0.993177856	0.99342002	0.993394622	0.993183995
MD7d_CeC_1	0.381955421	0.377941536	0.36941153	0.422673713	0.391161537	0.38201206	0.374469889	0.424588766	0	0.121755391	0.171304513	0.217898261	0.271227391	0.152669018	0.117641302	0.012099519	0.980028748	0.981245791	0.970657384	0.983833502	0.981245669	0.980233907	0.98402994	0.970757271	0.981190052	0.981480553	0.981854406	0.980294969	0.978853272	0.981266178	0.981604344	0.98099343	0.98544423	0.984871693	0.98549433	0.984490715	0.985482029	0.98468457	0.985341823	0.984427027	0.410919838	0.380935893	0.481734255	0.73593368	0.765820248	0.761769747	0.365032749	0.468748507	0.976967947	0.977856042	0.980302916	0.973654299	0.972920714	0.974966787	0.976574138	0.973896562	0.271316222	0.135438541	0.320078182	0.374490054	0.294953797	0.183777532	0.323309568	0.255311529	0.986305454	0.976436383	0.983274117	0.979206784	0.9851443	0.979849588	0.982997523	0.982707743	0.984866368	0.981947963	0.981094958	0.982008267	0.98121212	0.985841588	0.985797794	0.984792981
MD7d_CeC_2	0.368153733	0.265861705	0.267001359	0.401757493	0.382462506	0.2706456	0.273138439	0.402006921	0.121755391	0	0.222797273	0.259128333	0.30748786	0.224231911	0.006025829	0.130709424	0.98081055	0.981939327	0.971252475	0.984503603	0.981931192	0.981023484	0.984672599	0.971358578	0.981762968	0.982107251	0.982280663	0.980868994	0.979261696	0.98157147	0.981929212	0.981583875	0.9860607	0.985488311	0.985901325	0.985001461	0.986086822	0.98531316	0.985737381	0.98494308	0.414324269	0.302341686	0.483849292	0.736958914	0.766500098	0.763168487	0.278504089	0.473735321	0.979411992	0.981569466	0.981061643	0.977594744	0.976902536	0.978866495	0.980341808	0.977777151	0.212302148	0.198610137	0.344938141	0.408714715	0.308196378	0.12888512	0.349668227	0.189300105	0.98686469	0.977022477	0.983897998	0.979734715	0.985731041	0.980436793	0.983506711	0.98321152	0.985412226	0.982500384	0.984245169	0.98256009	0.984319759	0.986292552	0.986225969	0.985339014
