phylum	MD3d_CeC_1	MD3d_CeC_2	MD3d_CeC_3	MD3d_CeC_4	MD3d_CeC_5	MD3d_CeC_6	MD3d_CeC_7	MD3d_CeC_8	MD7d_CeC_1	MD7d_CeC_2	MD7d_CeC_3	MD7d_CeC_4	MD7d_CeC_5	MD7d_CeC_6	MD7d_CeC_7	MD7d_CeC_8	MD14d_CeC_1	MD14d_CeC_2	MD14d_CeC_3	MD14d_CeC_4	MD14d_CeC_5	MD14d_CeC_6	MD14d_CeC_7	MD14d_CeC_8	MD42d_CeC1	MD42d_CeC2	MD42d_CeC3	MD42d_CeC4	MD42d_CeC5	MD42d_CeC6	MD42d_CeC7	MD42d_CeC8	MD70d_CeC1	MD70d_CeC2	MD70d_CeC3	MD70d_CeC4	MD70d_CeC5	MD70d_CeC6	MD70d_CeC7	MD70d_CeC8	PD3d_CeC_1	PD3d_CeC_2	PD3d_CeC_3	PD3d_CeC_4	PD3d_CeC_5	PD3d_CeC_6	PD3d_CeC_7	PD3d_CeC_8	PD14d_CeC_1	PD14d_CeC_2	PD14d_CeC_3	PD14d_CeC_4	PD14d_CeC_5	PD14d_CeC_6	PD14d_CeC_7	PD14d_CeC_8	PD7d_CeC_1	PD7d_CeC_2	PD7d_CeC_4	PD7d_CeC_5	PD7d_CeC_6	PD7d_CeC_7	PD7d_CeC_8	PD7d_CeC_3	PD42d_CeC1	PD42d_CeC2	PD42d_CeC3	PD42d_CeC4	PD42d_CeC5	PD42d_CeC6	PD42d_CeC8	PD42d_CeC7	PD70d_CeC1	PD70d_CeC2	PD70d_CeC3	PD70d_CeC6	PD70d_CeC7	PD70d_CeC8	PD70d_CeC4	PD70d_CeC5
Abditibacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	17	6	11	12	26	6	2	0	2	1	1	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	37	31	23	38	15	31	36	39	29	142	45	174	54	16	9	47
Acidobacteria	0	0	0	0	6	0	0	0	0	1	0	0	0	0	2	0	386	306	127	493	279	476	573	100	4468	1733	4138	3951	2853	4349	3808	2395	1790	646	543	909	2428	541	650	795	2	0	0	0	0	1	0	0	381	452	284	176	295	182	327	327	10	20	1	10	36	7	8	6	1514	1223	1117	1069	1265	1257	1005	1046	1659	2506	2732	2991	2441	1245	1183	1965
Actinobacteria	13253	4011	1143	3290	17364	5157	1873	5833	25414	13532	29958	19380	36316	18009	15513	36785	95033	96221	45985	198440	104962	113277	292436	62975	69026	36189	72047	67063	125440	78219	80083	50109	115436	113513	55644	116740	149995	94009	57954	116751	112	25696	382	103	65	525	2241	195	71837	67880	75361	40513	96160	86797	66998	106862	5010	7477	14502	30239	30545	13616	24206	73182	199559	78064	34988	118077	109736	114121	108309	195681	286829	358029	332948	459452	292932	231851	214157	322277
Aquificae	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	2	14	53	19	65	56	17	84	32	458	353	800	523	356	699	920	529	173	106	250	225	222	107	268	236	2	181	4	1	0	0	7	0	50	86	58	7	33	50	51	46	20	25	89	533	230	32	262	29	707	572	114	391	352	570	129	160	662	681	936	886	795	353	353	715
Archaea_norank	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	18	80	10	69	80	22	104	19	287	287	93	103	158	94	248	382	412	129	2141	1710	515	145	2369	1794	2	0	0	0	0	0	0	0	27	12	68	9	12	23	18	24	0	0	0	76	314	4	106	0	273	80	123	250	239	121	351	681	1576	4142	3325	5180	2848	1001	1024	1709
Armatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	52	68	153	55	36	214	136	265	92	297	139	118	221	219	198	654	545	438	319	853	418	409	364	2	0	0	0	0	0	0	2	111	197	51	32	134	91	101	168	0	0	1	3	2	0	4	0	446	189	47	226	283	256	155	293	461	1221	1515	1538	1366	507	505	574
Bacteria_norank	4477	4872	4864	6165	5409	6256	7665	11722	4495	5863	10544	4445	5724	9172	7019	6330	125744	125803	224730	206188	131212	138743	266944	311264	305262	70807	281080	274875	176979	301738	282227	139738	167180	105208	90544	142359	216908	89962	95491	141055	107	4730	64	53	56	37	432	108	91364	55266	70807	37818	76145	63289	66466	81937	11539	14051	17831	43658	63758	13648	39416	6051	194857	146933	84567	141116	141759	160607	106927	149908	212339	271752	287964	344826	252581	169346	159900	237268
Bacteroidetes	57629	16770	10743	14023	81784	21412	15315	23244	101484	55949	105257	68775	132913	62773	65996	148730	1305021	2688913	8570057	2504151	2876130	1482501	3287435	11714408	5807788	2546484	7910209	6344235	5083270	8506512	9485782	4977248	8126725	6089521	2686740	8117656	10642234	5226321	2805477	8088663	3367	16175	2214	2930	2222	2024	3086	2421	2961390	3363821	1437337	1410077	6020572	2728764	2513507	4821596	13503	14871	24958	30466	39475	16503	31195	14529	13280490	14848216	4404513	14955283	8744791	14162823	10173369	17025679	8681133	10066821	14096308	12877286	12421509	9007741	8406375	9788309
Balneolaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	6	54	21	9	62	3	258	19	298	206	132	248	247	75	106	29	44	182	128	48	59	224	0	0	0	0	0	0	0	0	11	28	26	15	13	23	14	21	0	0	0	0	0	0	0	0	47	42	43	40	36	50	46	70	103	208	189	285	167	125	102	120
Caldiserica	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	24	0	42	22	2	52	1	17	0	10	47	22	19	6	6	68	8	3	15	91	13	9	9	0	0	0	0	0	0	0	2	19	4	11	3	12	3	9	8	0	316	473	804	914	200	716	151	4	16	22	46	18	14	35	53	129	391	151	483	146	51	57	147
Calditrichaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	9	1	24	8	29	23	4	57	138	205	71	106	113	146	179	108	46	38	112	91	39	33	92	0	0	0	0	0	0	0	0	109	27	10	10	52	43	39	47	0	0	0	264	49	0	89	0	9	81	55	138	67	61	130	264	115	130	113	115	115	79	90	113
Candidatus Abawacabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	1	7	0	8	6	2	10	6	12	1	5	1
Candidatus Abyssubacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	47	8	4	40	12	17	10	147	293	143	150	162	186	115	152	88	16	160	124	154	10	185	131	0	0	0	0	0	0	0	0	25	19	11	3	7	3	24	10	0	0	0	0	0	0	0	0	29	11	15	11	15	11	7	5	34	47	28	38	29	10	12	30
Candidatus Adlerbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Aenigmarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	2	2	11	9	9	6	26	3	3	7	34	3	1	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	17	7	6	7	10	6	3	6	9	11	36	17	22	21	12	20
Candidatus Aerophobetes	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	203	27	190	156	48	268	29	364	75	134	129	109	137	324	213	166	93	54	101	202	106	67	132	0	2	0	0	0	0	0	0	35	51	68	17	42	45	44	69	0	0	0	0	0	0	0	0	57	152	49	133	66	117	51	100	257	425	611	523	510	231	208	324
