Entry	Description	ANCeC1	ANCeC2	ANCeC3	ANCeC4	ANCeC5	ANCeC6	ANCeC7	HBCeC1	HBCeC2	HBCeC3	HBCeC4	HBCeC5	HBCeC6	HNCeC10	HNCeC11	HNCeC12	HNCeC13	HNCeC14	HNCeC15	HNCeC16	HNCeC17	HNCeC18	HNCeC4	HNCeC5	HNCeC6	HNCeC7	HNCeC8	JSCeC1	JSCeC2	JSCeC3	JSCeC4	JSCeC5	JSCeC6	MD70dCeC1	MD70d_CeC1	MD70dCeC2	MD70d_CeC2	MD70dCeC3	MD70d_CeC3	MD70dCeC4	MD70d_CeC4	MD70dCeC5	MD70d_CeC5	MD70dCeC6	MD70d_CeC6	MD70d_CeC7	MD70d_CeC8	PD70dCeC1	PD70d_CeC1	PD70dCeC2	PD70d_CeC2	PD70dCeC3	PD70d_CeC3	PD70dCeC4	PD70d_CeC4	PD70dCeC5	PD70d_CeC5	PD70dCeC6	PD70d_CeC6	PD70d_CeC7	PD70d_CeC8	SDCeC1	SDCeC2	SDCeC3	SDCeC4	SDCeC5	SDCeC6	SHCeC1	SHCeC12	SHCeC15	SHCeC16	SHCeC17	SHCeC18	SHCeC24	SHCeC26	SHCeC27	SHCeC28	SHCeC4	SHCeC7	SXCeC1	SXCeC2	SXCeC3	SXCeC4	SXCeC5	SXCeC6	WNCeC1L	WNCeC2L	WNFCeC1L	WNFCeC2L	WNFCeC3L	WNFCeC4L	CeC1	CeC105	CeC108	CeC112	CeC113	CeC123	CeC124	CeC139	CeC149	CeC161	CeC164	CeC166	CeC186	CeC192	CeC198	CeC200	CeC28	CeC35	CeC38	CeC41	CeC42	CeC51	CeC6	CeC61	CeC66	CeC67	CeC68	CeC69	CeC70	CeC89	FJCeC1	FJCeC2	FJCeC3	FJCeC4	FJCeC5	FJCeC6	GZCeC-10	GZCeC-24	GZCeC-25	GZCeC-26	GZCeC-27	GZCeC-28	GZCeC-29	GZCeC-30	GZCeC-6	GZCeC-7	GZCeC-8	GZCeC-9	HEBCeC-10	HEBCeC-15	HEBCeC-17	HEBCeC-18	HEBCeC-21	HEBCeC-22	HEBCeC-25	HEBCeC-30	HEBCeC-4	HEBCeC-5	HEBCeC-7	HEBCeC-8	SDQCeC10L	SDQCeC11L	SDQCeC1L	SDQCeC1R	SDQCeC2L	SDQCeC3L	SDQCeC4L	SDQCeC4R	SDQCeC5L	SDQCeC7R	SDQCeC8L	SDQCeC8R	SDQCeC9L	SDQCeC9R	SSCeC-1	SSCeC-10	SSCeC-2	SSCeC-3	SSCeC-4	SSCeC-5	SSCeC-6	SSCeC-7	SSCeC-8	SSCeC-9	WFHCeC11L	WFHCeC12L	WFHCeC13L	WFHCeC14L	WFHCeC16L	WFHCeC1L	WFHCeC21L	WFHCeC22L	WFHCeC23L	WFHCeC24L	WFHCeC25L	WFHCeC2L	WFHCeC3L	WFHCeC4L	WFHCeC6L	WHYCeC1L	WHYCeC1R	WHYCeC2L	WHYCeC2R	WHYCeC3L	WHYCeC3R	WHYCeC4L	WHYCeC4R	WHYCeC5L	WHYCeC5R	WHYCeC6L	WHYCeC6R	WHYCeC7L	WHYCeC7R	WHYCeC8
Group	Group	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW
K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	294.828682	319.293268	357.226104	330.459868	329.398289	297.714255	310.396269	349.277553	325.60416	326.753327	356.055376	376.812881	374.81496	249.349839	244.708997	508.909935	550.728289	409.816871	338.736413	311.932101	263.281932	252.669036	545.722935	561.808185	562.588589	320.448393	327.157624	214.420446	167.820319	191.104112	218.231361	183.237301	190.404721	307.753344	211.714553	286.001179	209.205124	302.585405	266.80009	331.392864	266.859146	299.251169	214.598664	329.922753	211.692712	268.29498	268.759099	225.468274	202.201568	238.552841	226.183566	246.142319	236.075605	255.742778	218.552536	241.9133	207.427588	242.95256	227.806819	231.277902	222.404574	325.775971	381.922831	335.493076	315.218798	294.370605	346.826929	221.125995	242.817851	163.418891	220.240189	240.550935	141.014548	182.477243	184.131441	238.257613	228.172036	250.05759	223.675305	265.467882	246.325736	219.521622	223.145617	274.829374	233.809797	543.255669	396.254948	509.97127	354.85632	465.018954	645.126712	395.332101	352.868086	393.237223	444.024875	406.505846	449.631736	576.564013	421.086641	439.739393	466.222115	395.210361	379.647028	447.013014	423.108859	364.727938	394.289035	466.390491	435.345266	351.416673	445.524586	423.555127	460.54458	463.086531	384.855882	514.770821	349.851313	434.156508	461.973928	492.77617	425.71903	330.044211	407.841145	360.324232	386.929081	304.869503	364.263797	575.596998	694.169168	923.998732	583.854945	423.189636	695.198311	625.11028	574.641259	597.416538	454.284635	546.246695	656.070316	554.026538	519.932001	652.49544	555.234476	644.65436	602.017992	555.584456	656.346009	534.759098	501.993748	340.929351	510.923534	538.315589	454.305652	305.203053	415.384568	487.575459	344.21935	347.131767	429.653479	517.14747	443.448443	390.061382	478.591909	367.252847	467.056563	504.889577	481.723262	455.600694	582.400965	616.493603	501.439712	544.662049	460.209865	581.275926	391.918998	418.210453	413.236939	376.228841	337.035698	347.202616	392.348512	366.413558	346.281194	427.63044	313.384212	381.418208	332.198248	371.453372	406.573445	393.314483	624.465548	430.819169	598.256866	420.450964	394.331398	442.956582	588.259108	447.849458	555.983728	506.365202	577.173253	481.309667	587.228798	430.432492	784.93353
K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	30.654802	14.371113	16.054666	30.711801	5.477159	17.393793	15.142047	27.119175	27.728743	29.21496	12.844062	18.415886	15.09462	7.6825	13.863276	20.688721	37.28408	78.722658	12.46258	8.885624	14.664757	15.759881	26.84111	27.745979	32.937327	11.732564	26.74197	26.80771	21.687926	29.972488	35.93688	22.913578	28.710212	13.498998	12.816308	33.661455	26.668144	49.786324	37.035848	52.305244	41.239749	15.237232	11.061488	52.855853	25.310213	35.637601	40.206413	18.540813	26.043257	31.091224	31.116416	29.833359	28.905666	33.063167	25.63176	28.784086	24.411844	24.510039	30.585366	28.599028	28.10687	36.020118	58.747106	39.996481	31.266979	21.268979	23.098823	1.844551	1.401555	6.528686	3.176999	1.013053	1.505282	2.435476	1.710169	2.032833	1.566729	5.710114	0.66476	50.487362	28.608637	47.399654	24.775098	39.907332	29.897301	45.382782	10.716456	9.307726	211.291761	83.874485	35.788115	22.20512	49.171787	77.664063	89.907194	33.197372	39.31624	47.380024	56.61063	46.457514	42.879972	30.168526	31.363608	34.754982	40.521681	57.956207	40.169005	27.722095	20.188576	45.073828	23.363293	47.53708	50.507495	27.981055	32.463575	70.991393	26.400693	39.302618	58.989123	25.06344	58.328309	18.190765	47.908037	22.531624	52.427964	44.014455	79.329235	32.116919	151.527842	626.00591	31.415833	140.015632	357.777499	348.772849	124.093352	25.970655	40.685202	168.592094	422.037501	178.536642	83.858361	102.010609	90.649974	28.910377	95.333261	72.131008	58.96555	205.870381	211.981365	92.523849	163.908005	74.132216	67.244356	16.215928	62.853346	38.979361	17.063368	20.983678	54.06999	79.62192	63.605868	45.239923	49.513436	24.521856	56.912236	66.771512	18.224951	47.869748	78.489085	104.089698	45.171221	53.402519	48.858674	49.335209	22.788811	68.447924	72.854902	47.329626	32.864601	38.713425	49.844096	60.469721	43.813713	74.991857	34.062084	30.761466	54.364073	68.779909	62.119114	70.461977	29.36499	85.164041	16.856986	51.239313	8.561403	76.329754	11.468306	177.010935	24.061355	69.314601	25.739688	61.415126	40.038702	125.826019	223.049144
K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	208.675563	250.015029	273.931255	212.916205	229.121286	231.167956	223.708766	273.070311	244.914269	252.379333	236.286126	247.990319	245.708313	161.638912	145.548485	261.783851	312.823834	310.804019	198.553763	178.85501	142.483388	147.064498	292.308653	308.137711	326.512902	186.546541	201.975246	169.087606	135.695155	145.625971	163.506649	148.535878	148.592091	231.312498	174.79202	220.748913	177.39228	323.798374	274.461231	245.863283	213.104784	230.940841	170.220852	332.408912	188.918849	270.085747	213.903957	230.89816	194.19733	265.360031	222.186693	270.093481	232.633748	265.993955	219.109472	269.786405	194.247941	246.020009	224.227594	229.947026	205.403829	239.158938	254.047023	240.30064	206.008217	202.317348	241.620386	148.820217	155.469453	125.409392	134.073905	147.361855	86.064157	114.571131	109.187158	148.97941	141.738802	166.463286	146.510018	205.770733	190.976704	180.207116	155.026864	237.66067	175.738316	360.26347	237.95628	215.819921	309.578876	254.905609	364.083188	274.13964	250.552373	315.258659	313.349126	289.678286	310.970911	373.438459	330.415375	321.941234	383.186107	360.058002	273.082477	264.608719	267.676693	271.235972	303.201821	360.366396	307.239141	278.375553	326.701728	341.594311	337.073064	357.162398	288.703806	308.960679	255.888648	337.190499	281.0697	335.806612	295.019698	227.979121	253.120758	246.491976	238.520798	203.653992	250.485626	342.098123	547.078641	465.5981	348.612379	243.998837	437.443655	714.453275	383.223141	313.774424	361.667574	372.109072	405.599946	476.664915	398.956017	428.659903	363.72728	357.150295	365.19457	362.610767	404.541729	434.685061	424.490399	264.513336	420.166243	361.955515	388.727786	176.806759	262.789971	336.897451	225.931239	213.792632	283.243263	430.005271	454.528495	245.686367	335.032472	226.457393	303.192794	341.010956	379.654429	355.511828	430.442579	412.395134	382.251941	440.170366	378.122158	415.316451	422.143288	271.675091	271.306017	224.700517	239.768878	276.404826	268.590586	239.13493	241.033838	280.005386	226.983011	245.834239	248.628811	247.09784	246.163713	245.416397	344.192457	282.7718	350.946446	265.222194	243.368651	285.429709	331.337571	324.174456	366.020461	324.115272	323.231464	293.462682	352.505828	300.657507	426.485484
K03269	lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	325.593594	303.8389	358.336275	360.86176	358.029999	274.788149	276.990605	240.270434	197.63758	203.132166	291.212896	293.03281	291.3524	241.127691	238.085449	462.647518	477.935899	315.178541	290.617669	255.014935	229.202056	219.215942	512.231029	496.307767	458.390706	304.634385	311.011937	170.429717	106.676588	143.577805	179.581654	121.407815	146.192216	239.488297	185.392568	220.920227	177.938264	203.460933	170.973993	215.91008	195.36185	224.060357	195.495665	197.641472	183.619051	177.536622	195.111885	244.379886	234.618925	246.320457	241.911751	279.059258	271.972524	281.230143	264.337582	250.709987	226.489901	254.941175	239.778126	272.083544	265.165133	210.160169	216.23591	197.146646	210.698253	204.019007	226.223527	172.827196	193.390795	142.223451	183.923855	200.766418	142.444387	167.925971	152.76686	211.264724	208.403849	185.128843	222.169849	166.163428	186.702898	160.911153	198.752829	201.177438	195.017403	601.750643	273.563948	542.346216	258.354902	340.42321	529.43623	227.695965	200.829339	195.048339	316.432458	302.442561	235.517531	303.96785	267.187625	270.550438	226.18172	226.725657	283.816662	335.615146	342.791042	348.062501	262.885449	257.229487	280.312183	245.580903	248.361536	254.637453	269.414252	294.158037	240.244913	406.190514	272.057866	250.837552	228.955967	254.60754	238.531939	322.609776	388.916775	366.823266	390.666059	258.789946	339.071771	437.562935	552.48195	68.154976	509.099851	99.052772	295.088539	255.005073	387.916287	500.964485	425.626371	176.12359	139.524753	370.55057	299.44165	478.939806	417.344348	617.886474	424.129453	455.36865	506.126309	313.142774	359.231467	203.403733	298.559616	473.211863	418.424575	281.520022	391.939153	410.90118	371.662772	323.836256	412.943919	262.093064	109.083666	363.34569	521.672091	339.995714	453.240472	431.490654	359.868653	406.814024	479.473904	521.774942	422.493151	404.837016	329.709859	484.900973	254.006182	383.611144	407.916451	402.400105	397.836111	265.720276	435.506068	393.710541	341.259631	383.139677	281.127117	407.972436	325.368738	330.328864	424.410026	400.408114	601.598401	370.307408	543.760039	467.727041	415.615684	441.107037	590.091799	369.844798	535.711562	549.325552	526.198844	522.975995	545.857519	416.969916	392.236447
K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]	220.718095	265.929038	281.498953	227.691617	249.607743	246.658928	242.328178	207.551256	179.309102	192.570977	197.823555	203.441355	208.1691	154.881252	148.827038	294.239845	314.728125	265.941358	177.063919	157.563598	142.294586	144.293742	304.929116	303.147625	306.084666	175.781026	180.387282	166.328876	135.09332	147.766532	159.779535	145.085824	160.328197	172.919297	176.24434	171.630638	186.830789	214.806711	277.14229	189.163022	211.900557	168.871015	170.860574	206.927023	184.970786	257.12011	211.146372	157.034772	205.005708	178.60035	237.4884	186.238261	236.710293	192.762986	236.114954	184.907361	211.294349	177.031549	232.226222	235.694905	228.420699	183.018772	195.24771	180.571658	162.905138	162.012771	189.859714	127.033848	140.201126	100.300427	124.278491	136.690133	87.092217	101.43173	102.62312	131.137068	127.168066	137.55739	129.616814	196.949539	192.336227	171.137559	154.293613	206.48938	166.676291	313.863816	197.905274	251.337918	174.997216	216.600042	312.514947	211.781518	209.665935	250.649972	243.518333	230.553753	236.786306	280.83906	258.873965	259.980998	285.254208	258.254573	217.882975	259.185202	222.2174	268.144089	223.789677	279.5751	250.075246	250.728735	237.981857	223.900691	269.113788	267.330291	231.972051	305.121955	235.470834	242.173551	207.085292	244.23632	233.356009	225.762732	272.961146	247.078701	277.405227	227.621093	268.262034	291.420551	231.784033	689.083664	303.644549	264.644914	468.331175	534.960072	294.354863	330.435406	267.994086	361.940714	464.943087	398.067138	299.925697	355.538037	315.962626	346.944179	299.880908	319.088631	319.356852	332.625572	286.862935	206.810759	283.771408	372.149691	382.495576	175.736906	289.099369	283.349037	214.934322	206.386763	302.470392	375.890322	365.034442	222.058978	347.476742	201.520531	334.849203	302.756546	301.446874	283.462135	335.187064	361.75879	296.431584	313.908773	273.041464	326.48304	280.79167	294.250289	294.216362	264.840971	250.870288	293.805408	299.600866	266.30362	246.212632	309.446407	238.109056	258.511139	264.226212	262.572841	296.643104	285.533184	333.052069	313.448094	320.164319	307.866188	256.540426	326.004999	314.006906	380.443713	303.927726	370.148937	300.822974	322.579856	309.707571	325.958533	315.862859
K11211	kdkA; 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]	12.085915	5.158137	5.002092	14.226938	1.35024	3.646269	4.824382	0.604362	1.353265	0.920981	0	2.851949	0.877826	0	2.417381	2.981849	1.426487	35.660139	0.476363	1.925292	0.934171	3.030591	2.842719	0.985004	2.231756	1.327348	1.638223	3.641931	1.33768	2.962509	3.096871	1.563925	4.651972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.346736	1.866348	1.629002	0.336369	0.381812	0.284316	0	0	1.304112	0.388025	0	0.351972	0.092727	0.334309	0.06168	0.315546	0.130486	0	1.305609	1.324112	12.789498	0.048162	0.884348	0.594504	30.392805	2.9709	3.802096	0	1.837404	8.127115	0	0	0	16.851963	0	0.803894	5.517046	0.595712	0.603759	0.74601	0	2.482025	10.669929	5.406931	1.470355	0.966889	0.87955	0	1.390653	3.695402	2.487555	12.131734	0.440097	0	0	0	1.032908	0	0	3.378585	0.254795	4.566274	0.32415	5.303449	0.176496	20.384042	1.35954	0	0	0	0	0.617643	0	0	0.945348	0	0	0	52.420801	8.214019	1.400884	0.885935	0.119209	31.733798	6.962348	3.796433	109.767981	92.316079	10.675935	52.056125	3.41074	4.877316	0.168279	11.036629	2.564978	0.730223	0.682808	5.218215	1.591813	2.398534	1.829711	2.191779	0	4.155498	13.69964	0.222437	6.412561	7.312045	8.866888	8.557565	19.637112	2.827231	14.940327	0	6.981523	15.046057	8.943605	2.125299	4.741532	2.250816	0.851158	2.047041	7.424995	0.451695	1.644056	1.931822	3.932818	1.808186	2.631455	2.363362	5.663967	1.910472	5.147859	1.429767	7.15308	2.55205	3.163528	0.533256	1.787012	1.27463	1.688931	3.547509	16.917584	4.690534
K00912	lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	212.915543	246.488609	265.930854	219.24569	245.614941	233.021781	220.738579	213.978642	196.932347	200.431682	214.445862	200.791488	225.962542	125.131997	140.270814	277.656141	286.45864	235.696395	177.577374	160.798068	137.866265	138.653488	293.970924	300.927795	281.393909	178.647898	190.445357	157.220918	126.142181	126.615625	145.832766	128.461662	142.949006	191.241096	161.364934	182.899711	183.037477	199.949608	257.470379	199.186218	210.808563	186.453272	164.028266	222.433652	162.113968	242.292019	209.398682	192.936588	194.857565	217.72304	218.529221	224.676515	220.748736	229.911903	203.274707	220.69075	192.971614	220.08586	220.559785	218.269782	210.37377	176.226022	192.810311	189.113148	149.62266	145.036959	170.147418	140.502052	121.307043	118.123279	128.728552	132.401055	84.400951	109.427496	103.6569	136.334769	129.53129	149.598002	154.209479	178.147761	178.238467	149.084999	148.742287	188.556199	161.082399	338.010533	214.84202	275.782037	248.57784	239.859333	332.217871	229.320408	224.927898	219.876561	240.600924	221.794604	192.152992	378.83008	235.355656	247.285217	253.398438	252.318632	217.224924	230.785572	215.582198	232.019074	232.118911	270.045912	207.430995	209.807221	219.962761	269.569338	257.524269	271.342	244.298526	292.201843	224.197527	270.24818	246.734604	252.150576	228.230308	226.866511	256.243788	243.445256	270.009708	207.252488	242.089373	316.258402	482.624453	576.208383	352.941626	461.471789	513.273758	465.427005	346.777526	321.395993	344.185842	372.391919	409.580241	390.532651	273.269152	332.442657	290.6162	362.423291	322.462916	313.106031	346.302682	343.595158	386.251858	236.752617	344.176037	310.556894	307.98977	170.790731	279.157325	255.500023	223.574519	197.694103	273.260331	174.380982	136.418105	223.004317	293.75993	226.892148	300.331207	305.51682	311.731059	304.053048	316.83598	344.348605	302.498259	300.495288	300.524962	329.41307	269.882342	279.294912	273.676208	265.099607	252.810837	249.115657	293.516613	243.70307	228.736919	257.068805	208.877609	254.262677	233.617092	244.044205	272.889508	258.963762	350.234445	280.067203	331.46088	279.291425	263.079591	286.036853	340.846359	289.095299	344.052781	345.13313	330.25472	306.817579	323.327409	284.895847	471.474048
K02527	kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	150.258162	175.080057	181.277174	126.771827	152.516784	196.916987	187.744484	177.004719	162.350673	169.168199	182.797396	149.112797	172.965507	103.113237	93.46759	196.185016	222.800883	253.824535	90.018658	116.400128	95.856003	116.715411	277.432529	210.494157	228.413741	89.972046	112.7037	115.050664	102.491511	109.321552	118.348596	107.836047	113.427774	191.548306	174.553406	190.695351	183.163116	172.336243	198.143578	199.363909	194.468403	186.125447	174.3831	189.476246	183.522877	174.432255	203.501049	174.872624	180.893139	178.885311	178.595033	211.527044	195.62605	214.178783	194.46164	185.212077	184.729573	199.574525	192.389294	204.839458	216.431645	130.702931	139.391991	134.401188	126.118617	108.182096	148.792016	84.76323	90.285395	74.656199	73.583426	58.978835	30.369576	69.569089	56.157218	93.175664	66.072264	108.588849	75.535312	179.408678	145.620304	136.560807	119.527074	176.332702	133.157903	194.616659	128.68988	150.74285	289.476913	136.270542	230.185079	189.820805	196.170166	212.240875	221.469121	187.655616	161.343427	272.716437	209.552974	248.469271	238.42926	220.725755	190.425201	214.786262	158.089409	181.048999	169.328928	227.483196	199.525961	210.149085	237.14254	188.93008	255.681559	193.359822	213.316455	256.550187	201.663715	248.636915	201.311306	201.534576	190.402798	155.659197	217.976721	204.647177	222.670121	180.296305	214.287036	182.797163	435.577573	536.19702	233.942332	399.068191	441.401643	393.774749	361.933214	212.318763	283.424767	206.227599	295.530022	245.910981	299.129769	279.216739	195.878904	166.573157	234.835958	179.077439	214.360736	314.1568	220.847489	151.374331	211.753272	294.149734	241.649785	130.283695	214.452766	223.249416	123.562757	141.495665	216.266276	405.815421	386.488835	139.25858	250.868828	160.120381	242.345752	208.08821	188.807084	176.655132	260.898906	264.096283	210.542308	234.278509	192.649812	250.893518	170.947306	236.75486	223.329825	183.946665	168.548672	224.789765	238.876836	193.238192	168.464695	274.246348	167.279943	163.465697	174.044634	207.378138	216.386299	203.471688	244.00351	240.486175	233.088423	230.518775	186.390152	295.939911	244.477778	338.882153	301.801268	356.066276	215.276137	261.955886	206.439567	264.043011	452.338427
K02560	lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]	0	0	0	0	0	0.193741	0.025283	0.151712	1.621337	0.941133	0.093047	0.495638	0.11018	0	0	0	0	0	0	0	0	0	0	0	0	0	1.159612	0.813354	0.125924	0	0	0.371327	0.616323	0	0	0	0	0	0	0	0	0	0.085662	0	0.181911	0	0	0	0.093102	0	0.116919	0	0	0.07506	0	0	0	0	0	0.106026	0	2.301473	0	1.493472	0	0	0	0	0	0	0.030928	0	0	0.03582	0	0	0	0	0	0.058012	0.66478	0	0	0	0	0	0	0.551538	72.836508	0	0	1.117589	0	0	0	0	0	0	0	0	0	0.074591	0	0	0	0	0	0.88714	0	2.00729	0	0	0.276101	0	0	1.641209	0.280366	0	0	0	0	0	0	0.049418	0.16279	0	0	0	0	0	0	0	0.65005	0	0	0	0	0	0	0	0	0	0	0	0	0.046179	0	0	0	1.462192	0	0.113091	0	0	0.047049	0	0.11627	0	0.07331	0	0	0.09083	0	0.050133	0.184882	0	0	0	0	0.057836	0	0.230075	0.221488	0	0.036973	0	0	0	0.16495	0	0	0	0	0	0.050653	0.125993	0	0	0	0	0	0	0.055775	0.021852	0	0	0	0.102365	0.083984	0.539301	0.05646	0	0.058279	0.339348	0
