category	gtdbtk.tax	phylum	class	order	family	genus	species	Group	LDA	P.VALUE	MAG.ID	category	WW	WOW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW
MAG1765	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp000434235	WOW	4.313537216	0.005522579	MAG1765	MAG1765	183.1220175	19186.93604	378.52	47.31	158.72	68.3	70.38	98.11	67.88	790.69	409.35	149.58	39.32	111.55	88.36	67.52	255.91	270.12	376.02	381.86	79.54	369.58	73.88	42.23	104.32	1003.48	1067.09	1653.18	190.83	217.21	295.06	145.8	55.53	35.67	107.98	40.58	25.05	55.23	246	53.62	10.92	206.2	47.26	19.18	92.74	46.93	577.22	675.84	80.32	89.87	1768.34	187.78	165.52	51.92	118.56	294.25	62.03	508.07	151.92	90.24	102.22	848.93	69.2	215.34	30.34	42.97	59.03	29.05	130.81	135.16	20.81	109.96	50.92	81.56	154.92	137.86	40.95	285.69	53.26	56.26	31.64	85.07	37.44	73.09	48.38	75.69	164.6	39.2	55.53	380.86	24.81	297.34	265.29	122.8	21.97	15.91	41.07	37.57	113.68	251.01	90.47	45.81	22.78	187.01	114	111.51	94.21	53.04	14.93	23.33	24.77	54.65	42.17	138.17	28.32	56.08	33.62	23.69	26.23	16.99	36.56	35.11	58.81	333.39	620.88	563.04	89.92	52.11	77.53	35.63	20.08	50.51	50.35	191.08	26.52	33.81	17.47	26.04	34.58	34.46	73.42	20.96	35.58	272.76	181.35	81.18	68.9	195.2	139.8	40515.49	42609.63	42534.43	36392.68	40778.16	41254.21	41007.27	36162.01	54596.47	49569.02	51208.01	41567.7	52752.14	52517.13	73463.91	72744.26	84423.1	80149.45	73566.85	73273.82	84710.85	81072.31	74499.22	73789.18	90449.34	92983.72	74914.62	80967.97	1477.31	238.36	1277.52	229.4	148.19	2893.97	48.52	32.09	34.16	26.75	20.34	17.72	53.11	26.12	30.24	29.88	29.81	27.33	175.04	36.23	32.96	241.5	282.74	195.55	19.88	237.19	38.56	22.2	19.52	38.48
MAG1885	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp000434235	WOW	4.30500926	0.001832679	MAG1885	MAG1885	186.3995614	18804.24286	409.83	57.02	176.57	60.38	66.59	119.4	81.25	784.87	402.65	177.75	44.23	111.17	97.74	71.24	235.68	263.78	380.17	372.98	82.38	363.72	68.82	44.25	112.37	1002.66	1058.02	1609.11	204.7	224.81	372.49	149.45	58.44	39.59	106.56	45.89	26.51	53.95	254.85	34.12	18.72	233.51	31.51	24.25	92.74	64.73	601.98	703.54	83.13	86.46	1716.45	194.14	172.15	57.58	123.78	306.08	71.41	509.26	163.4	89.53	105.76	872.51	75.6	189.32	33.1	47.34	61.79	32.84	129.35	138.63	21.64	100.22	54.71	83.59	157.58	139.3	47.41	282.47	61.2	62.86	33.43	92.7	36.77	75.48	55.5	76.51	170.32	41.71	59.82	382.12	29.33	291.93	265.39	126.67	26.22	18.2	46.32	37.18	111.17	243.31	91.21	54.54	26.53	193.92	118.07	116.83	99.87	57.43	16.83	27.26	29.65	61.96	48.22	148.49	31.84	39.26	38.72	31.02	35.95	21.16	45.26	42.39	69.76	366.23	680.07	615.73	95.01	50.81	81.68	38.9	23.83	53.56	57.15	193.12	31.01	36.04	18.42	32.83	43.7	38.44	81.9	23.35	38.28	299.03	201.56	92.86	76.37	214.06	156.94	39486.84	41484.41	41442.47	35430.79	39717.17	40248.32	39905.07	35131.68	53630.99	48742.15	49902.14	40792.19	51743.89	51312.9	71380.01	71224.2	82133.14	78285.21	71378.78	71816.68	82232.22	79192.64	73494.97	73395.67	88906.24	91220.81	74568.11	80224.96	1619.88	253.11	1369.99	266.49	164.87	3229.11	56.33	38.02	40.69	30.16	24.95	20.16	56.62	30.4	34.07	36.28	33.96	31.12	203.58	35.21	34.18	272.61	323.13	230.53	28.68	237.67	55.43	14.8	23.78	40.5
MAG2083	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp000434235	WOW	4.268016171	0.001102373	MAG2083	MAG2083	208.7437719	17317.77648	321.24	64.46	160.47	98.49	121.37	101.75	162.49	777.84	450.41	125.17	81.94	139.12	120.63	119.54	293.53	274.9	369.6	418.44	106.92	441.06	90.75	71.36	134.48	997.56	1122.9	1661.51	174.23	227.13	328.43	144.31	61.05	60.41	115.02	46.08	31.23	56.2	280.32	92.61	24.96	256.83	110.28	87.43	105.1	169.37	660.85	747.86	105.57	112.33	1684.3	195.89	190.84	71.31	142.24	286.27	81.22	516.19	161.07	98.75	112.37	816.84	79.88	217.13	48.1	77.06	70.01	46.85	138.79	151.87	26.91	80.11	55.24	104.08	151.74	165.34	80.7	291.24	100.95	142.65	89.98	122.83	118.55	94.97	99.82	101.32	164.45	48.37	62.88	365.79	35.07	277.25	252.18	129.42	22.85	26.29	54.11	56.77	125.66	249.67	100.53	128.56	70.27	263.61	181.65	167.05	160.62	120.26	61.66	117.25	82.97	150.66	130.39	205.29	104.26	42.06	83.35	74.61	92.58	111.01	113.43	66.95	90.89	325.88	573.05	504.54	110.91	81.14	102.14	58.21	40.25	84.92	75.84	179	46.35	56.46	31.68	46.07	93.91	82.53	113.67	35.8	43.13	260.47	173.56	81.79	85.71	185.44	138.98	36830.1	38921.42	39482.8	33222.66	37030.85	37507.7	37751.27	32994.22	49008.37	44657.21	47007.85	37354.16	47248.49	47945.44	66845.48	65242.2	76988.35	72472.3	66982.18	65822.1	77303.7	73609.03	65998.84	64406.01	80944.44	83520.42	65408.43	71221.5	1355.27	232.21	1150.74	217.26	145.07	2589.02	54.21	47.32	44.63	50.25	38.75	50.19	82.44	41.04	58.28	60.1	42.22	49.03	187.58	45.77	53.57	241.01	268.31	202.36	102.17	253.83	52.11	32.06	43.52	155.57
MAG2278	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp000434235	WOW	3.72891451	0.000531365	MAG2278	MAG2278	315.6922807	4709.171978	672.18	112.28	315.5	146.41	183.33	210.24	123.41	1400.3	719.54	285.46	96.87	236.44	167.35	136.17	415.89	323.98	595.54	652.78	165.79	703.07	165.64	99.47	192.83	1690.76	1776.06	2735.79	392.61	398.71	472.62	267.39	107.19	78.46	262.32	72.13	52.8	110	390.26	82.86	13.26	292.5	63.02	14.67	68.01	44.5	918.37	1340.61	121.36	135.48	2855.86	320.21	289.73	95.59	208.58	515.05	139.2	845.8	251.58	139.38	165.63	1346.81	122.24	351.72	56.13	79.35	99.68	59.32	215.81	240.69	45.77	152	93.55	146	250.78	250.3	71.09	477.85	91.78	97	49.43	121.92	59.28	107.88	78.08	140.82	278.15	85.92	106.73	661.05	82.99	491.71	464.26	243	41.99	57.35	89.54	113.42	202.56	427.71	160.68	105.18	69.88	342.18	207.88	188.77	170.7	94.53	29.47	33.63	42.32	96.49	75.91	258.57	58.97	53.28	52.44	50.44	54.48	29.74	55.85	50.58	90.77	2124.81	4064.3	3599.57	123.51	77.98	112.62	76.86	37.37	101.37	88.59	344.27	54.85	71.05	34.68	55.48	52.95	53.81	144.05	39.62	75.42	2059.27	1463.25	386.28	498.99	1575.91	1041.23	7402.24	7800.69	7716.88	6689.88	7483.34	7618.58	7316.44	6716.83	12926.51	11745.03	11916.75	10001.06	12512.95	12515.39	13262.09	13082.36	15388	14547.45	13310.45	13328.19	15334.53	14634.56	17492.41	17444.94	21672.03	22356.34	17705.32	18804	10212.22	1406.76	8364.42	1500.64	852.88	19786.74	82.39	52.87	51.3	47.02	39.81	27.76	97.1	40.86	57.68	56.12	45.38	47.65	1391.23	92.26	205.36	1961.88	2213.09	1636.01	47.54	503.16	73.5	27.13	38.75	107.51
MAG1685	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cellulosilyticus	WOW	3.148407338	4.26E-07	MAG1685	MAG1685	33.58780702	1467.475495	21.51	29.85	41.91	44.53	51.84	38.41	100.79	49.9	49.11	27.89	22.92	64.54	75.01	64.34	53.8	21.37	52.03	44.93	35.57	41.48	21.59	71.99	38.43	25.3	59.36	25.1	41.41	26.45	29.37	23.94	10.66	65.69	18.11	17.72	14.33	17.41	29.2	38.99	0	47.36	63.02	5.92	74.19	19.42	48.61	22.16	23.15	18.38	67.69	78.59	77.91	47.16	50.37	27.54	72.88	89.25	38.77	67.8	26.9	41.81	28.03	18.84	40.55	42.27	29.61	37.36	35.17	34.72	15.26	12.18	24.92	29.62	19.59	30.55	35.96	33.1	30.3	24.54	19.32	27.8	35.97	24.59	32.84	12.26	15.51	12.69	20.28	18.57	17.12	16.22	14.58	18.22	10.96	14.44	27.11	31.91	24.17	25.28	32.02	32.7	25.37	28.17	19.51	29.16	20.07	39.94	15.77	22.99	20.03	26.55	19.82	21.02	9.41	8.41	15.54	30.57	26.5	14.26	34.6	36.51	14.49	193.36	80.46	99.49	366.78	68.3	275.74	44.83	33.34	64.32	112.1	36.75	40.05	42.24	34.72	26.77	30.87	64.47	60.72	32.62	40.28	38.62	12.79	25.39	25.32	19.22	29.98	6235.13	9041	2630.37	11485.62	6349.69	9171.43	2689.59	11494.72	7096.65	9752.23	2869.93	12051.17	7105.05	2924.79	2789.26	955.59	1579.58	3005.85	2795.03	941.26	1579.67	2984.26	3544.53	1177.61	1776.69	1712.44	1147.55	3853.49	8.01	13.42	9.65	36.75	11.04	25.97	20.3	89.9	13.74	27.4	21.5	13.02	15.91	22.52	30.19	34.39	37.24	10.63	8.49	8.45	8.33	24.84	13.22	20.94	6.62	12.86	31.03	7.4	36.94	107.39
MAG1930	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cellulosilyticus	WOW	3.163109348	4.65E-07	MAG1930	MAG1930	7.119736842	1489.38989	4.15	6.09	5.04	4.15	5.9	4.15	5.14	4.19	4.29	3.1	4.07	5.84	8.26	4.41	5	3.76	6.43	6.49	17.97	5.16	4.05	3.4	4.47	4.28	8.28	4.19	4.56	5.62	5.34	4.19	1.44	3.7	3.01	3.78	2.59	3.41	6.17	29.25	0.78	11.5	31.51	4.23	74.19	9.98	14.19	16.62	11.93	8.85	12.97	3.95	11.63	10	13.63	4.83	8.35	7.13	9.15	8.98	3.8	11.91	7.71	4.49	7.12	4.56	6.16	9.12	6.53	3.91	3.61	3.05	6.51	7.93	5.11	5.56	6.87	3.52	5.99	7.45	5.47	5.98	7.58	5.1	7.35	2.81	4.26	3.99	3.56	4.29	4.58	6.01	4.28	4.1	4.28	3.68	3.96	3.3	4.02	4.46	4.31	8.09	3.02	8.59	6.24	10.25	5.18	10.23	3.39	5.76	5.26	9.99	8.07	12.13	4.65	2.8	3.53	2.49	2.62	4.03	3.35	3	3.31	98.82	44.89	54.63	303	34.71	221.38	5.6	6.95	7.58	10.66	5.98	8.92	6.6	7.04	6.63	10.59	9.73	9.43	7.43	8.56	4.4	1.21	2.33	2.12	1.74	1.98	6421.8	9339.66	2668.32	12028.44	6509.24	9479.47	2736.06	11993.94	7244.7	9965.46	2868.99	12479.92	7230.94	2932.23	2906.72	953.57	1597.72	3141.41	2897.84	952.69	1583.05	3071.91	3619.39	1189.61	1771.11	1717.8	1157.65	4019.13	3.08	4.4	3.57	17.06	3.58	2.78	2.7	4.51	2.44	5.95	5.05	4.32	5.13	5.07	4.29	6.34	2.82	4.43	1.7	1.97	2.06	8.72	2.6	6.11	3.89	7.72	7.23	4.93	8.39	7.63
MAG1993	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cellulosilyticus	WOW	3.275783486	1.92E-12	MAG1993	MAG1993	10.53105263	1930.541868	9.37	21.49	9.7	12.83	14.33	8.82	13.37	10.01	6.81	6.1	6.73	13.21	13.67	12.4	7.62	6.65	9.74	12.99	22.28	7.5	8.77	6.05	8.78	9.18	14	9.16	7.48	7.6	6.68	8.39	4.77	5.4	4.72	5.34	4.68	5.13	7.76	53.62	0.78	13.69	31.51	4.51	80.37	13.49	15.7	19.39	21.04	12.25	18.05	6.44	16.81	13.16	19.55	7.97	11.99	8.69	14.64	12.05	6.34	17.02	9.48	5.38	9.96	6.9	8.97	11.09	10.3	5.77	4.44	4.87	9.01	10.21	6.8	8.75	9.36	5.64	8.88	10.26	7.96	8.55	11.99	7.5	11.18	5.65	6.27	5.69	6.84	6.39	7.28	7.11	6.24	5.93	5.06	7.05	7.53	5.24	6.37	6.61	6.21	11.34	4.85	11.42	9.95	14.2	8.26	12.81	5.36	6.28	5.9	12.7	11.42	14.66	5.3	2.8	4.74	8.14	10.17	5.45	8.08	8.98	7.2	167.49	76.39	92.61	408.88	61.98	303.06	8.75	10.04	11.36	16.69	9.45	12.57	10.18	10.44	9.91	15.94	14.21	14.64	10.73	13.33	8.5	5.74	5.36	4.08	6.62	4.09	8352.34	12267.37	3594.45	15562.77	8465.33	12512.59	3646.16	15552.32	9247.32	12908.96	3780.45	16021.56	9252.27	3858.99	3683.9	1237.63	2060.33	4025.19	3700.47	1214.88	2049.99	3978.27	4558.71	1499.88	2281.83	2205.82	1466.38	5047.33	8.15	11.71	8.94	25.12	9.3	6.49	7.39	9.08	4.21	10.3	8.52	7.52	10.41	9.02	11.14	14.79	5.8	8.04	4.66	7.83	4.88	13.22	6.8	11.49	5.52	11.66	10.24	4.93	9.18	13.68
MAG1695	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides eggerthii	WOW	3.323194357	1.29E-08	MAG1695	MAG1695	68.30912281	2409.184176	54.3	158.76	57.05	122.64	270.56	35.82	299.27	64.1	65.03	107.89	157.09	142.67	87.89	154.44	59.51	175.1	110.48	136.92	102.62	146	101.21	125.95	66.98	103.22	47.92	62.59	115.48	155.38	145.53	100.63	10.87	36.65	20.84	18.91	22.77	23.23	79.99	116.98	17.16	176.51	110.28	25.95	123.65	57.18	107.78	102.48	170.81	40.17	96.46	45.67	55.15	57.8	97.16	63.29	72.6	84.99	58.74	82.45	26.94	68.31	56.24	27.81	40.23	48.62	46.12	52.47	46.94	55.12	33.57	12.49	50.25	69.51	37.97	52.47	51.48	54.94	36.2	58.37	38.45	34.94	52.38	35.16	60.17	27.36	14.89	28.25	16.62	29.64	22.9	24.19	21.9	22.29	13.74	19.84	23.93	29.33	31.99	29.31	29.64	58.3	36.4	57.46	53.5	52.67	46.61	72.13	36.39	34.56	35.81	60.21	57.22	74.67	49.16	19.63	36.18	39.66	40.3	36.96	36.87	30.83	49.17	132.44	76.6	84.44	224.69	110.83	191.83	68.33	52.41	66.69	78.1	44.08	46.6	50.94	35.28	43.85	93.3	99.84	84.06	54.82	68.37	48.68	31.95	56.05	50.25	35.57	43.73	18036.54	20210.93	1661.81	13974.11	18259.34	20646.64	1693.48	13913.47	21439.93	22216.03	1742.81	15015.2	21258.7	1734.71	1753.88	1046.79	1884.54	1683.03	1761.36	1033.3	1879.56	1688.59	2114.94	1225.72	2086.12	2039.73	1204.4	2070.94	71.98	96.7	81.75	72.9	87.58	85.34	32.7	45.44	22.98	41.85	50.69	18.84	42.1	30.24	44.13	58	33.1	30.15	73.23	65.6	81.91	98.04	70.25	81.5	17.02	37.07	130.43	12.33	47.5	54.11
MAG1771	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides eggerthii	WOW	3.301845831	2.43E-11	MAG1771	MAG1771	31.97526316	2256.942857	17.89	111.56	30.66	102.64	269.3	26.47	140.89	27.86	10.58	87.05	74.3	90.71	35.92	100.66	20.95	144.18	56.38	73.83	67.48	57.18	48.24	77.41	30.6	62.63	26.03	21.17	64.4	121	84.11	66.95	7.01	19.79	9.04	7.17	6.72	9.78	20.2	43.87	3.9	25.7	110.28	4.23	86.56	22.92	28.38	27.7	130.48	23.15	28.77	31.78	31.25	24.18	24.85	25.37	24.98	27.3	17.8	23.62	10.15	19.93	12.16	8.97	15.64	9.97	13.06	22.29	16.37	10.82	6.38	4.87	13.15	12.18	15.04	13.98	18.07	11.79	15.64	16.35	12.09	15.6	18.21	11.06	15.23	7.05	4.86	6.43	8.74	23.76	10.33	11.16	13.62	10.18	5.53	11	10.91	12.94	11.05	8.43	10.67	13.53	7.79	12.41	9.63	14.7	7.81	14.18	4.58	6.03	5.45	11.8	10.35	15.96	6.69	2.8	19.11	24.35	25.01	14.68	23.56	20.46	23.45	46.28	17.07	24.34	43.38	31.08	39.61	24.98	26.63	29.43	37.17	27.09	30.73	28.45	22.13	29.93	38.15	35.51	34.73	31.91	25.71	11.45	6.12	14.82	6.23	7.63	10.78	16687.87	18861.69	1556	12861.67	16860.16	19198.26	1584.45	12906.91	20829.44	21638.95	1735.6	14506.17	20496.54	1713.22	1622.03	983.21	1774.61	1557.22	1654.91	978.66	1780.02	1562.33	2017.67	1201	2059.41	1992.96	1183.63	1977.15	12.41	25.48	15.93	26.82	34.56	16.6	29.84	42.52	24.84	24.71	25.6	30.62	27.73	37.39	26.85	45.02	31.5	31.82	15.34	10.62	14.55	22.07	13.7	17.96	17.63	17.37	57.23	14.8	43.23	13.36
MAG1836	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides eggerthii	WOW	3.394301593	1.09E-15	MAG1836	MAG1836	413.3082456	3041.091099	441.98	507.39	438.71	609.04	764.49	418.93	660.25	497.51	505.7	480.87	558.54	634.99	610.76	783.07	496.35	696.01	553.25	625.61	519.65	606.98	474.66	548.16	449.27	549.99	391.26	458.74	491.49	550.79	578.1	532.49	262.81	330.6	267.18	354.1	310.19	348.03	506.97	419.18	56.15	533.52	330.84	116.2	228.76	518.64	475.79	501.34	303.04	141.61	326.03	350.54	357.69	318.88	408.74	433.64	324.5	505.49	255.58	304.27	188.39	270.33	423.6	348.13	458.66	389.65	509.22	510.77	503.95	417.98	302.66	225.41	553.92	451.26	485.86	440.18	377.78	303.12	335.62	414.24	389.32	357.2	358.04	275.31	419.27	209.32	335.13	367.73	367.74	329.27	219.51	424.45	369.54	280.95	273.43	218.09	325.37	414.01	418.76	423.92	433.8	467.76	329.21	444.28	413.18	420.09	360.93	441.43	277.79	390.79	344.85	493.37	451.16	470.85	359.57	305.65	445.81	406.13	420.5	506.83	476.15	413.63	412.77	472.87	483.84	479.87	642.36	616.4	651.93	435.15	410.52	473.29	466.17	341.35	393.61	425.1	439.98	374.12	510.61	555.8	458.94	438.09	409.19	377.6	332.18	317.12	343.36	337.97	357.23	18845.99	21199.27	2414.28	14664.55	19081.01	21620.94	2493.36	14683.78	22857.83	23416.53	2547.19	16049.68	22566.37	2625.93	2953.69	2208.11	3230.64	3003.34	2969.86	2204.75	3215.02	2985.52	3525.72	2603.86	3618.62	3502.39	2572.39	3618.82	392.97	485.66	394.85	587.46	569.75	501.46	486.2	522.66	333.06	562.68	614.28	710.13	617.37	545.02	599.74	640.87	377.3	485.09	475.72	391.86	516.04	513.44	432.74	480.26	338.29	231.72	477.15	823.71	378.6	347.3
