sample1	sample2	genes Abundance	Group	sample1	sample2	genus Abundance	Group	sample1	sample2	Kos Abundance	Group
WHYCeC2R	WHYCeC1R	0.634319633	WW	WHYCeC2R	WHYCeC1R	0.266342911	WW	WHYCeC2R	WHYCeC1R	0.067240127	WW
WHYCeC3R	WHYCeC1R	0.538210482	WW	WHYCeC3R	WHYCeC1R	0.163381404	WW	WHYCeC3R	WHYCeC1R	0.048823765	WW
WHYCeC4R	WHYCeC1R	0.667227355	WW	WHYCeC4R	WHYCeC1R	0.315141041	WW	WHYCeC4R	WHYCeC1R	0.115720979	WW
WHYCeC5R	WHYCeC1R	0.6613878	WW	WHYCeC5R	WHYCeC1R	0.361911884	WW	WHYCeC5R	WHYCeC1R	0.103476874	WW
WHYCeC6R	WHYCeC1R	0.648832593	WW	WHYCeC6R	WHYCeC1R	0.32153452	WW	WHYCeC6R	WHYCeC1R	0.088648046	WW
WHYCeC7R	WHYCeC1R	0.70953246	WW	WHYCeC7R	WHYCeC1R	0.362881195	WW	WHYCeC7R	WHYCeC1R	0.080627784	WW
WHYCeC6L	WHYCeC1R	0.681231293	WW	WHYCeC6L	WHYCeC1R	0.355327551	WW	WHYCeC6L	WHYCeC1R	0.111974012	WW
WHYCeC8	WHYCeC1R	0.929065704	WW	WHYCeC8	WHYCeC1R	0.530793994	WW	WHYCeC8	WHYCeC1R	0.206756828	WW
WFHCeC1L	WHYCeC1R	0.680000737	WW	WFHCeC1L	WHYCeC1R	0.27573798	WW	WFHCeC1L	WHYCeC1R	0.063697039	WW
WFHCeC2L	WHYCeC1R	0.64975753	WW	WFHCeC2L	WHYCeC1R	0.223206658	WW	WFHCeC2L	WHYCeC1R	0.057712619	WW
WFHCeC3L	WHYCeC1R	0.583110137	WW	WFHCeC3L	WHYCeC1R	0.198637987	WW	WFHCeC3L	WHYCeC1R	0.051408858	WW
WFHCeC4L	WHYCeC1R	0.563338424	WW	WFHCeC4L	WHYCeC1R	0.22112337	WW	WFHCeC4L	WHYCeC1R	0.05344702	WW
WFHCeC6L	WHYCeC1R	0.551540351	WW	WFHCeC6L	WHYCeC1R	0.203197389	WW	WFHCeC6L	WHYCeC1R	0.048551295	WW
WFHCeC11L	WHYCeC1R	0.627140184	WW	WFHCeC11L	WHYCeC1R	0.192677874	WW	WFHCeC11L	WHYCeC1R	0.056972408	WW
WFHCeC12L	WHYCeC1R	0.620690568	WW	WFHCeC12L	WHYCeC1R	0.218694549	WW	WFHCeC12L	WHYCeC1R	0.05634652	WW
WFHCeC13L	WHYCeC1R	0.620027761	WW	WFHCeC13L	WHYCeC1R	0.242194407	WW	WFHCeC13L	WHYCeC1R	0.058104998	WW
WFHCeC14L	WHYCeC1R	0.7440391	WW	WFHCeC14L	WHYCeC1R	0.269921822	WW	WFHCeC14L	WHYCeC1R	0.071482832	WW
WFHCeC16L	WHYCeC1R	0.777281326	WW	WFHCeC16L	WHYCeC1R	0.307320441	WW	WFHCeC16L	WHYCeC1R	0.082435414	WW
WFHCeC21L	WHYCeC1R	0.622442037	WW	WFHCeC21L	WHYCeC1R	0.241578882	WW	WFHCeC21L	WHYCeC1R	0.061342056	WW
WFHCeC22L	WHYCeC1R	0.624623115	WW	WFHCeC22L	WHYCeC1R	0.212476909	WW	WFHCeC22L	WHYCeC1R	0.05719961	WW
WFHCeC23L	WHYCeC1R	0.634881739	WW	WFHCeC23L	WHYCeC1R	0.29556991	WW	WFHCeC23L	WHYCeC1R	0.075109296	WW
WFHCeC24L	WHYCeC1R	0.799199569	WW	WFHCeC24L	WHYCeC1R	0.285824137	WW	WFHCeC24L	WHYCeC1R	0.079674286	WW
WFHCeC25L	WHYCeC1R	0.635078222	WW	WFHCeC25L	WHYCeC1R	0.243645315	WW	WFHCeC25L	WHYCeC1R	0.057683444	WW
GZCeC-10	WHYCeC1R	0.75566257	WW	GZCeC-10	WHYCeC1R	0.257012114	WW	GZCeC-10	WHYCeC1R	0.091641941	WW
GZCeC-24	WHYCeC1R	0.97474264	WW	GZCeC-24	WHYCeC1R	0.758502449	WW	GZCeC-24	WHYCeC1R	0.619519235	WW
GZCeC-25	WHYCeC1R	0.969592595	WW	GZCeC-25	WHYCeC1R	0.823964003	WW	GZCeC-25	WHYCeC1R	0.354361767	WW
GZCeC-26	WHYCeC1R	0.769974548	WW	GZCeC-26	WHYCeC1R	0.336597789	WW	GZCeC-26	WHYCeC1R	0.125861628	WW
GZCeC-27	WHYCeC1R	0.975657182	WW	GZCeC-27	WHYCeC1R	0.778572874	WW	GZCeC-27	WHYCeC1R	0.618064538	WW
GZCeC-28	WHYCeC1R	0.884687476	WW	GZCeC-28	WHYCeC1R	0.566249839	WW	GZCeC-28	WHYCeC1R	0.233218811	WW
GZCeC-29	WHYCeC1R	0.983354941	WW	GZCeC-29	WHYCeC1R	0.905727179	WW	GZCeC-29	WHYCeC1R	0.783838159	WW
GZCeC-30	WHYCeC1R	0.899289396	WW	GZCeC-30	WHYCeC1R	0.493162558	WW	GZCeC-30	WHYCeC1R	0.15192302	WW
GZCeC-6	WHYCeC1R	0.81623465	WW	GZCeC-6	WHYCeC1R	0.409774145	WW	GZCeC-6	WHYCeC1R	0.160166888	WW
GZCeC-7	WHYCeC1R	0.901926094	WW	GZCeC-7	WHYCeC1R	0.445062227	WW	GZCeC-7	WHYCeC1R	0.349010895	WW
GZCeC-8	WHYCeC1R	0.918983673	WW	GZCeC-8	WHYCeC1R	0.522627729	WW	GZCeC-8	WHYCeC1R	0.184867734	WW
GZCeC-9	WHYCeC1R	0.910459411	WW	GZCeC-9	WHYCeC1R	0.682347405	WW	GZCeC-9	WHYCeC1R	0.28391084	WW
SSCeC-1	WHYCeC1R	0.64436317	WW	SSCeC-1	WHYCeC1R	0.221578684	WW	SSCeC-1	WHYCeC1R	0.075638745	WW
SSCeC-10	WHYCeC1R	0.726590931	WW	SSCeC-10	WHYCeC1R	0.294806458	WW	SSCeC-10	WHYCeC1R	0.100074103	WW
SSCeC-2	WHYCeC1R	0.675001758	WW	SSCeC-2	WHYCeC1R	0.240207399	WW	SSCeC-2	WHYCeC1R	0.080272653	WW
SSCeC-3	WHYCeC1R	0.658536404	WW	SSCeC-3	WHYCeC1R	0.312653267	WW	SSCeC-3	WHYCeC1R	0.095263225	WW
SSCeC-4	WHYCeC1R	0.621867699	WW	SSCeC-4	WHYCeC1R	0.289266004	WW	SSCeC-4	WHYCeC1R	0.084223363	WW
SSCeC-5	WHYCeC1R	0.683764914	WW	SSCeC-5	WHYCeC1R	0.256718337	WW	SSCeC-5	WHYCeC1R	0.098533672	WW
SSCeC-6	WHYCeC1R	0.765256522	WW	SSCeC-6	WHYCeC1R	0.347068718	WW	SSCeC-6	WHYCeC1R	0.149085435	WW
SSCeC-7	WHYCeC1R	0.760727244	WW	SSCeC-7	WHYCeC1R	0.352135099	WW	SSCeC-7	WHYCeC1R	0.121193658	WW
SSCeC-8	WHYCeC1R	0.664812304	WW	SSCeC-8	WHYCeC1R	0.293750956	WW	SSCeC-8	WHYCeC1R	0.105922012	WW
SSCeC-9	WHYCeC1R	0.829646067	WW	SSCeC-9	WHYCeC1R	0.43316286	WW	SSCeC-9	WHYCeC1R	0.146225932	WW
SDQCeC1R	WHYCeC1R	0.579734331	WW	SDQCeC1R	WHYCeC1R	0.162887334	WW	SDQCeC1R	WHYCeC1R	0.058135571	WW
SDQCeC4R	WHYCeC1R	0.620311781	WW	SDQCeC4R	WHYCeC1R	0.220197428	WW	SDQCeC4R	WHYCeC1R	0.064992136	WW
SDQCeC5L	WHYCeC1R	0.858198708	WW	SDQCeC5L	WHYCeC1R	0.554572818	WW	SDQCeC5L	WHYCeC1R	0.211496953	WW
SDQCeC7R	WHYCeC1R	0.919246056	WW	SDQCeC7R	WHYCeC1R	0.641946444	WW	SDQCeC7R	WHYCeC1R	0.252191302	WW
SDQCeC8R	WHYCeC1R	0.687356811	WW	SDQCeC8R	WHYCeC1R	0.345601504	WW	SDQCeC8R	WHYCeC1R	0.085067435	WW
SDQCeC9R	WHYCeC1R	0.558755983	WW	SDQCeC9R	WHYCeC1R	0.224606002	WW	SDQCeC9R	WHYCeC1R	0.053439126	WW
SDQCeC10L	WHYCeC1R	0.705065218	WW	SDQCeC10L	WHYCeC1R	0.376795157	WW	SDQCeC10L	WHYCeC1R	0.099908465	WW
SDQCeC11L	WHYCeC1R	0.830488931	WW	SDQCeC11L	WHYCeC1R	0.330457026	WW	SDQCeC11L	WHYCeC1R	0.117519298	WW
FJCeC1	WHYCeC1R	0.789445553	WW	FJCeC1	WHYCeC1R	0.28765418	WW	FJCeC1	WHYCeC1R	0.08551297	WW
FJCeC2	WHYCeC1R	0.685192844	WW	FJCeC2	WHYCeC1R	0.245108207	WW	FJCeC2	WHYCeC1R	0.056664404	WW
FJCeC3	WHYCeC1R	0.719118752	WW	FJCeC3	WHYCeC1R	0.269525888	WW	FJCeC3	WHYCeC1R	0.066504647	WW
FJCeC4	WHYCeC1R	0.599879736	WW	FJCeC4	WHYCeC1R	0.21008307	WW	FJCeC4	WHYCeC1R	0.058083434	WW
FJCeC5	WHYCeC1R	0.710130069	WW	FJCeC5	WHYCeC1R	0.27963647	WW	FJCeC5	WHYCeC1R	0.086410393	WW
FJCeC6	WHYCeC1R	0.615303589	WW	FJCeC6	WHYCeC1R	0.199682417	WW	FJCeC6	WHYCeC1R	0.053167908	WW
HEBCeC-10	WHYCeC1R	0.886355161	WW	HEBCeC-10	WHYCeC1R	0.481010737	WW	HEBCeC-10	WHYCeC1R	0.322548358	WW
HEBCeC-15	WHYCeC1R	0.777567565	WW	HEBCeC-15	WHYCeC1R	0.375349772	WW	HEBCeC-15	WHYCeC1R	0.145822478	WW
HEBCeC-17	WHYCeC1R	0.758236066	WW	HEBCeC-17	WHYCeC1R	0.349445351	WW	HEBCeC-17	WHYCeC1R	0.100656313	WW
HEBCeC-18	WHYCeC1R	0.768632641	WW	HEBCeC-18	WHYCeC1R	0.278576483	WW	HEBCeC-18	WHYCeC1R	0.092576615	WW
HEBCeC-21	WHYCeC1R	0.775585943	WW	HEBCeC-21	WHYCeC1R	0.394334798	WW	HEBCeC-21	WHYCeC1R	0.136738428	WW
HEBCeC-22	WHYCeC1R	0.820641977	WW	HEBCeC-22	WHYCeC1R	0.323802792	WW	HEBCeC-22	WHYCeC1R	0.108699784	WW
HEBCeC-25	WHYCeC1R	0.741730384	WW	HEBCeC-25	WHYCeC1R	0.29098816	WW	HEBCeC-25	WHYCeC1R	0.0878954	WW
HEBCeC-30	WHYCeC1R	0.727841289	WW	HEBCeC-30	WHYCeC1R	0.333002722	WW	HEBCeC-30	WHYCeC1R	0.104722254	WW
HEBCeC-4	WHYCeC1R	0.863310283	WW	HEBCeC-4	WHYCeC1R	0.475326236	WW	HEBCeC-4	WHYCeC1R	0.255432773	WW
HEBCeC-5	WHYCeC1R	0.8727455	WW	HEBCeC-5	WHYCeC1R	0.455357377	WW	HEBCeC-5	WHYCeC1R	0.232953413	WW
HEBCeC-7	WHYCeC1R	0.841070115	WW	HEBCeC-7	WHYCeC1R	0.421662893	WW	HEBCeC-7	WHYCeC1R	0.171354682	WW
