Sample	Group	Genes Abundance	Sample	Group	genus Abundance	Sample	Group	Kos Abundance
WHYCeC1R	WW	20.36356716	WHYCeC1R	WW	5.533254258	WHYCeC1R	WW	9.862746277
WHYCeC2R	WW	19.78155886	WHYCeC2R	WW	4.708932579	WHYCeC2R	WW	9.817779318
WHYCeC3R	WW	20.11366374	WHYCeC3R	WW	5.053288567	WHYCeC3R	WW	9.848204745
WHYCeC4R	WW	18.41525791	WHYCeC4R	WW	4.266820113	WHYCeC4R	WW	9.831052442
WHYCeC5R	WW	18.8746228	WHYCeC5R	WW	3.910565241	WHYCeC5R	WW	9.80314788
WHYCeC6R	WW	19.11897579	WHYCeC6R	WW	3.980758066	WHYCeC6R	WW	9.743759443
WHYCeC7R	WW	18.94789553	WHYCeC7R	WW	4.47467932	WHYCeC7R	WW	9.85801816
WHYCeC6L	WW	19.29057054	WHYCeC6L	WW	4.041557581	WHYCeC6L	WW	9.676800251
WHYCeC8	WW	14.78857188	WHYCeC8	WW	3.40891611	WHYCeC8	WW	9.635095861
WNCeC1L	WOW	17.86247351	WNCeC1L	WOW	4.432231567	WNCeC1L	WOW	9.723263367
WNCeC2L	WOW	18.17965091	WNCeC2L	WOW	5.034308948	WNCeC2L	WOW	9.890179194
WNFCeC1L	WOW	17.58505621	WNFCeC1L	WOW	4.13941805	WNFCeC1L	WOW	9.730844468
WNFCeC2L	WOW	14.86171745	WNFCeC2L	WOW	4.048504702	WNFCeC2L	WOW	10.37477598
WNFCeC3L	WOW	17.23293945	WNFCeC3L	WOW	4.296049707	WNFCeC3L	WOW	9.826141678
WNFCeC4L	WOW	18.40405854	WNFCeC4L	WOW	4.158827511	WNFCeC4L	WOW	9.704326244
WFHCeC1L	WW	19.89655062	WFHCeC1L	WW	5.142130313	WFHCeC1L	WW	9.818037337
WFHCeC2L	WW	20.74604676	WFHCeC2L	WW	5.69189336	WFHCeC2L	WW	9.88215748
WFHCeC3L	WW	20.59279648	WFHCeC3L	WW	5.510406783	WFHCeC3L	WW	9.864328632
WFHCeC4L	WW	19.99880877	WFHCeC4L	WW	4.867071436	WFHCeC4L	WW	9.80728066
WFHCeC6L	WW	20.43890528	WFHCeC6L	WW	5.193449175	WFHCeC6L	WW	9.844457677
