ID	WOW1	WOW2	WOW3	WOW4	WOW5	WOW6	WOW7	WOW8	WOW9	WOW10	WOW11	WOW12	WOW13	WOW14	WOW15	WOW16	WOW17	WOW18	WOW19	WOW20	WOW21	WOW22	WOW23	WOW24	WOW25	WOW26	WOW27	WOW28	WOW29	WOW30	WOW31	WOW32	WOW33	WOW34	WOW35	WOW36	WOW37	WOW38	WOW39	WOW40	WOW41	WOW42	WOW43	WOW44	WOW45	WOW46	WOW47	WOW48	WOW49	WOW50	WOW51	WOW52	WOW53	WOW54	WOW55	WOW56	WOW57	WOW58	WOW59	WOW60	WOW61	WOW62	WOW63	WOW64	WOW65	WOW66	WOW67	WOW68	WOW69	WOW70	WOW71	WOW72	WOW73	WOW74	WOW75	WOW76	WOW77	WOW78	WOW79	WOW80	WOW81	WOW82	WOW83	WOW84	WOW85	WOW86	WOW87	WOW88	WOW89	WOW90	WOW91	WW1	WW2	WW3	WW4	WW5	WW6	WW7	WW8	WW9	WW10	WW11	WW12	WW13	WW14	WW15	WW16	WW17	WW18	WW19	WW20	WW21	WW22	WW23	WW24	WW25	WW26	WW27	WW28	WW29	WW30	WW31	WW32	WW33	WW34	WW35	WW36	WW37	WW38	WW39	WW40	WW41	WW42	WW43	WW44	WW45	WW46	WW47	WW48	WW49	WW50	WW51	WW52	WW53	WW54	WW55	WW56	WW57	WW58	WW59	WW60	WW61	WW62	WW63	WW64	WW65	WW66	WW67	WW68	WW69	WW70	WW71	WW72	WW73	WW74	WW75	WW76	WW77	WW78	WW79	WW80	WW81	WW82	WW83	WW84	WW85	WW86	WW87	WW88	WW89	WW90	WW91	WW92	WW93	WW94	WW95	WW96	WW97	WW98	WW99	WW100	WW101	WW102	WW103	WW104	WW105	WW106	WW107	WW108	WW109	WW110	WW111	WW112	WW113	WW114
multidrug	8539.043796	8366.559217	8616.212928	8554.972913	9043.405096	8460.179917	8448.692117	8513.03392	8888.809476	8761.143225	9308.98345	9171.828136	9285.902011	8591.05307	8731.773684	8822.352091	9159.454761	7966.003786	8827.048321	8984.715357	8658.605955	8446.482361	8734.469787	9101.443185	9024.413584	8884.323302	8973.777251	8182.479918	7418.888571	8007.348395	8314.298974	7623.172719	7686.562144	8376.234943	8435.370725	8181.371608	8732.01107	8417.920605	8431.556626	8061.943365	8739.451545	9234.903044	9089.380639	8616.914438	9522.973231	9176.637018	8694.408034	8692.242327	8565.698896	8865.071593	8675.784737	8632.437036	8609.178284	8911.496811	8758.306744	8818.53736	8627.007107	9023.110535	9094.276487	8671.911677	8821.523439	8367.81053	8735.085238	8601.259917	8366.278392	9003.194256	9131.241553	9259.300256	9309.367499	8719.596538	8629.832491	8828.740172	8527.639309	9001.688383	8543.695903	8951.28064	9500.874266	8772.450532	8843.11115	8509.941296	8027.111071	8419.194414	8369.319963	8546.852274	8385.786511	10638.50103	10175.53356	11638.36313	12418.30697	9741.912731	10360.92833	8047.322944	7058.779587	7650.676718	8228.735309	8447.513963	7905.860046	9497.053104	8097.950542	8120.619734	8177.517616	8592.142159	8730.93806	9456.95594	8577.33907	8748.896521	8530.413344	8385.68383	8926.226627	7562.827267	8312.951174	7874.271731	8763.140996	8042.014945	8382.082693	9428.052433	8527.693561	8198.12127	7945.005179	7918.49891	7969.118311	9265.263918	9549.554598	9454.846968	9869.702784	9169.760822	9274.889242	10028.12384	2597.561135	6978.369543	10233.85985	2341.838284	10641.44452	1383.050381	8603.628123	10066.10244	5653.397169	6914.471397	7359.26101	5453.476134	9504.802938	9769.761644	8901.192574	9343.260014	9525.580342	9300.883357	10276.27311	6332.582736	6590.121541	8216.301357	5604.456822	9451.090273	7898.31496	9048.896834	8704.280278	10048.52077	8985.864176	8981.525847	8982.708464	8832.829803	7853.813488	9772.356684	9540.918418	9802.108629	9503.570239	8933.066216	8861.363731	8928.408373	9647.278005	10008.56805	8541.070822	7906.816346	8258.098835	9208.530386	7902.237103	9720.017328	9432.767912	9484.081003	9020.363716	8982.914616	9896.908115	9825.820387	9195.451546	10470.68803	9019.482815	9596.138404	9157.404363	8842.428991	9520.29333	9423.68291	10778.26797	8838.605932	11204.75022	9852.8327	8963.39796	9015.231129	11644.74954	10196.65629	10757.31916	10160.47078	10661.66734	9955.883405	11285.83498	10227.7703	9062.626709
macrolide-lincosamide-streptogramin	6132.115697	6128.222339	6043.04102	6123.600168	6168.332861	6255.330397	6189.861084	5499.513622	6321.467448	6091.274358	5902.345053	6017.862563	5980.07333	6467.227467	6653.339851	5157.275006	5340.463609	5052.564572	5983.847829	6175.21258	5888.84246	6451.85579	5018.559537	5044.819385	5060.2423	6211.540796	6084.601575	6146.353988	6172.862404	6135.866094	6438.327943	6158.701681	5908.250706	6743.318384	6804.081309	7072.38866	6557.998485	6782.57712	6736.253163	7069.689379	6566.002655	6298.155893	6366.119067	6637.815098	6203.631797	6308.753678	6600.087128	6954.964249	7185.949082	7104.612399	7000.723294	6992.030299	7174.640118	7129.978338	7006.777868	6201.754943	6421.247341	6437.673755	6438.293719	6476.790332	6299.553334	5697.417996	5760.620452	5798.91684	5935.953868	6481.669027	6088.30848	6522.178593	6447.077115	6465.534363	6428.241621	6200.993629	6340.616162	6552.88759	6412.917792	6468.487736	6378.398792	6300.487223	6233.859383	6280.930084	5839.182665	6107.722603	6469.006966	6062.678371	6313.242836	5994.305057	5699.998073	5391.455052	7278.622098	5925.262702	5665.954959	5159.476668	5114.800907	5453.394713	5472.966177	5253.529604	4817.521282	5040.688596	5495.31631	5215.532373	5362.155044	5612.802549	5586.561803	5719.344305	5741.774368	5892.532775	5620.758305	5167.345997	5413.253494	5209.956633	5195.413393	5053.386627	5357.779482	5031.26524	5542.526486	5479.907692	5890.544926	5615.094904	5158.357389	5084.636082	5346.229502	6788.895513	6254.400769	6639.807387	6387.510607	6647.668243	6325.620427	5157.793627	1359.351736	5525.868404	4991.321597	1372.908041	6701.059057	755.52245	5383.660559	4649.611032	2790.584868	4487.321033	4867.020396	2933.170439	5698.109149	5473.36733	5397.422861	4967.324329	5463.947266	5489.606594	5452.85596	3487.193541	3911.36626	5031.290619	3176.405526	5383.474378	4898.056203	6296.263048	5549.401246	5869.807155	6121.325308	6119.834448	5544.667237	5190.885088	4756.15705	6420.341699	5724.54228	6591.663493	5957.303568	5184.057326	5996.232	5241.626285	5212.319503	5357.359585	4943.038885	4421.229641	5075.474221	4875.312645	5456.856486	6507.83539	6250.777013	6282.367029	6454.093285	6495.368483	6345.796994	6427.086927	6521.73566	6249.501159	6607.657602	6472.016975	6522.814004	6289.229826	6217.725364	6363.887843	5466.189983	6053.033502	5525.620978	6229.255856	5536.696183	5969.440546	5652.703105	6806.227467	5687.894708	5920.309844	5605.568695	6085.740264	5738.663156	6537.678539	5824.295568
vancomycin	4840.805619	4692.748909	4518.57486	4910.168416	5124.316835	4873.931377	4611.945128	4649.384157	4659.229577	4675.552364	4848.838077	5737.474439	5189.915471	5857.313916	5856.707592	4291.310903	4428.568271	4130.494798	5444.623819	5722.720437	5648.661169	5857.841428	4087.720628	4077.303727	3980.24727	5619.495022	5308.862208	5169.469492	4706.49268	4725.45813	4906.459117	4860.024713	4713.399823	6156.166337	6004.952368	5624.499204	5344.831026	6067.98324	6026.29406	5615.73162	5326.700005	5895.184589	5797.709068	5592.081001	5187.762943	5925.644593	5505.9685	6172.733013	5974.339963	6163.215301	6219.661055	6159.553894	5983.343057	6166.094427	6230.77351	5853.849406	5621.725487	5878.193169	5879.19092	5652.262267	5881.694955	4553.270937	4694.405994	4602.22177	5700.527843	5569.025255	5288.888653	5955.078768	6127.489992	6229.631788	5971.945972	5986.383009	6626.91162	6436.904536	6308.701811	5871.381064	6240.751507	5541.938979	5964.928465	5074.676852	4217.728191	5256.680798	5196.163275	4466.008037	5000.442701	4876.864738	4329.915351	4523.818939	4361.491749	5910.501563	4028.926125	3830.372803	3592.135683	3964.98542	4083.624603	4263.737545	3940.661268	3172.619623	4076.11227	4108.876027	3910.32838	4315.191307	4661.519156	4542.47231	4742.964182	4376.653534	4474.882956	3953.36776	4298.468496	3721.68159	4045.104244	3644.340356	4379.427112	3775.216722	4205.193091	3546.299678	4319.152139	3699.453668	3962.379515	3754.59436	4329.038176	5294.437865	5052.504169	4725.139413	5213.574006	5540.810262	5139.542852	4020.653476	936.127433	1791.562926	3604.911228	670.212144	3263.183273	307.943958	3818.588631	3389.529727	1958.473132	2524.866796	1946.181903	1809.366482	4092.860249	3613.488414	3886.529828	3624.671165	3886.609106	3960.306563	3771.335514	2103.474563	2363.411402	2921.370011	2004.577196	3913.147078	3326.488538	5578.104559	4321.559386	4774.057841	5080.101106	5147.649175	4072.217017	3569.056414	3400.646986	5426.754039	4155.119879	5572.595045	4379.147519	3755.196218	3845.25809	3776.385404	3832.451775	3981.813448	3451.437307	2884.663059	3226.518931	3430.781371	3468.618064	5321.842863	5146.877054	5209.914642	5261.520514	4869.723164	5174.101172	5399.55675	5074.892806	4925.864564	5258.033471	5017.800884	4907.419499	4900.271472	4921.369567	5089.414267	4192.746371	4331.377033	4025.54585	4337.055624	4512.056043	4347.896745	4144.216363	5374.823465	4183.04297	4045.034225	4356.110209	4288.754465	4265.03928	4697.481386	3475.249879
unclassified	4405.905855	3988.392354	4092.24956	4569.135134	4307.369111	4174.335212	4023.712734	4243.923929	4363.293551	4303.32259	4634.336014	4641.1062	4679.348596	4246.085855	4223.30841	3759.173428	3895.485649	3419.98847	4043.09356	4398.318694	4215.319444	4179.18536	3683.308513	3762.437108	3645.28654	4170.877665	4101.526547	4357.594636	3683.266803	3898.848218	4110.878142	3843.592227	3856.640903	5682.085333	5901.037469	4763.723095	5863.411343	5725.026349	5912.764423	4749.523023	5912.503429	5673.302737	5762.668931	4564.585377	5650.809396	5626.045295	4589.365524	5000.142823	4584.832474	4676.177079	4972.336416	4960.120416	4566.748638	4663.738528	4961.328006	4671.114202	4245.277088	4380.86359	4416.63913	4247.234233	4740.354814	3839.112229	3980.697394	3892.089615	4278.205076	4408.112433	3949.697162	4239.116656	4456.485192	4658.143444	4312.948487	4436.503968	4616.799896	4561.244585	4399.602377	4516.823593	4547.341508	4137.549301	4579.371432	4195.161763	3778.224552	4114.891218	4182.530827	3932.468581	4069.503507	5004.038747	4481.857968	4424.939592	5554.228224	4501.741717	4147.902553	3243.32404	3053.029348	3405.335734	3783.955518	3747.770753	3450.479705	3442.442185	3596.477459	3527.296597	3375.913104	3695.40835	3910.049044	4003.687979	4225.910049	3897.205752	3914.235522	3450.97125	3759.162632	3432.515022	3642.416309	3273.607992	3635.4758	3517.689781	3573.944183	3762.111263	3737.265426	3404.750296	3269.711873	3092.575517	3693.008269	4405.448482	4520.722433	4348.685607	4569.301319	4728.425257	4508.935009	4371.900495	1362.839963	2290.869463	3899.946396	847.108885	3782.778804	488.348433	4212.272896	3985.915826	2452.18181	2314.571142	2234.936444	2013.99017	3864.958356	3790.578199	3729.097592	3891.626871	3786.17905	3875.775756	4135.143232	2384.367593	2500.62771	2932.509855	2097.773336	3849.30407	3261.992297	4193.045193	3788.419547	3874.085148	3939.530975	4180.803245	3799.332784	2961.417059	2518.937053	4083.585597	3830.448767	4319.931015	4002.05138	3537.477785	3342.316923	3510.794345	3615.106146	3841.029703	3365.309152	2875.312133	3011.359015	3328.631705	2893.069529	4648.978014	4561.256486	4690.788957	4367.377226	4173.476039	4265.608236	4737.024127	4380.86674	4726.5565	4406.871669	4327.777898	4013.494174	4149.586325	4293.428256	4318.953595	4236.259471	4046.199361	4101.529849	4293.364237	3728.019218	4000.722997	4199.845584	4598.416068	4499.207273	4345.763774	4314.222831	4469.643375	4369.157295	4633.183598	4497.237536
tetracycline	2362.108553	2459.52926	2414.488705	2448.466058	2337.16352	2360.39231	2358.947383	2196.040848	2491.413097	2420.599688	2395.092246	2529.974932	2429.934695	2591.882383	2452.988444	2388.004724	2221.710659	2361.286425	2490.423655	2506.760393	2528.645154	2488.1183	2234.272741	2192.260234	2220.99905	2409.139358	2561.766197	2388.622551	2465.818395	2497.772114	2581.480565	2458.216274	2489.301011	2144.50542	2076.680831	2137.433694	2004.386602	2143.599246	2056.826508	2146.323146	1989.90492	2223.46881	2155.455809	2237.960459	2116.308921	2224.182229	2231.26366	2288.631098	2328.994121	2278.858459	2285.045462	2309.540047	2314.368584	2282.276785	2254.1983	2401.590559	2410.700186	2353.815417	2372.644136	2380.607739	2359.423573	2442.805234	2595.862295	2501.369793	2695.623062	2730.534859	2709.210508	2688.689749	2516.308514	2710.299753	2676.887614	2583.332313	2694.36717	2849.183791	2647.3105	2631.5182	2665.193867	2722.789246	2536.29605	2489.662202	2382.344331	2510.826033	2453.384295	2506.790847	2438.960089	2590.298585	2576.728469	2363.614811	3131.802306	3119.534495	2798.318235	2508.148303	2205.473423	2413.820041	2556.448942	2489.518517	2523.51134	2469.587767	2500.592609	2476.948145	2718.28831	2625.218606	2487.586727	2564.326823	2499.533927	2521.489663	2409.183309	2434.832055	2575.010313	2214.050568	2558.664979	2308.141238	2666.211611	2503.054338	2542.843498	2726.523884	2549.385281	2467.167265	2457.194216	2353.37575	2527.824936	2291.063243	2189.970752	2227.980705	2222.934064	2262.766409	2145.096219	2419.74405	746.060793	2699.68704	2239.026395	735.420573	4007.845419	365.919714	2410.046641	2205.307283	1268.226999	2236.213433	2574.05371	1435.471005	2656.225763	2386.731286	2306.607183	2189.241218	2511.302498	2312.531384	2448.51854	1716.879394	1730.732893	1954.797409	1528.392274	2138.819741	1918.381995	2568.5	2133.599147	2649.774796	2505.723992	2377.909802	2096.893566	2382.650347	2112.582201	2724.77305	2253.135124	2742.690228	2246.694532	2366.461883	2643.853132	2326.704263	2619.211415	2632.854424	2297.649301	2287.191114	2420.081497	2367.498111	2543.159742	2205.132559	2162.16957	2213.648544	2161.879353	2275.123047	2177.067345	2167.326802	2148.386716	2074.525808	2201.921332	2131.033219	2209.967503	2262.408492	2250.199645	2304.617095	2640.736552	2381.205277	2650.987199	2469.424176	2573.16832	2559.74608	2673.675625	2839.236487	3180.052517	2507.965472	2741.935224	2462.652235	2530.141916	2687.462843	2778.434186
bacitracin	2255.545518	2303.451184	2221.376765	2204.120079	2466.604162	2499.899036	2331.332935	2027.2466	2380.781386	2307.152729	2167.790178	2507.015506	2306.699556	2640.058812	2717.210589	1768.059901	1818.79646	1838.063792	2149.500875	2444.104058	2377.612537	2491.048093	1764.278378	1634.10816	1635.127468	2187.294404	2178.642886	2558.557564	2668.774233	2655.793993	2628.847552	2647.95202	2490.324192	2757.727482	2704.481527	2556.423927	2328.972055	2748.534569	2748.393786	2562.623756	2349.60119	2432.437801	2471.293029	2378.193586	2138.320876	2436.215071	2355.751479	2707.812364	2665.536931	2722.00284	2729.145425	2726.438892	2640.628957	2736.563322	2745.467639	2424.237175	2340.014122	2459.204171	2462.242775	2389.956689	2420.578099	2119.232661	2112.620376	2134.015747	2395.653947	2617.950901	2422.212501	2763.978989	2716.943586	2650.589595	2718.473752	2766.826511	3071.735217	2846.808891	2906.132659	2830.774817	2970.005258	2494.298021	2573.258094	2496.908759	2207.611708	2719.262147	2658.941704	2261.448094	2528.723287	1950.510696	1704.983404	1769.977499	2288.81121	2066.544808	1613.853807	1986.67138	2043.511563	1962.050647	2023.047493	1968.046859	1880.580711	1738.617599	1917.374989	1963.078055	1935.243125	2104.512604	2148.795364	2083.949064	2259.335956	2024.446701	2172.230399	1808.207534	2010.622959	1940.146853	1900.342112	1818.848799	1993.978627	1787.867573	2003.164005	1703.640837	2123.487631	1914.928433	1913.14622	1878.895963	1914.551911	2517.836457	2317.699099	2207.48552	2431.531412	2786.840798	2481.726311	1857.647345	359.052509	1563.415648	1695.937506	405.613326	1633.202286	267.316505	1797.781916	1448.4348	945.368162	1475.736862	1252.565609	869.789524	2162.341641	1632.110965	1646.55468	1452.727041	1766.923834	1641.352261	1660.711665	1022.255309	1153.489616	1861.236618	986.454534	1864.215163	1681.856193	2495.605803	2043.556691	2178.646371	2208.461564	2354.429456	1904.243143	2065.147093	2170.91911	2340.982248	1953.923019	2389.257536	2010.43805	1733.981592	1895.653895	1717.91391	1590.125844	1688.457565	1589.937591	1302.956041	1618.703077	1581.121009	1761.867644	2500.32161	2444.15134	2416.640143	2383.188984	2300.219771	2212.365294	2441.291464	2323.109035	2362.231054	2445.655867	2212.520011	2348.359922	2317.781792	2184.523258	2245.31785	1703.636212	2143.210102	1755.358876	2035.246676	1980.295159	1997.92303	1708.320939	2300.188283	1895.660184	2003.97066	1850.719617	2020.428651	1692.139424	2064.917643	1598.500313
beta-lactam	1702.467578	1807.774357	1866.048467	1753.867456	1922.704815	1770.62693	1722.615091	1500.508489	1734.276153	1691.534955	1723.792548	1783.246198	1748.68425	1828.236356	1755.388227	1968.802493	1941.293204	1839.189697	1836.653301	1818.704674	1936.025155	1789.159416	2100.456632	2297.234012	2213.71971	1777.980215	1890.029224	1602.838994	1508.9106	1522.258646	1634.522233	1526.119714	1541.007097	1480.326021	1433.616629	1597.57837	1439.200117	1475.894269	1431.401243	1596.498082	1433.841144	1523.212544	1445.888446	1664.696311	1428.126217	1531.024541	1650.860011	1535.259684	1608.814607	1588.161859	1531.480314	1561.244969	1598.092948	1598.580681	1537.7496	1610.642065	1638.202537	1650.011833	1649.827532	1614.012631	1572.09512	1621.098265	1696.702589	1617.238536	1785.380328	1712.697787	1685.952484	1822.035589	1775.105369	1646.142712	1751.934501	1625.318776	1737.279587	1783.468467	1745.370217	1742.462622	1756.336685	1689.801556	1709.447063	1728.092844	1509.21589	1680.773397	1723.570427	1619.705992	1669.116365	1872.972737	1766.38799	2053.414787	2039.21515	2378.092414	2123.02102	1527.285171	1400.236176	1531.597849	1746.149292	1802.100463	1636.955609	1747.628689	1670.764389	1670.318416	1568.883196	1619.30594	1735.873148	1822.756405	1914.375419	1722.381325	1640.458999	1602.749128	1755.390513	1536.809526	1714.657037	1714.702278	1922.035475	1581.19213	1604.074349	1754.410816	1609.330954	1477.980208	1532.037143	1454.098228	1705.415926	1730.087384	1785.715433	1741.846826	1885.794118	1779.106083	1758.123895	1817.69619	363.735409	1483.246059	1949.636576	386.96827	2150.780624	130.97244	1741.782547	1699.339845	928.239744	1228.587644	1316.076564	991.563929	2666.367916	2102.90226	1952.176722	2097.146382	2429.078376	2094.302357	2568.993005	1295.699384	1293.634269	1304.279454	1000.536006	1780.063482	1544.020325	1751.949136	1705.171333	2010.413022	1672.616842	1626.472095	1733.083246	1983.188704	1760.955323	1851.705107	1835.039187	1847.112449	1868.380532	1681.000228	1811.254026	1586.939798	1905.022459	1857.293277	1596.93518	1601.621666	1452.095993	1706.399739	1641.434074	1871.206485	1902.076898	1727.60049	1674.140139	1709.513549	2083.898108	1805.348315	1741.742652	1921.773976	1718.576684	1838.903974	1871.827426	1884.962069	1949.423222	1945.133507	2040.123853	1836.974283	2147.779945	1997.440164	1797.046749	1931.582346	2080.782188	2155.714921	2254.933353	2092.485677	2056.55617	1962.464774	2034.772208	2126.129578	1515.314975
chloramphenicol	630.200821	621.572921	614.114235	612.542416	642.383852	674.168873	712.005574	618.383145	773.041203	732.393404	736.247594	771.021991	741.895611	572.698653	494.864576	674.877038	650.778689	877.766533	566.607644	538.590143	594.41149	520.781869	1088.160281	903.083324	560.745875	539.915679	675.263198	764.887592	1131.156749	1015.652974	974.129785	1079.071313	1040.914597	560.039645	576.63651	593.035527	614.765984	558.981628	583.561219	564.529622	644.145467	549.63129	633.360356	593.641765	608.166253	546.979796	601.339632	565.517599	537.947021	551.166205	568.583957	565.331324	548.986316	548.436685	561.784997	620.272843	565.228825	573.967816	573.001503	567.324098	640.282895	809.161166	1053.999617	911.552442	1334.045503	1082.955079	1256.402432	609.657301	602.933825	501.707793	735.0078	669.035084	677.482949	765.787471	683.575272	640.200456	581.37117	585.0588	604.518378	875.250358	917.05194	876.875044	832.956113	1032.776869	912.743839	685.533611	562.783334	1187.594505	922.592331	2230.614611	1127.257551	1147.045469	882.314516	1287.390976	1121.806807	1175.398023	1198.84026	781.284576	1361.325818	1153.148728	1153.156122	1091.079587	1010.838771	1211.524933	1056.121681	1859.39188	926.341908	1022.58186	1358.428687	897.972698	923.736241	1101.527018	1447.782761	937.618981	1084.695859	1239.35769	994.670055	977.828015	955.279647	843.206254	1182.040195	507.000676	560.093782	528.862384	618.472007	589.544912	624.624841	974.108325	154.36068	521.699864	795.9114	537.909929	807.38936	128.039927	1090.789793	1413.119182	770.629268	925.769188	960.955483	390.513504	755.745795	639.78287	551.922198	453.540871	682.454468	533.223368	628.096788	536.628698	515.357237	630.778474	419.819842	677.545849	620.29451	479.691803	550.489841	606.082983	473.846589	463.347075	530.573117	682.273996	684.786723	572.569063	640.536442	571.835901	624.620829	511.75699	627.525409	466.467648	616.487327	721.054155	470.744312	563.14283	575.622381	626.995564	558.06972	719.602427	648.504703	623.853299	477.466547	568.203436	642.346952	585.226698	536.959479	718.268019	466.273298	530.498793	551.56907	581.425112	647.994678	649.203251	622.158889	662.3529	616.928258	678.156202	510.920041	694.590305	654.205436	1056.397656	661.26521	749.325148	649.489135	736.952968	647.03862	811.34561	639.971506
carbomycin	554.82333	549.02623	606.888796	594.299708	567.355125	555.514885	572.223274	412.025813	445.707209	421.425282	552.42448	500.141078	542.317056	481.443034	500.789904	567.434059	566.240629	468.144234	498.791079	455.866983	410.0741	496.211868	586.081321	671.019475	557.733381	494.138549	519.240689	468.329457	373.695172	423.779523	457.189846	381.544181	422.282408	429.930008	436.866969	346.144965	385.795836	422.223795	446.133508	328.745258	380.845005	399.241064	402.671233	324.053634	346.758421	394.68466	302.408875	423.212887	363.427785	383.305721	413.482575	421.835603	369.072635	383.374452	409.416035	373.109253	310.690699	350.635865	349.621159	314.753996	358.948677	442.898823	476.341578	474.807235	444.907356	477.056818	455.584483	408.052735	450.938982	465.096015	404.308049	448.580752	411.077135	474.581276	411.421818	440.624226	466.395371	428.607302	446.785188	497.72301	463.294343	511.63853	503.798492	472.488204	497.452266	811.672475	604.46409	932.74967	467.680827	804.21762	637.758052	397.519563	391.842402	429.380073	447.278103	483.514412	412.989482	629.764265	455.150401	416.491989	434.909188	546.464011	508.416811	474.455445	548.958916	661.13509	440.348482	493.255564	551.39127	378.912462	534.085767	399.751025	414.421512	455.657808	450.863355	605.299297	501.741706	538.767022	427.720172	429.910144	428.165076	599.420256	599.771928	664.088256	635.791924	606.910928	520.619905	579.249142	135.677877	614.683308	671.417859	159.128145	838.310017	78.571726	510.866682	1422.834376	344.288388	465.869396	627.231552	258.153678	566.128207	639.414554	569.477562	711.783798	683.183423	641.511955	692.552948	316.754093	380.747891	331.47909	244.668247	687.585935	469.653591	466.627623	521.39389	596.996334	569.125201	528.056216	583.395028	463.144864	311.64534	658.806017	681.888824	574.825999	635.515063	561.686022	536.401015	541.096736	568.941523	627.544605	504.845675	489.9447	468.567309	552.226029	443.423327	654.944466	641.73309	602.098942	621.915366	590.847408	682.282233	601.509445	567.334681	621.914819	578.854635	597.057528	542.911515	538.466471	606.631217	587.14138	695.024772	514.205242	721.156583	662.407237	487.250634	546.983542	773.530879	520.123784	703.63515	674.789251	756.565122	711.550977	769.519711	639.908914	576.311466
aminoglycoside	516.518047	506.214783	477.813087	543.5554	663.757322	578.42681	557.440021	326.994828	434.924667	408.324851	307.292202	549.359085	384.834301	551.435914	571.13451	359.613648	411.828388	484.277163	597.105343	480.309139	616.104228	559.255199	486.130763	402.399156	376.742951	423.298438	540.524492	601.258047	512.0782	656.304449	596.453973	544.06763	619.289195	426.308564	454.802911	367.485	363.432725	429.559115	461.024009	371.615348	358.876216	282.284223	328.639842	280.268611	282.648182	277.803591	274.267461	388.476865	362.865499	360.477139	383.95645	386.789735	355.289106	360.319063	376.611103	349.980747	292.286006	288.807058	278.457706	285.402532	346.53575	560.441031	649.63346	553.426729	729.330445	663.869537	666.666606	504.032585	609.385528	352.065737	678.940022	615.396052	745.514327	699.131245	696.484079	634.869031	604.754366	428.589972	452.331403	501.875822	570.19087	656.08532	530.7721	577.838913	562.666168	132.449162	126.623562	305.817306	762.182239	640.878235	311.583099	711.520479	684.741147	794.742874	841.364427	1451.032881	786.981493	820.606665	866.962477	701.884654	561.27359	591.652238	729.693789	814.53637	869.981925	707.396195	645.805619	574.153329	723.818813	577.420152	761.217205	716.973056	875.850886	518.865252	654.746488	449.620568	539.678971	448.669022	626.840807	431.41801	701.138107	244.083723	138.781603	130.342828	147.920188	260.214885	139.13828	289.32099	33.834655	56.61232	236.80198	78.664897	75.950146	26.620402	407.299358	347.175385	140.574429	249.336956	422.250526	213.238131	477.292665	285.197546	352.73837	337.125287	341.442372	340.274157	291.165898	265.456517	271.678934	364.404803	214.969082	173.955954	141.715428	272.435841	219.988754	192.539502	246.074299	223.468799	241.107149	222.779423	257.016518	184.996379	193.453782	165.30892	178.813526	145.48855	188.995411	145.240521	199.313395	142.87236	132.495621	301.532777	187.41297	167.025083	243.501425	160.986236	189.361528	165.173635	138.062124	112.665748	242.186206	181.900212	126.089313	105.853564	186.398416	164.76437	275.757166	355.813787	233.071075	295.171006	190.831473	225.07313	214.309102	203.086138	194.837631	197.656975	140.071814	207.663468	229.920437	170.849698	228.93665	184.199653	112.639738	120.616868	87.909199
