ARGs	ANCeC1	ANCeC2	ANCeC3	ANCeC4	ANCeC5	ANCeC6	ANCeC7	HBCeC1	HBCeC2	HBCeC3	HBCeC4	HBCeC5	HBCeC6	HNCeC10	HNCeC11	HNCeC12	HNCeC13	HNCeC14	HNCeC15	HNCeC16	HNCeC17	HNCeC18	HNCeC4	HNCeC5	HNCeC6	HNCeC7	HNCeC8	JSCeC1	JSCeC2	JSCeC3	JSCeC4	JSCeC5	JSCeC6	MD70dCeC1	MD70d_CeC1	MD70dCeC2	MD70d_CeC2	MD70dCeC3	MD70d_CeC3	MD70dCeC4	MD70d_CeC4	MD70dCeC5	MD70d_CeC5	MD70dCeC6	MD70d_CeC6	MD70d_CeC7	MD70d_CeC8	PD70dCeC1	PD70d_CeC1	PD70dCeC2	PD70d_CeC2	PD70dCeC3	PD70d_CeC3	PD70dCeC4	PD70d_CeC4	PD70dCeC5	PD70d_CeC5	PD70dCeC6	PD70d_CeC6	PD70d_CeC7	PD70d_CeC8	SDCeC1	SDCeC2	SDCeC3	SDCeC4	SDCeC5	SDCeC6	SHCeC1	SHCeC12	SHCeC15	SHCeC16	SHCeC17	SHCeC18	SHCeC24	SHCeC26	SHCeC27	SHCeC28	SHCeC4	SHCeC7	SXCeC1	SXCeC2	SXCeC3	SXCeC4	SXCeC5	SXCeC6	WNCeC1L	WNCeC2L	WNFCeC1L	WNFCeC2L	WNFCeC3L	WNFCeC4L	CeC1	CeC105	CeC108	CeC112	CeC113	CeC123	CeC124	CeC139	CeC149	CeC161	CeC164	CeC166	CeC186	CeC192	CeC198	CeC200	CeC28	CeC35	CeC38	CeC41	CeC42	CeC51	CeC6	CeC61	CeC66	CeC67	CeC68	CeC69	CeC70	CeC89	FJCeC1	FJCeC2	FJCeC3	FJCeC4	FJCeC5	FJCeC6	GZCeC-10	GZCeC-24	GZCeC-25	GZCeC-26	GZCeC-27	GZCeC-28	GZCeC-29	GZCeC-30	GZCeC-6	GZCeC-7	GZCeC-8	GZCeC-9	HEBCeC-10	HEBCeC-15	HEBCeC-17	HEBCeC-18	HEBCeC-21	HEBCeC-22	HEBCeC-25	HEBCeC-30	HEBCeC-4	HEBCeC-5	HEBCeC-7	HEBCeC-8	SDQCeC10L	SDQCeC11L	SDQCeC1L	SDQCeC1R	SDQCeC2L	SDQCeC3L	SDQCeC4L	SDQCeC4R	SDQCeC5L	SDQCeC7R	SDQCeC8L	SDQCeC8R	SDQCeC9L	SDQCeC9R	SSCeC-1	SSCeC-10	SSCeC-2	SSCeC-3	SSCeC-4	SSCeC-5	SSCeC-6	SSCeC-7	SSCeC-8	SSCeC-9	WFHCeC11L	WFHCeC12L	WFHCeC13L	WFHCeC14L	WFHCeC16L	WFHCeC1L	WFHCeC21L	WFHCeC22L	WFHCeC23L	WFHCeC24L	WFHCeC25L	WFHCeC2L	WFHCeC3L	WFHCeC4L	WFHCeC6L	WHYCeC1L	WHYCeC1R	WHYCeC2L	WHYCeC2R	WHYCeC3L	WHYCeC3R	WHYCeC4L	WHYCeC4R	WHYCeC5L	WHYCeC5R	WHYCeC6L	WHYCeC6R	WHYCeC7L	WHYCeC7R	WHYCeC8
ANCeC1	0	0.029017793	0.033725708	0.029081763	0.030658921	0.032638093	0.03067414	0.053631183	0.063136386	0.057998514	0.047413277	0.057886076	0.047206549	0.081685171	0.082576924	0.080473571	0.083321318	0.06374486	0.069365034	0.07836412	0.097776528	0.082202731	0.094973497	0.104084614	0.083867724	0.070926986	0.06903711	0.057290892	0.085605272	0.074541212	0.063830274	0.07648944	0.067913936	0.081778892	0.087536408	0.088799683	0.094471035	0.090773162	0.084127972	0.076771842	0.078365986	0.08236578	0.088344269	0.089488509	0.095199603	0.085229888	0.078692569	0.085436652	0.090636872	0.093517216	0.090572889	0.08943747	0.089952041	0.089978965	0.085804476	0.092358684	0.089701776	0.082022073	0.090355897	0.089652944	0.085896242	0.050575254	0.051980983	0.052185678	0.06426637	0.066317293	0.056598197	0.086109576	0.07806899	0.095993117	0.083180697	0.086004032	0.112377697	0.099398286	0.101014522	0.077315417	0.085411648	0.081196725	0.071000124	0.059942317	0.060763617	0.061947811	0.057536766	0.04784093	0.053480238	0.093430983	0.090416353	0.102325818	0.194106428	0.087213669	0.12097077	0.073526773	0.079888375	0.080946961	0.056060268	0.064493751	0.074363366	0.096847597	0.064117062	0.06444563	0.081951807	0.062231341	0.047245436	0.056747605	0.044033352	0.058379006	0.044555561	0.069232004	0.061524219	0.058685486	0.060956127	0.070112825	0.068243167	0.07656142	0.062124157	0.089127737	0.062867326	0.079033553	0.072129665	0.067862799	0.066341981	0.055291633	0.054806257	0.04938496	0.067346253	0.071914896	0.062940836	0.085217785	0.134562023	0.27381354	0.101839995	0.15381391	0.163707937	0.166946018	0.092478225	0.126946872	0.109464108	0.120072187	0.183003611	0.103812497	0.085395779	0.103170394	0.074519411	0.118728272	0.093079056	0.079289749	0.111441614	0.101455895	0.095372694	0.116873029	0.097418978	0.087030668	0.074195258	0.079352581	0.048697005	0.077535608	0.059893935	0.057094543	0.056928268	0.11206783	0.142209346	0.079631651	0.077734598	0.083385002	0.065303895	0.076920447	0.077169279	0.069487399	0.103812705	0.104156993	0.081910816	0.092153699	0.088459434	0.098011058	0.092195133	0.071166035	0.062657149	0.064000585	0.064376286	0.052829284	0.067824321	0.063108282	0.06006905	0.074220613	0.057965702	0.055410482	0.054231694	0.056749095	0.064120576	0.061720806	0.112440626	0.053605836	0.105699447	0.069087076	0.066243568	0.066214289	0.111683917	0.095742798	0.109028731	0.092991156	0.104132566	0.084622281	0.103834795	0.06766614	0.123404828
ANCeC2	0.029017793	0	0.027299847	0.047064061	0.034821841	0.024995856	0.016964137	0.050338648	0.051099711	0.046288747	0.05148882	0.06674687	0.054968826	0.079252263	0.081870692	0.086142365	0.091992774	0.061141599	0.066974441	0.077007542	0.094944228	0.080037476	0.104017458	0.115184864	0.092270374	0.070165917	0.06732339	0.05731612	0.07897514	0.069661578	0.061567878	0.071005135	0.065291385	0.083527697	0.092402188	0.092090899	0.100810441	0.084116727	0.078238597	0.077298963	0.082813071	0.084249454	0.093499355	0.082578321	0.102697292	0.079799954	0.082441787	0.077229304	0.085833394	0.082919244	0.081957711	0.08141698	0.083552829	0.081934372	0.082289186	0.082362616	0.085280992	0.075782611	0.082292792	0.083519538	0.083282337	0.04472686	0.046169308	0.045651283	0.061057021	0.064783392	0.052497293	0.079103031	0.073275886	0.091856583	0.078467092	0.081347283	0.111662311	0.098017482	0.093561368	0.072304181	0.080862683	0.07332157	0.069633505	0.054931612	0.051864701	0.062928866	0.055953163	0.040722056	0.050862314	0.097652525	0.090428834	0.109551895	0.189765371	0.090319716	0.125017735	0.0596896	0.066532955	0.067721077	0.051771397	0.059010386	0.062408512	0.093301998	0.056586018	0.0551264	0.0685973	0.055589542	0.043760937	0.055099131	0.051958269	0.063955023	0.035333105	0.062308057	0.056397042	0.04472993	0.056427487	0.059276826	0.061147599	0.064113249	0.049252849	0.089734052	0.049819955	0.066536835	0.0595355	0.059728734	0.055058085	0.058044036	0.063780651	0.053848115	0.070766446	0.071516496	0.066607609	0.087761302	0.138020789	0.264902995	0.106185881	0.15106829	0.16041044	0.157490762	0.094364762	0.134894611	0.117490917	0.110452601	0.17829754	0.09829106	0.083421367	0.10753325	0.078271796	0.130631396	0.09167377	0.086269506	0.114312941	0.095643556	0.091462863	0.109857534	0.091431415	0.093592842	0.073995116	0.075684825	0.053103058	0.074298946	0.060124936	0.059137374	0.064212319	0.10882924	0.134978611	0.079045284	0.0835818	0.079921174	0.069108849	0.078580157	0.071775136	0.067909062	0.107415379	0.106781704	0.08123956	0.094694149	0.083328545	0.100780003	0.081302362	0.074059605	0.068448874	0.070817304	0.067875126	0.052660353	0.07109696	0.071390505	0.06035503	0.078000605	0.057313876	0.061120448	0.053668348	0.057525593	0.065676244	0.064176608	0.116763871	0.049344442	0.110256396	0.075460924	0.066033174	0.067215457	0.118126983	0.095609945	0.112138573	0.097258582	0.107669517	0.092188305	0.112118437	0.071198225	0.124155344
ANCeC3	0.033725708	0.027299847	0	0.037701912	0.034713648	0.038240863	0.033715009	0.063331211	0.070144163	0.064637779	0.058593169	0.067159407	0.057174945	0.099157559	0.101983895	0.078430463	0.081755833	0.065393186	0.08644553	0.096785718	0.11486464	0.100486151	0.092580472	0.099890243	0.077997111	0.088912425	0.086705719	0.075533143	0.09868952	0.09047349	0.080799664	0.091394332	0.084922372	0.09398458	0.103454117	0.102019534	0.11104521	0.103005855	0.095299217	0.087663876	0.092666867	0.094890264	0.104388283	0.10119826	0.112927425	0.095553539	0.092348942	0.097783941	0.103064848	0.103722861	0.100655252	0.099807087	0.100382602	0.100257996	0.098022963	0.102636802	0.102570286	0.093319302	0.100778149	0.099928383	0.098830698	0.066272845	0.065282759	0.067989221	0.081179292	0.085578438	0.073206651	0.101403934	0.092971488	0.113762981	0.100532236	0.101570211	0.130677575	0.119291289	0.115787365	0.092688066	0.100335196	0.09695319	0.087932642	0.07557745	0.069279493	0.081948995	0.075551502	0.060345776	0.070667247	0.085354009	0.08374054	0.09961895	0.192182242	0.090513918	0.110938437	0.07252898	0.081044068	0.08594192	0.054008992	0.05618786	0.073795638	0.08655128	0.068427481	0.057690978	0.073173258	0.060342495	0.053486211	0.053316928	0.046777785	0.060579456	0.050759903	0.057699727	0.057456883	0.059221191	0.056362014	0.060664751	0.060124041	0.066519296	0.064309676	0.078596953	0.065771812	0.070311412	0.073930587	0.065497519	0.064904122	0.067407424	0.065919788	0.05766741	0.076591652	0.089111895	0.073474963	0.075981172	0.125045157	0.276675352	0.092314198	0.158215965	0.166684765	0.169510419	0.083871707	0.119558315	0.104289499	0.125033066	0.188045844	0.091609212	0.078976259	0.094953308	0.066842313	0.113292241	0.08510602	0.072283484	0.10076121	0.089617367	0.086389132	0.120011822	0.087412468	0.079559872	0.067199713	0.095593394	0.055729743	0.081692057	0.07256135	0.072361072	0.051818182	0.116411182	0.14768408	0.090167094	0.071957848	0.092585042	0.058465544	0.069612539	0.066074288	0.060558741	0.096616264	0.09504174	0.072933828	0.08591533	0.077904797	0.090191625	0.088697816	0.078888527	0.072927965	0.075602927	0.076583426	0.065883095	0.075109268	0.074086078	0.070791985	0.080639344	0.073543403	0.064415344	0.066142534	0.065846591	0.069669795	0.070270149	0.103970876	0.055315962	0.097184181	0.0626953	0.070052301	0.0561168	0.10567457	0.098781822	0.10114949	0.084519898	0.096209682	0.077571814	0.098596549	0.070929048	0.124125766
ANCeC4	0.029081763	0.047064061	0.037701912	0	0.035326274	0.048994107	0.049139396	0.065352281	0.077311079	0.071941042	0.058355422	0.056024628	0.051294622	0.097397761	0.097249791	0.073423269	0.074007356	0.066601579	0.082462019	0.090847181	0.109505699	0.097814677	0.083138057	0.090676464	0.078985222	0.083696119	0.082548501	0.072720799	0.104112961	0.090590298	0.080525421	0.094498217	0.084368036	0.089617184	0.092003478	0.092433017	0.096800184	0.102625298	0.097304083	0.084167715	0.084148839	0.09003299	0.092170712	0.100716114	0.097398635	0.098654911	0.083978619	0.09856572	0.101449601	0.107443641	0.103965534	0.102921186	0.101345191	0.103356597	0.095537049	0.107026009	0.100439669	0.094745894	0.104097409	0.101170994	0.096031404	0.063552405	0.06270462	0.065858651	0.075831951	0.079458831	0.067877487	0.100754072	0.091537056	0.108253669	0.097804637	0.100931425	0.12485859	0.111393384	0.115342031	0.091243269	0.09855929	0.09823956	0.088182445	0.074803868	0.080028176	0.075088354	0.072144734	0.066418014	0.0699015	0.086646531	0.084991904	0.089690001	0.196699231	0.087464453	0.116011746	0.088610244	0.093625787	0.095533102	0.057116412	0.065190329	0.083304663	0.095301301	0.074170666	0.068846528	0.085974413	0.06882936	0.056385405	0.053319891	0.034487508	0.05727834	0.055031148	0.067260082	0.066998003	0.071433088	0.061948645	0.07115438	0.068281738	0.080860568	0.076527662	0.084292852	0.077291943	0.084317081	0.085634803	0.076467244	0.072111337	0.066465755	0.05934642	0.058343124	0.074141151	0.086869408	0.070022857	0.078677361	0.126145342	0.288350208	0.09241945	0.158291151	0.170471635	0.176736102	0.085787657	0.114786549	0.098886957	0.132990399	0.197080058	0.102824057	0.086742483	0.096945628	0.070767445	0.106060964	0.087687394	0.072866775	0.102760895	0.09976721	0.094559003	0.13062701	0.09662471	0.081787409	0.071402124	0.09217552	0.054273287	0.083020614	0.067778291	0.066721577	0.054905097	0.125334192	0.155237646	0.088174554	0.074209693	0.092189282	0.063606056	0.075989059	0.079519234	0.066488104	0.099205456	0.100918462	0.079147719	0.090622819	0.089245116	0.094632496	0.105383095	0.077732898	0.068885462	0.069033842	0.072958376	0.066871531	0.074561969	0.070120639	0.070254598	0.078330262	0.072831781	0.063380083	0.067162871	0.066119476	0.071048859	0.069239704	0.104781468	0.063784876	0.097583474	0.06438247	0.066148961	0.063196644	0.101358814	0.103470494	0.101477599	0.082616012	0.096944741	0.075089175	0.094646436	0.074059072	0.12650324
ANCeC5	0.030658921	0.034821841	0.034713648	0.035326274	0	0.036327504	0.035401056	0.060173606	0.072609837	0.067202809	0.052611361	0.051906709	0.047152935	0.087450439	0.089202764	0.086028701	0.085451085	0.076381687	0.074766096	0.085067579	0.10243028	0.088676747	0.094270446	0.102657326	0.087017207	0.079139224	0.0770453	0.066144552	0.097365105	0.085461448	0.074431895	0.088024308	0.079697771	0.082609689	0.088149081	0.090260139	0.096960894	0.097402095	0.091236395	0.080374789	0.081026763	0.083560055	0.089473479	0.095209607	0.097109641	0.092716853	0.080925985	0.091633244	0.095348837	0.098534161	0.095041666	0.09339494	0.092812305	0.093548297	0.089655782	0.097362663	0.094398317	0.086950938	0.095033891	0.092693325	0.09056439	0.059824584	0.061711914	0.062631886	0.072625823	0.075567593	0.065359183	0.089265062	0.079845931	0.104666873	0.087048411	0.088928617	0.116020397	0.104474031	0.102818008	0.078921024	0.086411584	0.08816491	0.077794756	0.06821353	0.074069182	0.071595309	0.06553495	0.060111538	0.062766806	0.095140467	0.096569086	0.100980453	0.190870756	0.095852336	0.123498968	0.08467772	0.089770379	0.091179788	0.068938719	0.072691618	0.086760213	0.10411898	0.076412783	0.0781377	0.095709946	0.073705971	0.055371771	0.061835678	0.04398548	0.069870812	0.055116323	0.077090008	0.071511088	0.070687592	0.073816912	0.08235227	0.077306957	0.090031971	0.073639142	0.095668461	0.074183708	0.092938207	0.085778128	0.081162853	0.079248823	0.060945295	0.058193085	0.054815799	0.069024092	0.08073446	0.065320923	0.087268954	0.136070972	0.279815498	0.101800309	0.159521076	0.169262275	0.17428324	0.093711467	0.127753503	0.111013246	0.131169942	0.193372559	0.109728558	0.091338911	0.10726525	0.082390121	0.118949549	0.09899613	0.085695935	0.11239216	0.109069307	0.103205923	0.129961289	0.103936451	0.093703238	0.083152583	0.085931617	0.0531189	0.081024851	0.066139947	0.062833026	0.064801621	0.12332715	0.152038489	0.082570803	0.087246574	0.084204057	0.072996237	0.086219552	0.085452465	0.076712837	0.109688097	0.110019461	0.089174743	0.101887523	0.098998316	0.10590661	0.105124911	0.072741487	0.063536574	0.06464463	0.06947324	0.065645366	0.069646541	0.063632402	0.063529125	0.072247407	0.066791856	0.0573437	0.062767579	0.062519821	0.066612456	0.065239184	0.114693363	0.060842102	0.107963229	0.068971715	0.06895839	0.068557494	0.112663853	0.099673203	0.110698597	0.089744384	0.105489372	0.08091452	0.105811496	0.070274412	0.128524867
ANCeC6	0.032638093	0.024995856	0.038240863	0.048994107	0.036327504	0	0.023464198	0.052815424	0.055476207	0.049909761	0.052563645	0.064461607	0.053723434	0.082676726	0.084059551	0.094225203	0.098025965	0.068456589	0.072167237	0.080416743	0.097064251	0.084484912	0.108892702	0.120493392	0.099567602	0.075078155	0.071387898	0.054222273	0.076035544	0.069451835	0.058123679	0.067583965	0.060751916	0.077478664	0.084266839	0.08522283	0.091748247	0.0816996	0.072952102	0.072976697	0.074996923	0.077945876	0.085035932	0.080374786	0.092348665	0.073495467	0.074806872	0.077908266	0.07984331	0.084392895	0.07845955	0.081059672	0.078342747	0.081876069	0.075826312	0.083602963	0.079206603	0.075460614	0.078961814	0.078009396	0.076139995	0.04824754	0.05043056	0.049532006	0.058614109	0.065851343	0.054275555	0.078613928	0.071015827	0.093241594	0.077761005	0.078163737	0.10854119	0.096469663	0.09121828	0.069417887	0.076632354	0.076257292	0.069249941	0.051205431	0.056547088	0.057189626	0.053384514	0.045866832	0.048847237	0.104420926	0.088679998	0.112957016	0.186175892	0.095375195	0.132854254	0.070157188	0.078614169	0.078237674	0.058920501	0.065638941	0.072155947	0.099489883	0.068627506	0.065225192	0.078943625	0.062376925	0.048914147	0.062460923	0.052352604	0.065290762	0.043800727	0.070672223	0.064511736	0.055911424	0.064902786	0.067642957	0.070091458	0.076229489	0.058216871	0.098662415	0.056269887	0.076882488	0.070728311	0.064017033	0.064578059	0.052851769	0.061887562	0.05495336	0.066763829	0.066613672	0.063592268	0.09571484	0.142798825	0.270449399	0.11253279	0.153316022	0.163659413	0.162420782	0.099690522	0.138838917	0.119251227	0.118605764	0.180427811	0.108545113	0.090298469	0.116193878	0.088004957	0.1386926	0.103103328	0.095970393	0.123694943	0.104661579	0.10153178	0.121362967	0.101722109	0.099626536	0.081167345	0.079730139	0.058179584	0.078951868	0.063225878	0.058689624	0.070593523	0.111876702	0.138407832	0.080417314	0.092924271	0.079186174	0.075757576	0.089116978	0.080899463	0.078530491	0.118496917	0.116769544	0.093084159	0.106563033	0.093866719	0.112191616	0.093510046	0.0683802	0.066774671	0.068619952	0.066999371	0.047880904	0.069402187	0.069964352	0.059659107	0.076510621	0.056659778	0.060608258	0.05379207	0.056092951	0.068592541	0.063386965	0.125970479	0.0557504	0.119405842	0.081284614	0.073121036	0.072877807	0.126588731	0.094459462	0.119933414	0.101688318	0.116758188	0.097830619	0.118603571	0.074114466	0.126940955
ANCeC7	0.03067414	0.016964137	0.033715009	0.049139396	0.035401056	0.023464198	0	0.052656157	0.053233757	0.047822617	0.051334679	0.067501489	0.054531455	0.079643141	0.081109156	0.088902577	0.095404897	0.064110095	0.067667077	0.077294981	0.094158469	0.080805321	0.107549655	0.117156177	0.094795875	0.071694729	0.067191482	0.054068852	0.075283943	0.065697457	0.057747395	0.066912703	0.061545448	0.084780915	0.092364118	0.092576609	0.101082009	0.085928284	0.081334951	0.079124438	0.084249084	0.084953826	0.093023647	0.084549438	0.102201267	0.081601344	0.083787898	0.079623134	0.085908508	0.085969843	0.082824906	0.083443041	0.08379491	0.083856891	0.081919977	0.084872137	0.084498413	0.078085756	0.082981152	0.08357275	0.082801698	0.044573144	0.047044877	0.045020013	0.059916614	0.063349634	0.052116636	0.077776355	0.071672013	0.092977901	0.076866695	0.080008689	0.109915475	0.094358254	0.091965139	0.071603097	0.080417039	0.073679966	0.069825129	0.051379908	0.04928002	0.058471515	0.051802121	0.039027364	0.04690692	0.100802944	0.091248681	0.111621944	0.189822911	0.091692055	0.127638328	0.06165542	0.067007012	0.069118565	0.054608152	0.059478711	0.062228802	0.094500734	0.058550823	0.05747613	0.07078154	0.057411345	0.04507004	0.059300701	0.053023351	0.064232497	0.038335209	0.064151677	0.057153279	0.04627785	0.058421576	0.060129743	0.065675018	0.06713785	0.05052044	0.091762809	0.051386191	0.067748086	0.063054733	0.0597889	0.058759292	0.05679386	0.065095722	0.055143977	0.070320094	0.068035545	0.066900599	0.08960962	0.140351676	0.265462943	0.108099402	0.151831885	0.161124685	0.158096679	0.096967006	0.136277896	0.118378484	0.110511135	0.178689082	0.101557972	0.08634895	0.110376545	0.08043725	0.133276333	0.094739813	0.088378912	0.116505408	0.096777132	0.093074363	0.107865116	0.09328162	0.095443431	0.07524732	0.075794864	0.054489048	0.073755919	0.060564042	0.058927681	0.065917051	0.109825798	0.13649445	0.079897372	0.086508977	0.079219137	0.07144558	0.081954357	0.074830707	0.071838088	0.111140919	0.1101998	0.085111822	0.098388917	0.086336349	0.104540226	0.085595206	0.07295462	0.068236773	0.070503871	0.068323815	0.052186884	0.070685596	0.07193482	0.061027676	0.077462148	0.057879966	0.062445041	0.053953703	0.057719549	0.066283293	0.06492551	0.11983635	0.051683038	0.113131793	0.075279514	0.069396428	0.069019266	0.119781734	0.094964854	0.113453534	0.096992392	0.109243603	0.091674589	0.112359551	0.070416397	0.125106345
HBCeC1	0.053631183	0.050338648	0.063331211	0.065352281	0.060173606	0.052815424	0.052656157	0	0.048057479	0.037319005	0.038618861	0.054997155	0.040473729	0.084146247	0.088279799	0.089959844	0.095554706	0.06214523	0.068076325	0.07796017	0.096123092	0.085608991	0.108273508	0.122224792	0.098596274	0.074401147	0.072076788	0.065254794	0.086825696	0.077743251	0.070201465	0.078691292	0.074015137	0.075294419	0.087357243	0.084552423	0.095547233	0.076313871	0.07691454	0.070352681	0.076830438	0.075034243	0.087411167	0.07436462	0.096489727	0.077706157	0.076629741	0.078260287	0.090858818	0.085506347	0.089501479	0.08178912	0.088393738	0.082035479	0.086350913	0.085221843	0.09033114	0.075720316	0.089596861	0.087512616	0.086165685	0.046570453	0.050047616	0.045984869	0.060075191	0.066877421	0.057511869	0.082353721	0.081822603	0.092588291	0.085405977	0.088461772	0.121202965	0.10612925	0.101558343	0.08373704	0.091677084	0.075201761	0.077037895	0.066765562	0.067421466	0.072157151	0.069674687	0.055182095	0.064051815	0.098771444	0.083934841	0.113539933	0.195251264	0.09286686	0.126615918	0.07127843	0.074947544	0.074029851	0.063999501	0.071685838	0.067932418	0.101548995	0.063929586	0.065717546	0.074341452	0.065045262	0.054918134	0.065404717	0.064436036	0.073171287	0.045578474	0.069557126	0.065479759	0.064251364	0.06892596	0.070190829	0.070528147	0.070836422	0.054961668	0.090710358	0.059481214	0.070650838	0.064472097	0.065700204	0.060125636	0.061763404	0.06428407	0.061141213	0.074757443	0.077243041	0.072502629	0.089643968	0.135306482	0.26378141	0.109006849	0.153248881	0.164416935	0.161703818	0.098571977	0.138627035	0.121891315	0.108257145	0.180181891	0.103293903	0.095052149	0.107386915	0.083413856	0.138312088	0.097860423	0.092306459	0.11646891	0.100259916	0.096580684	0.110259784	0.096452397	0.103990636	0.08314617	0.075481537	0.064735591	0.077547206	0.066066633	0.063164158	0.074582018	0.116798205	0.138728979	0.081609713	0.098003507	0.080524334	0.080980725	0.081382235	0.08087287	0.072772102	0.108716151	0.107276744	0.085440166	0.095980405	0.089337931	0.100174586	0.08901795	0.076093277	0.073889102	0.07630245	0.071061002	0.05400061	0.076970664	0.076122223	0.065652677	0.082287587	0.060599802	0.065430431	0.062642502	0.06699636	0.076951317	0.073121622	0.119392242	0.065651792	0.114423282	0.092980468	0.075419384	0.082395424	0.119754361	0.107564921	0.11673663	0.106651151	0.111122246	0.106058224	0.115243985	0.084691999	0.122805848
HBCeC2	0.063136386	0.051099711	0.070144163	0.077311079	0.072609837	0.055476207	0.053233757	0.048057479	0	0.012776591	0.055686823	0.075163909	0.063095947	0.076512574	0.080226702	0.096675478	0.107133282	0.063348135	0.062093907	0.070596842	0.085526926	0.075701178	0.118738671	0.132172948	0.113068914	0.069949851	0.062371608	0.056511557	0.068383496	0.060334756	0.058361443	0.064103441	0.060376821	0.090315657	0.097106174	0.099802792	0.106682324	0.075593142	0.081104166	0.085290963	0.089154156	0.088978429	0.096692013	0.074804804	0.106041468	0.080646057	0.089342732	0.076561054	0.089732251	0.078771964	0.088640899	0.080716417	0.089718648	0.080475717	0.089929864	0.079617247	0.089481478	0.078013789	0.089256025	0.088981626	0.091487941	0.034707664	0.044760241	0.034600376	0.058278764	0.057677544	0.053278458	0.079210054	0.08001591	0.083887943	0.079471403	0.086740078	0.115445654	0.09520492	0.095501521	0.080251992	0.088430057	0.068010355	0.074841066	0.051456878	0.049318665	0.061165306	0.051168171	0.041945199	0.04717881	0.108194219	0.091025103	0.12529482	0.190085169	0.098030796	0.135750222	0.061019103	0.063584674	0.059165935	0.062564056	0.065081169	0.05292111	0.109035932	0.057434047	0.061123751	0.067231225	0.059911335	0.05064585	0.068605062	0.07393568	0.073613315	0.047369226	0.06748174	0.059116809	0.047767329	0.064476934	0.061741329	0.067274033	0.064544439	0.048958304	0.097964792	0.044943757	0.060275929	0.057069909	0.058666501	0.050427326	0.0607702	0.070629508	0.061033022	0.075364632	0.071586091	0.070788735	0.098369927	0.14496617	0.251679353	0.121584154	0.142796328	0.155135965	0.144051989	0.103526542	0.150427716	0.12805435	0.098956427	0.17193778	0.10246613	0.095298974	0.117893224	0.090870646	0.147789831	0.097488607	0.10222095	0.123813188	0.096946901	0.093227985	0.095435395	0.090741873	0.107745083	0.083982862	0.067062432	0.069263899	0.069455662	0.054032768	0.060566144	0.080756393	0.115914535	0.126813687	0.067524953	0.098871653	0.068475894	0.087295875	0.081872598	0.077441458	0.06926769	0.11306633	0.113236474	0.085218469	0.101193418	0.08292455	0.103739499	0.080352645	0.077396536	0.077727012	0.07723367	0.069573371	0.054550383	0.080688349	0.079378713	0.063993755	0.083047845	0.063694943	0.0664548	0.057809427	0.063054357	0.079405322	0.070654127	0.126596223	0.065866188	0.119505957	0.095436196	0.071903734	0.084289529	0.126158551	0.101099118	0.122846459	0.112218695	0.116589408	0.112652814	0.123907281	0.086647082	0.121603465
HBCeC3	0.057998514	0.046288747	0.064637779	0.071941042	0.067202809	0.049909761	0.047822617	0.037319005	0.012776591	0	0.048228897	0.067046279	0.055218174	0.076959043	0.081242407	0.09347969	0.103189065	0.059899064	0.063515706	0.070590244	0.085441465	0.076864287	0.115236795	0.128998657	0.108118904	0.070646405	0.064615215	0.054707149	0.070137068	0.062105882	0.058100128	0.065012617	0.061600553	0.087339721	0.09469486	0.096803456	0.103433048	0.075228283	0.078989898	0.081953711	0.085031584	0.086031452	0.094191234	0.073818146	0.103010621	0.07876179	0.085622458	0.074730871	0.088400359	0.079536999	0.087838922	0.080155581	0.088633441	0.080137591	0.087185948	0.080517505	0.0881165	0.075929657	0.088289464	0.087608123	0.088779496	0.032342483	0.041175613	0.035574329	0.056129492	0.057976827	0.054183087	0.078407186	0.078683011	0.084717994	0.07944335	0.085780992	0.115475765	0.097290345	0.095252996	0.079705217	0.087785439	0.068055896	0.074316038	0.053775293	0.048559406	0.061654322	0.052136219	0.039443473	0.047468337	0.104847464	0.087088837	0.121423082	0.191793879	0.094355848	0.131942566	0.060574966	0.062652712	0.058918364	0.058645423	0.062611243	0.053026276	0.104482539	0.056373942	0.058411122	0.066833917	0.059038579	0.046979564	0.063775037	0.068080313	0.070739751	0.041850808	0.064960876	0.058268144	0.049645953	0.06261103	0.060992714	0.065577638	0.063216882	0.046788281	0.094712861	0.046463869	0.059808818	0.054686659	0.056253717	0.048043519	0.061176642	0.066778329	0.060878468	0.074898179	0.072406786	0.071361361	0.095159328	0.143125368	0.254354684	0.117110735	0.146271887	0.157584494	0.148758215	0.101777516	0.147165042	0.127096649	0.098420912	0.174962516	0.099646739	0.093870369	0.11348611	0.08618746	0.144354117	0.095017602	0.097820729	0.120943251	0.096308277	0.092308815	0.096989616	0.090211758	0.106184775	0.081974508	0.068062079	0.065386929	0.069370554	0.056903254	0.060568452	0.077619715	0.115186363	0.129094456	0.071807831	0.097680264	0.07203323	0.084068155	0.079939498	0.076447544	0.067932568	0.110395594	0.11075888	0.082737649	0.098588826	0.081428319	0.102164027	0.079166714	0.07688897	0.074475495	0.077803828	0.070887665	0.05333454	0.078505841	0.079427737	0.064155797	0.083713715	0.062572972	0.066231245	0.058845847	0.063004343	0.076437447	0.070525774	0.123411488	0.062673869	0.116947306	0.09275665	0.070022725	0.081689063	0.123633174	0.102688897	0.121148295	0.110320885	0.114882899	0.109442446	0.120933857	0.083620096	0.121030511
