genome	99%ANI	95%ANI
MAGs.HNCeC6.Bin40	1_0	1
MAGs.SHCeC1.Bin58	2_0	2
MAGs.FJCeC2.Bin37	3_0	3
MAGs.SSCeC-10.Bin73	4_0	4
MAGs.WHYCeC1L.Bin38	5_1	5
MAGs.WHYCeC1R.Bin121	5_1	5
MAGs.WHYCeC3L.Bin115	5_2	5
MAGs.WHYCoC3.Bin13	5_2	5
MAGs.SDQCeC1L.Bin13	5_3	5
MAGs.SDQCeC9R.Bin23	5_4	5
MAGs.SSCeC-1.Bin47	5_5	5
MAGs.SSCeC-10.Bin63	5_6	5
MAGs.SHCeC27.Bin49	6_0	6
MAGs.CeC105.Bin29	7_1	7
MAGs.WFHCeC24L.Bin66	7_2	7
MAGs.HEBCeC-7.Bin38	8_0	8
MAGs.SDQCeC1R.Bin123	9_0	9
MAGs.HNCeC10.Bin81	10_1	10
MAGs.SSCeC-10.Bin64	10_1	10
MAGs.SSCeC-9.Bin67	10_1	10
MAGs.WFHCeC24L.Bin89	10_1	10
MAGs.HEBCeC-25.Bin78	11_1	11
MAGs.HEBCeC-30.Bin32	11_1	11
MAGs.HNCeC5.Bin30	11_2	11
MAGs.SDQCeC10L.Bin47	11_3	11
MAGs.WFHCeC4L.Bin38	11_4	11
MAGs.WFHCeC6L.Bin68	11_5	11
MAGs.HNCeC12.Bin15	12_1	12
MAGs.HNCeC4.Bin36	12_1	12
MAGs.WNCeC1L.Bin41	12_1	12
MAGs.SSCeC-3.Bin12	13_0	13
MAGs.MD42d_CeC1.Bin23	14_1	14
MAGs.MD42d_CeC7.Bin18	14_1	14
MAGs.PD14d_CeC_1.Bin37	14_1	14
MAGs.PD42d_CeC1.Bin39	14_1	14
MAGs.PD42d_CeC2.Bin39	14_1	14
MAGs.PD42d_CeC4.Bin13	14_1	14
MAGs.PD42d_CeC5.Bin17	14_1	14
MAGs.PD42d_CeC6.Bin30	14_1	14
MAGs.PD42d_CeC7.Bin32	14_1	14
MAGs.PD42d_CeC8.Bin22	14_1	14
MAGs.PD70dCeC1.Bin84	14_1	14
MAGs.PD70dCeC2.Bin49	14_1	14
MAGs.PD70dCeC3.Bin4	14_1	14
MAGs.PD70dCeC4.Bin68	14_1	14
MAGs.PD70dCeC5.Bin3	14_1	14
MAGs.PD70dCeC6.Bin58	14_1	14
MAGs.PD70d_CeC1.Bin36	14_1	14
MAGs.PD70d_CeC3.Bin2	14_1	14
MAGs.PD70d_CeC4.Bin37	14_1	14
MAGs.PD70d_CeC5.Bin40	14_1	14
MAGs.PD70d_CeC6.Bin83	14_1	14
MAGs.PD70d_CeC7.Bin36	14_1	14
MAGs.PD70d_CeC8.Bin5	14_1	14
MAGs.CeC1.Bin28	15_1	15
MAGs.CeC6.Bin28	15_1	15
MAGs.HBCeC1.Bin12	15_2	15
MAGs.HBCeC2.Bin63	15_2	15
MAGs.HBCeC3.Bin49	15_2	15
MAGs.SDCeC1.Bin10	15_2	15
MAGs.SDCeC2.Bin13	15_2	15
