id	genes	cazyfamily	phylum
ANCeC1.Bin10	154	3	Bacteroidota
ANCeC1.Bin11	184	4	Firmicutes
ANCeC1.Bin14	131	5	Bacteroidota
ANCeC1.Bin15	48	6	Methanobacteriota
ANCeC1.Bin16	48	7	Firmicutes
ANCeC1.Bin19	54	8	Firmicutes
ANCeC1.Bin2	208	1	Bacteroidota
ANCeC1.Bin20	13	9	Firmicutes
ANCeC1.Bin23	33	10	Firmicutes
ANCeC1.Bin27	72	11	Desulfobacterota
ANCeC1.Bin29	111	10	Bacteroidota
ANCeC1.Bin30	31	11	Synergistota
ANCeC1.Bin31	83	12	Bacteroidota
ANCeC1.Bin32	38	13	Proteobacteria
ANCeC1.Bin34	47	14	Firmicutes
ANCeC1.Bin35	45	15	Elusimicrobiota
ANCeC1.Bin4	57	2	Firmicutes
ANCeC1.Bin47	236	13	Bacteroidota
ANCeC1.Bin49	139	12	Firmicutes
ANCeC1.Bin50	60	13	Firmicutes
ANCeC1.Bin51	99	14	Firmicutes
ANCeC1.Bin54	55	15	Firmicutes
ANCeC1.Bin55	69	16	Proteobacteria
ANCeC1.Bin56	17	17	Firmicutes
ANCeC1.Bin57	88	55	Bacteroidota
ANCeC1.Bin60	38	39	Proteobacteria
ANCeC1.Bin62	75	45	Firmicutes
ANCeC1.Bin64	23	31	Firmicutes
ANCeC1.Bin72	43	35	Proteobacteria
ANCeC1.Bin73	126	57	Firmicutes
ANCeC1.Bin78	93	52	Firmicutes
ANCeC1.Bin79	96	65	Firmicutes
ANCeC1.Bin82	39	26	Proteobacteria
ANCeC1.Bin83	151	56	Firmicutes
ANCeC1.Bin88	47	31	Cyanobacteria
ANCeC1.Bin90	67	41	Firmicutes
ANCeC2.Bin10	63	32	Bacteroidota
ANCeC2.Bin14	34	24	Firmicutes
ANCeC2.Bin16	42	21	Firmicutes
ANCeC2.Bin18	57	35	Firmicutes
ANCeC2.Bin19	13	11	Firmicutes
ANCeC2.Bin25	55	34	Firmicutes
ANCeC2.Bin3	57	35	Firmicutes
ANCeC2.Bin30	23	17	Desulfobacterota
ANCeC2.Bin31	196	69	Bacteroidota
ANCeC2.Bin33	86	38	Firmicutes
ANCeC2.Bin37	30	16	Firmicutes
ANCeC2.Bin39	83	40	Firmicutes
ANCeC2.Bin41	83	48	Firmicutes
ANCeC2.Bin43	65	26	Firmicutes
ANCeC2.Bin45	51	13	Methanobacteriota
ANCeC2.Bin5	113	40	Firmicutes
ANCeC2.Bin58	32	21	Firmicutes
ANCeC2.Bin6	27	16	Firmicutes
ANCeC2.Bin62	46	28	Firmicutes
ANCeC2.Bin71	68	30	Firmicutes
ANCeC2.Bin75	114	50	Firmicutes
ANCeC2.Bin81	46	25	Proteobacteria
ANCeC2.Bin82	75	37	Firmicutes
ANCeC2.Bin83	30	22	Synergistota
ANCeC2.Bin9	82	43	Firmicutes
ANCeC2.Bin95	55	29	Elusimicrobiota
ANCeC3.Bin10	54	29	Cyanobacteria
ANCeC3.Bin17	75	32	Firmicutes
ANCeC3.Bin18	38	25	Elusimicrobiota
ANCeC3.Bin28	117	54	Verrucomicrobiota
ANCeC3.Bin31	74	47	Firmicutes
ANCeC3.Bin32	80	39	Bacteroidota
ANCeC3.Bin34	12	8	Firmicutes
ANCeC3.Bin37	19	13	Proteobacteria
ANCeC3.Bin45	62	40	Firmicutes
ANCeC3.Bin5	161	67	Bacteroidota
ANCeC3.Bin51	60	37	Firmicutes
ANCeC3.Bin53	21	14	Proteobacteria
ANCeC3.Bin67	61	30	Elusimicrobiota
ANCeC3.Bin69	98	49	Bacteroidota
ANCeC3.Bin76	83	36	Spirochaetota
ANCeC3.Bin77	187	67	Bacteroidota
ANCeC3.Bin81	48	14	Methanobacteriota
ANCeC3.Bin83	72	42	Firmicutes
ANCeC3.Bin85	83	45	Firmicutes
ANCeC3.Bin88	83	43	Firmicutes
ANCeC3.Bin9	59	29	Cyanobacteria
ANCeC3.Bin92	101	54	Bacteroidota
ANCeC3.Bin93	87	40	Firmicutes
ANCeC4.Bin101	57	31	Firmicutes
ANCeC4.Bin103	79	41	Firmicutes
ANCeC4.Bin108	80	39	Firmicutes
ANCeC4.Bin11	106	52	Bacteroidota
ANCeC4.Bin17	27	17	Firmicutes
ANCeC4.Bin22	53	30	Proteobacteria
ANCeC4.Bin26	46	12	Methanobacteriota
ANCeC4.Bin29	51	28	Firmicutes
ANCeC4.Bin3	16	12	Actinobacteriota
ANCeC4.Bin30	165	65	Firmicutes
ANCeC4.Bin32	38	20	Firmicutes
ANCeC4.Bin35	50	27	Bacteroidota
ANCeC4.Bin36	81	30	Desulfobacterota
ANCeC4.Bin37	47	32	Spirochaetota
ANCeC4.Bin39	48	25	Deferribacterota
ANCeC4.Bin45	92	39	Spirochaetota
ANCeC4.Bin50	104	51	Bacteroidota
ANCeC4.Bin53	46	26	Elusimicrobiota
ANCeC4.Bin54	115	49	Firmicutes
ANCeC4.Bin55	166	63	Firmicutes
ANCeC4.Bin57	86	39	Cyanobacteria
ANCeC4.Bin58	38	20	Firmicutes
ANCeC4.Bin6	28	17	Firmicutes
ANCeC4.Bin73	60	33	Bacteroidota
ANCeC4.Bin76	169	69	Bacteroidota
ANCeC4.Bin80	198	67	Bacteroidota
ANCeC4.Bin81	113	44	Firmicutes
ANCeC4.Bin82	271	92	Bacteroidota
ANCeC4.Bin83	37	24	Firmicutes
