Bin	genes	ARO	AMR Gene Family	phylum
ANCeC1.Bin10	114	80	100	Bacteroidota
ANCeC1.Bin11	227	110	191	Firmicutes
ANCeC1.Bin14	161	115	141	Bacteroidota
ANCeC1.Bin15	72	48	58	Methanobacteriota
ANCeC1.Bin16	82	59	73	Firmicutes
ANCeC1.Bin19	107	74	85	Firmicutes
ANCeC1.Bin2	189	131	171	Bacteroidota
ANCeC1.Bin20	94	74	74	Firmicutes
ANCeC1.Bin23	148	98	119	Firmicutes
ANCeC1.Bin27	173	115	135	Desulfobacterota
ANCeC1.Bin29	125	93	99	Bacteroidota
ANCeC1.Bin30	138	93	114	Synergistota
ANCeC1.Bin31	88	74	74	Bacteroidota
ANCeC1.Bin32	116	95	97	Proteobacteria
ANCeC1.Bin34	175	103	150	Firmicutes
ANCeC1.Bin35	87	72	74	Elusimicrobiota
ANCeC1.Bin4	173	103	141	Firmicutes
ANCeC1.Bin47	170	110	138	Bacteroidota
ANCeC1.Bin49	291	136	241	Firmicutes
ANCeC1.Bin50	201	111	158	Firmicutes
ANCeC1.Bin51	120	72	102	Firmicutes
ANCeC1.Bin54	88	68	77	Firmicutes
ANCeC1.Bin55	178	113	146	Proteobacteria
ANCeC1.Bin56	61	49	50	Firmicutes
ANCeC1.Bin57	108	91	94	Bacteroidota
ANCeC1.Bin60	104	78	91	Proteobacteria
ANCeC1.Bin62	274	124	209	Firmicutes
ANCeC1.Bin64	47	41	43	Firmicutes
ANCeC1.Bin72	123	101	107	Proteobacteria
ANCeC1.Bin73	303	146	235	Firmicutes
ANCeC1.Bin78	155	100	120	Firmicutes
ANCeC1.Bin79	111	77	87	Firmicutes
ANCeC1.Bin82	78	65	73	Proteobacteria
ANCeC1.Bin83	230	110	188	Firmicutes
ANCeC1.Bin88	115	78	91	Cyanobacteria
ANCeC1.Bin90	142	85	111	Firmicutes
ANCeC2.Bin10	81	70	74	Bacteroidota
ANCeC2.Bin14	60	44	51	Firmicutes
ANCeC2.Bin16	173	112	145	Firmicutes
ANCeC2.Bin18	107	69	96	Firmicutes
ANCeC2.Bin19	57	41	46	Firmicutes
ANCeC2.Bin25	82	59	73	Firmicutes
ANCeC2.Bin3	89	65	76	Firmicutes
ANCeC2.Bin30	120	86	112	Desulfobacterota
ANCeC2.Bin31	229	145	194	Bacteroidota
ANCeC2.Bin33	91	59	84	Firmicutes
ANCeC2.Bin37	78	60	70	Firmicutes
ANCeC2.Bin39	161	96	122	Firmicutes
ANCeC2.Bin41	232	123	169	Firmicutes
ANCeC2.Bin43	238	120	173	Firmicutes
ANCeC2.Bin45	71	52	61	Methanobacteriota
ANCeC2.Bin5	146	82	117	Firmicutes
ANCeC2.Bin58	132	82	111	Firmicutes
ANCeC2.Bin6	149	101	114	Firmicutes
ANCeC2.Bin62	171	99	135	Firmicutes
ANCeC2.Bin71	151	88	121	Firmicutes
ANCeC2.Bin75	192	99	165	Firmicutes
ANCeC2.Bin81	74	59	64	Proteobacteria
ANCeC2.Bin82	136	81	106	Firmicutes
ANCeC2.Bin83	134	85	109	Synergistota
ANCeC2.Bin9	158	95	128	Firmicutes
ANCeC2.Bin95	103	86	88	Elusimicrobiota
ANCeC3.Bin10	129	87	96	Cyanobacteria
ANCeC3.Bin17	277	133	208	Firmicutes
ANCeC3.Bin18	79	67	65	Elusimicrobiota
ANCeC3.Bin28	91	66	72	Verrucomicrobiota
ANCeC3.Bin31	117	75	97	Firmicutes
ANCeC3.Bin32	116	87	101	Bacteroidota
ANCeC3.Bin34	84	63	72	Firmicutes
ANCeC3.Bin37	128	97	102	Proteobacteria
ANCeC3.Bin45	168	94	122	Firmicutes
ANCeC3.Bin5	152	121	134	Bacteroidota
ANCeC3.Bin51	83	63	77	Firmicutes
ANCeC3.Bin53	63	53	50	Proteobacteria
ANCeC3.Bin67	126	100	102	Elusimicrobiota
ANCeC3.Bin69	129	102	108	Bacteroidota
ANCeC3.Bin76	155	100	124	Spirochaetota
ANCeC3.Bin77	214	134	180	Bacteroidota
ANCeC3.Bin81	70	45	60	Methanobacteriota
ANCeC3.Bin83	207	113	166	Firmicutes
ANCeC3.Bin85	131	78	115	Firmicutes
ANCeC3.Bin88	110	70	97	Firmicutes
ANCeC3.Bin9	99	74	70	Cyanobacteria
ANCeC3.Bin92	104	81	88	Bacteroidota
ANCeC3.Bin93	164	91	128	Firmicutes
